Phylum	Group	Sum
Acidobacteriota	arabidopsis_thaliana_CAS_root	0.00306007208131877
Actinobacteriota	arabidopsis_thaliana_CAS_root	0.170475848035219
Armatimonadota	arabidopsis_thaliana_CAS_root	0.000298855929848516
Bacteroidota	arabidopsis_thaliana_CAS_root	0.0558800240207025
Bdellovibrionota	arabidopsis_thaliana_CAS_root	0.00701505081276353
Chloroflexi	arabidopsis_thaliana_CAS_root	0.0233546349174942
Deinococcota	arabidopsis_thaliana_CAS_root	5.27485346151472e-05
Desulfobacterota	arabidopsis_thaliana_CAS_root	0.000158044904804743
Fibrobacterota	arabidopsis_thaliana_CAS_root	0.00301794251721828
Firmicutes	arabidopsis_thaliana_CAS_root	0.00781131486568396
Gemmatimonadota	arabidopsis_thaliana_CAS_root	0.000943852207242903
Myxococcota	arabidopsis_thaliana_CAS_root	0.0469181327231812
Nitrospirota	arabidopsis_thaliana_CAS_root	0.000215196697326814
Others	arabidopsis_thaliana_CAS_root	0.0011097109075627
Patescibacteria	arabidopsis_thaliana_CAS_root	0.00368659993332431
Planctomycetota	arabidopsis_thaliana_CAS_root	0.00045331066429981
Proteobacteria	arabidopsis_thaliana_CAS_root	0.67211589989266
RCP2-54	arabidopsis_thaliana_CAS_root	5.04112009772717e-05
Spirochaetota	arabidopsis_thaliana_CAS_root	0.000913199250255466
Unassigned	arabidopsis_thaliana_CAS_root	0.0010704510362203
Verrucomicrobiota	arabidopsis_thaliana_CAS_root	0.00139869886728023
Acidobacteriota	arabidopsis_thaliana_CAS_rhizosphere	0.0369550920978087
Actinobacteriota	arabidopsis_thaliana_CAS_rhizosphere	0.137644080677306
Armatimonadota	arabidopsis_thaliana_CAS_rhizosphere	0.00080213022749119
Bacteroidota	arabidopsis_thaliana_CAS_rhizosphere	0.0645019676607041
Bdellovibrionota	arabidopsis_thaliana_CAS_rhizosphere	0.014977832185844
Chloroflexi	arabidopsis_thaliana_CAS_rhizosphere	0.0523247289919826
Deinococcota	arabidopsis_thaliana_CAS_rhizosphere	0.000402478211571509
Desulfobacterota	arabidopsis_thaliana_CAS_rhizosphere	0.00388627026774377
Fibrobacterota	arabidopsis_thaliana_CAS_rhizosphere	0.00281387665634707
Firmicutes	arabidopsis_thaliana_CAS_rhizosphere	0.0464008868649445
Gemmatimonadota	arabidopsis_thaliana_CAS_rhizosphere	0.0252109452580378
Myxococcota	arabidopsis_thaliana_CAS_rhizosphere	0.0169020373291447
Nitrospirota	arabidopsis_thaliana_CAS_rhizosphere	0.0189908548746425
Others	arabidopsis_thaliana_CAS_rhizosphere	0.0094125219960007
Patescibacteria	arabidopsis_thaliana_CAS_rhizosphere	0.00511820266045538
Planctomycetota	arabidopsis_thaliana_CAS_rhizosphere	0.00168291558003483
Proteobacteria	arabidopsis_thaliana_CAS_rhizosphere	0.535098400603539
RCP2-54	arabidopsis_thaliana_CAS_rhizosphere	0.00579382890939104
Spirochaetota	arabidopsis_thaliana_CAS_rhizosphere	0.000904323614150216
Unassigned	arabidopsis_thaliana_CAS_rhizosphere	0.00383161814711317
Verrucomicrobiota	arabidopsis_thaliana_CAS_rhizosphere	0.0163450071857473
Acidobacteriota	arabidopsis_thaliana_CAS_soil	0.0604472703170019
Actinobacteriota	arabidopsis_thaliana_CAS_soil	0.176385551633753
Armatimonadota	arabidopsis_thaliana_CAS_soil	0.00105856431108956
Bacteroidota	arabidopsis_thaliana_CAS_soil	0.0509509555352749
Bdellovibrionota	arabidopsis_thaliana_CAS_soil	0.0186029157820434
Chloroflexi	arabidopsis_thaliana_CAS_soil	0.0485950903336522
Deinococcota	arabidopsis_thaliana_CAS_soil	4.91937468200786e-05
Desulfobacterota	arabidopsis_thaliana_CAS_soil	0.00831417865618377
Fibrobacterota	arabidopsis_thaliana_CAS_soil	0.00137317480276363
Firmicutes	arabidopsis_thaliana_CAS_soil	0.0705805910002412
Gemmatimonadota	arabidopsis_thaliana_CAS_soil	0.0479258552116764
Myxococcota	arabidopsis_thaliana_CAS_soil	0.0153951982253513
Nitrospirota	arabidopsis_thaliana_CAS_soil	0.0307440387714819
Others	arabidopsis_thaliana_CAS_soil	0.0147944556561304
Patescibacteria	arabidopsis_thaliana_CAS_soil	0.0062075121202429
Planctomycetota	arabidopsis_thaliana_CAS_soil	0.00193774027957703
Proteobacteria	arabidopsis_thaliana_CAS_soil	0.41150470422228
RCP2-54	arabidopsis_thaliana_CAS_soil	0.0089285431328788
Spirochaetota	arabidopsis_thaliana_CAS_soil	0.000209695076359619
Unassigned	arabidopsis_thaliana_CAS_soil	0.00446422536703333
Verrucomicrobiota	arabidopsis_thaliana_CAS_soil	0.0215305458181645
Acidobacteriota	zea_mays_l_DEMO_soil	0.0908217058441252
Actinobacteriota	zea_mays_l_DEMO_soil	0.17335965269784
Armatimonadota	zea_mays_l_DEMO_soil	0.00203342278436331
Bacteroidota	zea_mays_l_DEMO_soil	0.0177309702286646
Bdellovibrionota	zea_mays_l_DEMO_soil	0.00370382142256145
Chloroflexi	zea_mays_l_DEMO_soil	0.266339547316334
Deinococcota	zea_mays_l_DEMO_soil	0.000395109636291228
Desulfobacterota	zea_mays_l_DEMO_soil	0.00564798305012782
Fibrobacterota	zea_mays_l_DEMO_soil	0.000138142213747952
Firmicutes	zea_mays_l_DEMO_soil	0.0598930104475023
Gemmatimonadota	zea_mays_l_DEMO_soil	0.0473940160511812
Myxococcota	zea_mays_l_DEMO_soil	0.0185554248798625
Nitrospirota	zea_mays_l_DEMO_soil	0.0166274195134398
Others	zea_mays_l_DEMO_soil	0.00830634013152459
Patescibacteria	zea_mays_l_DEMO_soil	0.00394850460130215
Planctomycetota	zea_mays_l_DEMO_soil	0.00407053027551607
Proteobacteria	zea_mays_l_DEMO_soil	0.247613159011007
RCP2-54	zea_mays_l_DEMO_soil	0.0058980789105497
Spirochaetota	zea_mays_l_DEMO_soil	6.07306928835474e-05
Unassigned	zea_mays_l_DEMO_soil	0.00106084266865725
Verrucomicrobiota	zea_mays_l_DEMO_soil	0.026401587622518
Acidobacteriota	zea_mays_l_DEMO_rhizosphere	0.0827449268180421
Actinobacteriota	zea_mays_l_DEMO_rhizosphere	0.155303154331611
Armatimonadota	zea_mays_l_DEMO_rhizosphere	0.0040065110459657
Bacteroidota	zea_mays_l_DEMO_rhizosphere	0.0267033600399008
Bdellovibrionota	zea_mays_l_DEMO_rhizosphere	0.00396411943732668
Chloroflexi	zea_mays_l_DEMO_rhizosphere	0.157285629572897
Deinococcota	zea_mays_l_DEMO_rhizosphere	0.000601964846872938
Desulfobacterota	zea_mays_l_DEMO_rhizosphere	0.00352426033498086
Fibrobacterota	zea_mays_l_DEMO_rhizosphere	0.000180795481192711
Firmicutes	zea_mays_l_DEMO_rhizosphere	0.0399027740984786
