ID	Exemplar	Cluster	Cluster_size
ASV_2	ASV_2	1	13
ASV_32	ASV_2	1	13
ASV_35	ASV_2	1	13
ASV_48	ASV_2	1	13
ASV_50	ASV_2	1	13
ASV_55	ASV_2	1	13
ASV_63	ASV_2	1	13
ASV_64	ASV_2	1	13
ASV_98	ASV_2	1	13
ASV_189	ASV_2	1	13
ASV_879	ASV_2	1	13
ASV_1042	ASV_2	1	13
ASV_1619	ASV_2	1	13
ASV_4	ASV_4	2	15
ASV_6	ASV_4	2	15
ASV_28	ASV_4	2	15
ASV_29	ASV_4	2	15
ASV_66	ASV_4	2	15
ASV_79	ASV_4	2	15
ASV_117	ASV_4	2	15
ASV_392	ASV_4	2	15
ASV_457	ASV_4	2	15
ASV_474	ASV_4	2	15
ASV_924	ASV_4	2	15
ASV_1010	ASV_4	2	15
ASV_1062	ASV_4	2	15
ASV_1528	ASV_4	2	15
ASV_2566	ASV_4	2	15
ASV_8	ASV_8	3	7
ASV_10	ASV_8	3	7
ASV_146	ASV_8	3	7
ASV_160	ASV_8	3	7
ASV_253	ASV_8	3	7
ASV_374	ASV_8	3	7
ASV_855	ASV_8	3	7
ASV_13	ASV_13	4	11
ASV_40	ASV_13	4	11
ASV_47	ASV_13	4	11
ASV_130	ASV_13	4	11
ASV_242	ASV_13	4	11
ASV_614	ASV_13	4	11
ASV_668	ASV_13	4	11
ASV_912	ASV_13	4	11
ASV_1225	ASV_13	4	11
ASV_1525	ASV_13	4	11
ASV_2304	ASV_13	4	11
ASV_16	ASV_16	5	13
ASV_17	ASV_16	5	13
ASV_68	ASV_16	5	13
ASV_154	ASV_16	5	13
ASV_456	ASV_16	5	13
ASV_577	ASV_16	5	13
ASV_594	ASV_16	5	13
ASV_645	ASV_16	5	13
ASV_657	ASV_16	5	13
ASV_806	ASV_16	5	13
ASV_930	ASV_16	5	13
ASV_1407	ASV_16	5	13
ASV_2368	ASV_16	5	13
ASV_3	ASV_19	6	29
ASV_19	ASV_19	6	29
ASV_81	ASV_19	6	29
ASV_83	ASV_19	6	29
ASV_91	ASV_19	6	29
ASV_94	ASV_19	6	29
ASV_127	ASV_19	6	29
ASV_196	ASV_19	6	29
ASV_273	ASV_19	6	29
ASV_285	ASV_19	6	29
ASV_309	ASV_19	6	29
ASV_317	ASV_19	6	29
ASV_368	ASV_19	6	29
ASV_387	ASV_19	6	29
ASV_391	ASV_19	6	29
ASV_460	ASV_19	6	29
ASV_482	ASV_19	6	29
ASV_489	ASV_19	6	29
ASV_524	ASV_19	6	29
ASV_666	ASV_19	6	29
ASV_756	ASV_19	6	29
ASV_903	ASV_19	6	29
ASV_1323	ASV_19	6	29
ASV_1344	ASV_19	6	29
ASV_1352	ASV_19	6	29
ASV_1537	ASV_19	6	29
ASV_1551	ASV_19	6	29
ASV_1596	ASV_19	6	29
ASV_2175	ASV_19	6	29
ASV_1	ASV_24	7	6
ASV_23	ASV_24	7	6
ASV_24	ASV_24	7	6
ASV_145	ASV_24	7	6
ASV_266	ASV_24	7	6
ASV_311	ASV_24	7	6
ASV_33	ASV_33	8	6
ASV_356	ASV_33	8	6
ASV_867	ASV_33	8	6
ASV_1350	ASV_33	8	6
ASV_1906	ASV_33	8	6
ASV_2168	ASV_33	8	6
ASV_41	ASV_41	9	22
ASV_54	ASV_41	9	22
ASV_70	ASV_41	9	22
ASV_108	ASV_41	9	22
ASV_144	ASV_41	9	22
ASV_157	ASV_41	9	22
ASV_171	ASV_41	9	22
ASV_176	ASV_41	9	22
ASV_184	ASV_41	9	22
ASV_185	ASV_41	9	22
ASV_240	ASV_41	9	22
ASV_381	ASV_41	9	22
ASV_399	ASV_41	9	22
ASV_443	ASV_41	9	22
ASV_498	ASV_41	9	22
ASV_502	ASV_41	9	22
ASV_583	ASV_41	9	22
ASV_663	ASV_41	9	22
ASV_664	ASV_41	9	22
ASV_717	ASV_41	9	22
ASV_784	ASV_41	9	22
ASV_937	ASV_41	9	22
ASV_11	ASV_42	10	16
ASV_42	ASV_42	10	16
ASV_46	ASV_42	10	16
ASV_82	ASV_42	10	16
ASV_126	ASV_42	10	16
ASV_151	ASV_42	10	16
