Phylum	Group	Sum
p__Aphelidiomycota	zea_mays_l_DEMO_soil	2.22222222222222e-05
p__Ascomycota	zea_mays_l_DEMO_soil	0.5827
p__Basidiobolomycota	zea_mays_l_DEMO_soil	0
p__Basidiomycota	zea_mays_l_DEMO_soil	0.148411111111111
p__Chytridiomycota	zea_mays_l_DEMO_soil	0.0327777777777778
p__Entomophthoromycota	zea_mays_l_DEMO_soil	1.11111111111111e-05
p__Entorrhizomycota	zea_mays_l_DEMO_soil	0
p__Glomeromycota	zea_mays_l_DEMO_soil	0.0325111111111111
p__Kickxellomycota	zea_mays_l_DEMO_soil	0.00124444444444444
p__Monoblepharomycota	zea_mays_l_DEMO_soil	0
p__Mortierellomycota	zea_mays_l_DEMO_soil	0.119211111111111
p__Mucoromycota	zea_mays_l_DEMO_soil	0.00737777777777778
p__Olpidiomycota	zea_mays_l_DEMO_soil	0.000333333333333333
p__Rozellomycota	zea_mays_l_DEMO_soil	0.00265555555555556
p__Zoopagomycota	zea_mays_l_DEMO_soil	0.000644444444444444
Unassigned	zea_mays_l_DEMO_soil	0.0721
p__Aphelidiomycota	zea_mays_l_DEMO_rhizosphere	5.52486187845304e-06
p__Ascomycota	zea_mays_l_DEMO_rhizosphere	0.743066298342541
p__Basidiobolomycota	zea_mays_l_DEMO_rhizosphere	0
p__Basidiomycota	zea_mays_l_DEMO_rhizosphere	0.111472375690608
p__Chytridiomycota	zea_mays_l_DEMO_rhizosphere	0.0126850828729282
p__Entomophthoromycota	zea_mays_l_DEMO_rhizosphere	2.76243093922652e-06
p__Entorrhizomycota	zea_mays_l_DEMO_rhizosphere	0
p__Glomeromycota	zea_mays_l_DEMO_rhizosphere	0.0187292817679558
p__Kickxellomycota	zea_mays_l_DEMO_rhizosphere	0.00265193370165746
p__Monoblepharomycota	zea_mays_l_DEMO_rhizosphere	0
p__Mortierellomycota	zea_mays_l_DEMO_rhizosphere	0.0661906077348066
p__Mucoromycota	zea_mays_l_DEMO_rhizosphere	0.00711878453038674
p__Olpidiomycota	zea_mays_l_DEMO_rhizosphere	5e-04
p__Rozellomycota	zea_mays_l_DEMO_rhizosphere	0.00225690607734807
p__Zoopagomycota	zea_mays_l_DEMO_rhizosphere	0.000234806629834254
Unassigned	zea_mays_l_DEMO_rhizosphere	0.035085635359116
p__Aphelidiomycota	zea_mays_l_DEMO_root	0
p__Ascomycota	zea_mays_l_DEMO_root	0.854046961325967
p__Basidiobolomycota	zea_mays_l_DEMO_root	0
p__Basidiomycota	zea_mays_l_DEMO_root	0.0538812154696133
p__Chytridiomycota	zea_mays_l_DEMO_root	0.000312154696132597
p__Entomophthoromycota	zea_mays_l_DEMO_root	0
p__Entorrhizomycota	zea_mays_l_DEMO_root	0
p__Glomeromycota	zea_mays_l_DEMO_root	0.0219116022099448
p__Kickxellomycota	zea_mays_l_DEMO_root	0.00025414364640884
p__Monoblepharomycota	zea_mays_l_DEMO_root	0
p__Mortierellomycota	zea_mays_l_DEMO_root	0.00300276243093923
p__Mucoromycota	zea_mays_l_DEMO_root	0.000751381215469613
p__Olpidiomycota	zea_mays_l_DEMO_root	0.000364640883977901
p__Rozellomycota	zea_mays_l_DEMO_root	0.00011878453038674
p__Zoopagomycota	zea_mays_l_DEMO_root	2.76243093922652e-06
Unassigned	zea_mays_l_DEMO_root	0.065353591160221
p__Aphelidiomycota	zea_mays_l_DOK_soil	4.16666666666667e-05
p__Ascomycota	zea_mays_l_DOK_soil	0.552258333333333
p__Basidiobolomycota	zea_mays_l_DOK_soil	2.5e-05
p__Basidiomycota	zea_mays_l_DOK_soil	0.183804166666667
p__Chytridiomycota	zea_mays_l_DOK_soil	0.0330208333333333
p__Entomophthoromycota	zea_mays_l_DOK_soil	2.5e-05
p__Entorrhizomycota	zea_mays_l_DOK_soil	0
p__Glomeromycota	zea_mays_l_DOK_soil	0.00319166666666667
p__Kickxellomycota	zea_mays_l_DOK_soil	0.00164166666666667
p__Monoblepharomycota	zea_mays_l_DOK_soil	0
p__Mortierellomycota	zea_mays_l_DOK_soil	0.155466666666667
p__Mucoromycota	zea_mays_l_DOK_soil	0.00594166666666667
p__Olpidiomycota	zea_mays_l_DOK_soil	0.0005375
p__Rozellomycota	zea_mays_l_DOK_soil	0.001575
p__Zoopagomycota	zea_mays_l_DOK_soil	0.000466666666666667
Unassigned	zea_mays_l_DOK_soil	0.0620041666666667
p__Aphelidiomycota	zea_mays_l_DOK_root	1.38888888888889e-06
p__Ascomycota	zea_mays_l_DOK_root	0.859975
p__Basidiobolomycota	zea_mays_l_DOK_root	0
p__Basidiomycota	zea_mays_l_DOK_root	0.0794625
p__Chytridiomycota	zea_mays_l_DOK_root	0.00118055555555556
p__Entomophthoromycota	zea_mays_l_DOK_root	2.77777777777778e-06
