Sample_ID	RA_rep	Host.Species	Compartment	Soil
bgh_2017_00001	0.888590604026846	arabidopsis_thaliana	root	CAS
bgh_2017_00002	0.775084175084175	arabidopsis_thaliana	rhizosphere	CAS
bgh_2017_00003	0.838731443994602	arabidopsis_thaliana	root	CAS
bgh_2017_00004	0.773279352226721	arabidopsis_thaliana	rhizosphere	CAS
bgh_2017_00005	0.893888515782404	arabidopsis_thaliana	root	CAS
bgh_2017_00006	0.710154673839946	arabidopsis_thaliana	rhizosphere	CAS
bgh_2017_00007	0.925553319919517	arabidopsis_thaliana	root	CAS
bgh_2017_00008	0.817508417508418	arabidopsis_thaliana	rhizosphere	CAS
bgh_2017_00009	0.90719569603228	arabidopsis_thaliana	root	CAS
bgh_2017_00010	0.773469387755102	arabidopsis_thaliana	rhizosphere	CAS
bgh_2017_00011	0.828187919463087	arabidopsis_thaliana	root	CAS
bgh_2017_00012	0.705363204344874	arabidopsis_thaliana	rhizosphere	CAS
bgh_2017_00013	0.594594594594595	arabidopsis_thaliana	soil	CAS
bgh_2017_00014	0.570748299319728	arabidopsis_thaliana	soil	CAS
bgh_2017_00015	0.892018779342723	arabidopsis_thaliana	root	CAS
bgh_2017_00016	0.768292682926829	arabidopsis_thaliana	rhizosphere	CAS
bgh_2017_00017	0.902225219150371	arabidopsis_thaliana	root	CAS
bgh_2017_00018	0.755047106325707	arabidopsis_thaliana	rhizosphere	CAS
bgh_2017_00019	0.823529411764706	arabidopsis_thaliana	root	CAS
bgh_2017_00020	0.714285714285714	arabidopsis_thaliana	rhizosphere	CAS
bgh_2017_00021	0.861372812920592	arabidopsis_thaliana	root	CAS
bgh_2017_00022	0.75289312457454	arabidopsis_thaliana	rhizosphere	CAS
bgh_2017_00023	0.867696440564137	arabidopsis_thaliana	root	CAS
bgh_2017_00024	0.676190476190476	arabidopsis_thaliana	rhizosphere	CAS
bgh_2017_00025	0.840589417280643	arabidopsis_thaliana	root	CAS
bgh_2017_00026	0.714969241285031	arabidopsis_thaliana	rhizosphere	CAS
bgh_2017_00027	0.605442176870748	arabidopsis_thaliana	soil	CAS
bgh_2017_00028	0.568027210884354	arabidopsis_thaliana	soil	CAS
bourceret_2016_00001	0.601222826086957	zea_mays_l	soil	DEMO
bourceret_2016_00002	0.545145960624576	zea_mays_l	soil	DEMO
bourceret_2016_00003	0.606523247744622	zea_mays_l	soil	DEMO
bourceret_2016_00004	0.562457798784605	zea_mays_l	soil	DEMO
bourceret_2016_00005	0.546503733876443	zea_mays_l	soil	DEMO
bourceret_2016_00006	0.627609427609428	zea_mays_l	soil	DEMO
bourceret_2016_00007	0.473862864901561	zea_mays_l	soil	DEMO
bourceret_2016_00008	0.434993084370678	zea_mays_l	soil	DEMO
bourceret_2016_00009	0.465148378191856	zea_mays_l	soil	DEMO
bourceret_2016_00010	0.583389601620527	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00011	0.614860259032038	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00012	0.588948787061995	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00013	0.617367706919946	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00014	0.60230352303523	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00015	0.559782608695652	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00016	0.591062965470548	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00017	0.541128484024473	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00018	0.554650373387644	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00019	0.602900552486188	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00020	0.552076242341729	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00021	0.613143631436314	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00022	0.574611748818366	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00023	0.549286199864038	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00024	0.588671611598112	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00025	0.570847457627119	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00026	0.529411764705882	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00027	0.628552097428958	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00028	0.561439239646979	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00029	0.597701149425287	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00030	0.586323628977657	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00031	0.654237288135593	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00032	0.609195402298851	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00033	0.601620526671168	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00034	0.46985446985447	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00035	0.501366120218579	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00036	0.656271186440678	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00037	0.610576923076923	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00038	0.675050985723997	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00039	0.638472032742155	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00040	0.6455525606469	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00041	0.68762677484787	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00042	0.656988521269413	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00043	0.631685849695328	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00044	0.569083447332421	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00045	0.569594594594595	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00046	0.553510565780505	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00047	0.563786008230453	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00048	0.546885694729637	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00049	0.483628922237381	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00050	0.502054794520548	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00051	0.54061433447099	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00052	0.520734194425561	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00053	0.486707566462168	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00054	0.526822558459422	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00055	0.523066485753053	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00056	0.454234972677596	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00057	0.561859193438141	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00058	0.480191256830601	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00059	0.524298425735797	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00060	0.534612748457848	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00061	0.518088737201365	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00062	0.526566757493188	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00063	0.539410555174777	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00064	0.531420765027322	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00065	0.504781420765027	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00066	0.48936170212766	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00067	0.497961956521739	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00068	0.476839237057221	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00069	0.468172484599589	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00070	0.394064872325742	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00071	0.654753877275792	zea_mays_l	root	DEMO
bourceret_2016_00072	0.772413793103448	zea_mays_l	root	DEMO
bourceret_2016_00073	0.75668449197861	zea_mays_l	root	DEMO
bourceret_2016_00074	0.628956228956229	zea_mays_l	root	DEMO
bourceret_2016_00083	0.673620457604307	zea_mays_l	root	DEMO
bourceret_2016_00084	0.696928327645051	zea_mays_l	root	DEMO
bourceret_2016_00085	0.712558764271323	zea_mays_l	root	DEMO
bourceret_2016_00086	0.614660390047075	zea_mays_l	root	DEMO
bourceret_2016_00087	0.669360269360269	zea_mays_l	root	DEMO
bourceret_2016_00088	0.680965147453083	zea_mays_l	root	DEMO
bourceret_2016_00089	0.654801880456682	zea_mays_l	root	DEMO
bourceret_2016_00090	0.709677419354839	zea_mays_l	root	DEMO
bourceret_2016_00091	0.718707940780619	zea_mays_l	root	DEMO
bourceret_2016_00092	0.779282329045362	zea_mays_l	root	DEMO
bourceret_2016_00093	0.748990578734859	zea_mays_l	root	DEMO
bourceret_2016_00094	0.740120562625586	zea_mays_l	root	DEMO
bourceret_2016_00095	0.725556304787593	zea_mays_l	root	DEMO
bourceret_2016_00096	0.652472527472527	zea_mays_l	root	DEMO
bourceret_2016_00097	0.575016972165648	zea_mays_l	root	DEMO
bourceret_2016_00098	0.861092380310182	zea_mays_l	root	DEMO
bourceret_2016_00099	0.66826593557231	zea_mays_l	root	DEMO
bourceret_2016_00100	0.754588715159755	zea_mays_l	root	DEMO
bourceret_2016_00101	0.715633423180593	zea_mays_l	root	DEMO
bourceret_2016_00102	0.776048714479026	zea_mays_l	root	DEMO
bourceret_2016_00103	0.713706954760297	zea_mays_l	root	DEMO
bourceret_2016_00104	0.609406952965235	zea_mays_l	root	DEMO
bourceret_2016_00105	0.222222222222222	zea_mays_l	root	DEMO
bourceret_2016_00106	0.50976430976431	zea_mays_l	root	DEMO
bourceret_2016_00107	0.799593771157752	zea_mays_l	root	DEMO
bourceret_2016_00108	0.64841108857336	zea_mays_l	root	DEMO
bourceret_2016_00109	0.601365187713311	zea_mays_l	root	DEMO
bourceret_2016_00110	0.717096336499322	zea_mays_l	root	DEMO
bourceret_2016_00111	0.660738714090287	zea_mays_l	root	DEMO
