ID	Exemplar	Cluster	Cluster_size
ASVF_1	ASVF_1	1	17
ASVF_4	ASVF_1	1	17
ASVF_5	ASVF_1	1	17
ASVF_13	ASVF_1	1	17
ASVF_23	ASVF_1	1	17
ASVF_24	ASVF_1	1	17
ASVF_43	ASVF_1	1	17
ASVF_55	ASVF_1	1	17
ASVF_87	ASVF_1	1	17
ASVF_149	ASVF_1	1	17
ASVF_235	ASVF_1	1	17
ASVF_256	ASVF_1	1	17
ASVF_257	ASVF_1	1	17
ASVF_309	ASVF_1	1	17
ASVF_315	ASVF_1	1	17
ASVF_324	ASVF_1	1	17
ASVF_467	ASVF_1	1	17
ASVF_8	ASVF_8	2	16
ASVF_10	ASVF_8	2	16
ASVF_37	ASVF_8	2	16
ASVF_42	ASVF_8	2	16
ASVF_47	ASVF_8	2	16
ASVF_58	ASVF_8	2	16
ASVF_70	ASVF_8	2	16
ASVF_115	ASVF_8	2	16
ASVF_116	ASVF_8	2	16
ASVF_175	ASVF_8	2	16
ASVF_178	ASVF_8	2	16
ASVF_205	ASVF_8	2	16
ASVF_220	ASVF_8	2	16
ASVF_301	ASVF_8	2	16
ASVF_319	ASVF_8	2	16
ASVF_417	ASVF_8	2	16
ASVF_11	ASVF_16	3	29
ASVF_16	ASVF_16	3	29
ASVF_35	ASVF_16	3	29
ASVF_51	ASVF_16	3	29
ASVF_52	ASVF_16	3	29
ASVF_60	ASVF_16	3	29
ASVF_61	ASVF_16	3	29
ASVF_64	ASVF_16	3	29
ASVF_65	ASVF_16	3	29
ASVF_69	ASVF_16	3	29
ASVF_81	ASVF_16	3	29
ASVF_82	ASVF_16	3	29
ASVF_117	ASVF_16	3	29
ASVF_123	ASVF_16	3	29
ASVF_139	ASVF_16	3	29
ASVF_143	ASVF_16	3	29
ASVF_160	ASVF_16	3	29
ASVF_196	ASVF_16	3	29
ASVF_224	ASVF_16	3	29
ASVF_226	ASVF_16	3	29
ASVF_274	ASVF_16	3	29
ASVF_292	ASVF_16	3	29
ASVF_310	ASVF_16	3	29
ASVF_327	ASVF_16	3	29
ASVF_330	ASVF_16	3	29
ASVF_336	ASVF_16	3	29
ASVF_340	ASVF_16	3	29
ASVF_353	ASVF_16	3	29
ASVF_373	ASVF_16	3	29
ASVF_18	ASVF_18	4	11
ASVF_29	ASVF_18	4	11
ASVF_36	ASVF_18	4	11
ASVF_44	ASVF_18	4	11
ASVF_111	ASVF_18	4	11
ASVF_136	ASVF_18	4	11
ASVF_234	ASVF_18	4	11
ASVF_285	ASVF_18	4	11
ASVF_290	ASVF_18	4	11
ASVF_343	ASVF_18	4	11
ASVF_387	ASVF_18	4	11
ASVF_7	ASVF_38	5	55
ASVF_19	ASVF_38	5	55
ASVF_20	ASVF_38	5	55
ASVF_26	ASVF_38	5	55
ASVF_28	ASVF_38	5	55
ASVF_33	ASVF_38	5	55
ASVF_38	ASVF_38	5	55
ASVF_63	ASVF_38	5	55
ASVF_77	ASVF_38	5	55
ASVF_79	ASVF_38	5	55
ASVF_85	ASVF_38	5	55
ASVF_98	ASVF_38	5	55
ASVF_102	ASVF_38	5	55
ASVF_109	ASVF_38	5	55
ASVF_114	ASVF_38	5	55
ASVF_119	ASVF_38	5	55
ASVF_124	ASVF_38	5	55
ASVF_131	ASVF_38	5	55
ASVF_132	ASVF_38	5	55
ASVF_133	ASVF_38	5	55
ASVF_135	ASVF_38	5	55
ASVF_137	ASVF_38	5	55
ASVF_156	ASVF_38	5	55
ASVF_176	ASVF_38	5	55
ASVF_190	ASVF_38	5	55
ASVF_208	ASVF_38	5	55
ASVF_214	ASVF_38	5	55
ASVF_216	ASVF_38	5	55
ASVF_217	ASVF_38	5	55
ASVF_228	ASVF_38	5	55
ASVF_230	ASVF_38	5	55
ASVF_233	ASVF_38	5	55
ASVF_237	ASVF_38	5	55
ASVF_243	ASVF_38	5	55
ASVF_244	ASVF_38	5	55
ASVF_254	ASVF_38	5	55
ASVF_265	ASVF_38	5	55
ASVF_286	ASVF_38	5	55
ASVF_287	ASVF_38	5	55
ASVF_295	ASVF_38	5	55
ASVF_299	ASVF_38	5	55
ASVF_304	ASVF_38	5	55
ASVF_321	ASVF_38	5	55
ASVF_328	ASVF_38	5	55
ASVF_329	ASVF_38	5	55
ASVF_333	ASVF_38	5	55
ASVF_339	ASVF_38	5	55
ASVF_367	ASVF_38	5	55
ASVF_372	ASVF_38	5	55
ASVF_386	ASVF_38	5	55
ASVF_424	ASVF_38	5	55
ASVF_429	ASVF_38	5	55
ASVF_441	ASVF_38	5	55
ASVF_451	ASVF_38	5	55
ASVF_483	ASVF_38	5	55
ASVF_12	ASVF_40	6	12
ASVF_40	ASVF_40	6	12
ASVF_90	ASVF_40	6	12
ASVF_159	ASVF_40	6	12
ASVF_227	ASVF_40	6	12
ASVF_412	ASVF_40	6	12
ASVF_445	ASVF_40	6	12
ASVF_452	ASVF_40	6	12
ASVF_460	ASVF_40	6	12
ASVF_748	ASVF_40	6	12
ASVF_906	ASVF_40	6	12
ASVF_1138	ASVF_40	6	12
ASVF_9	ASVF_45	7	4
ASVF_31	ASVF_45	7	4
ASVF_45	ASVF_45	7	4
ASVF_271	ASVF_45	7	4
ASVF_27	ASVF_50	8	6
ASVF_50	ASVF_50	8	6
ASVF_134	ASVF_50	8	6
ASVF_186	ASVF_50	8	6
ASVF_242	ASVF_50	8	6
ASVF_289	ASVF_50	8	6
ASVF_53	ASVF_53	9	9
ASVF_118	ASVF_53	9	9
ASVF_198	ASVF_53	9	9
ASVF_291	ASVF_53	9	9
ASVF_308	ASVF_53	9	9
ASVF_377	ASVF_53	9	9
ASVF_414	ASVF_53	9	9
ASVF_550	ASVF_53	9	9
ASVF_709	ASVF_53	9	9
ASVF_17	ASVF_59	10	6
ASVF_59	ASVF_59	10	6
ASVF_166	ASVF_59	10	6
ASVF_266	ASVF_59	10	6
ASVF_318	ASVF_59	10	6
ASVF_320	ASVF_59	10	6
ASVF_25	ASVF_67	11	33
ASVF_46	ASVF_67	11	33
ASVF_67	ASVF_67	11	33
ASVF_72	ASVF_67	11	33
ASVF_80	ASVF_67	11	33
ASVF_84	ASVF_67	11	33
ASVF_88	ASVF_67	11	33
ASVF_95	ASVF_67	11	33
ASVF_99	ASVF_67	11	33
ASVF_125	ASVF_67	11	33
ASVF_141	ASVF_67	11	33
ASVF_152	ASVF_67	11	33
ASVF_163	ASVF_67	11	33
ASVF_182	ASVF_67	11	33
ASVF_187	ASVF_67	11	33
ASVF_193	ASVF_67	11	33
ASVF_222	ASVF_67	11	33
ASVF_247	ASVF_67	11	33
ASVF_278	ASVF_67	11	33
ASVF_279	ASVF_67	11	33
ASVF_284	ASVF_67	11	33
ASVF_296	ASVF_67	11	33
ASVF_312	ASVF_67	11	33
ASVF_322	ASVF_67	11	33
ASVF_332	ASVF_67	11	33
ASVF_347	ASVF_67	11	33
ASVF_356	ASVF_67	11	33
ASVF_357	ASVF_67	11	33
ASVF_365	ASVF_67	11	33
ASVF_371	ASVF_67	11	33
ASVF_380	ASVF_67	11	33
ASVF_416	ASVF_67	11	33
ASVF_422	ASVF_67	11	33
ASVF_15	ASVF_74	12	14
ASVF_48	ASVF_74	12	14
ASVF_74	ASVF_74	12	14
ASVF_181	ASVF_74	12	14
ASVF_201	ASVF_74	12	14
ASVF_204	ASVF_74	12	14
ASVF_225	ASVF_74	12	14
ASVF_267	ASVF_74	12	14
ASVF_432	ASVF_74	12	14
ASVF_433	ASVF_74	12	14
ASVF_469	ASVF_74	12	14
ASVF_480	ASVF_74	12	14
ASVF_632	ASVF_74	12	14
ASVF_737	ASVF_74	12	14
ASVF_3	ASVF_86	13	15
ASVF_34	ASVF_86	13	15
ASVF_62	ASVF_86	13	15
ASVF_76	ASVF_86	13	15
ASVF_86	ASVF_86	13	15
ASVF_92	ASVF_86	13	15
ASVF_113	ASVF_86	13	15
ASVF_138	ASVF_86	13	15
ASVF_147	ASVF_86	13	15
ASVF_173	ASVF_86	13	15
ASVF_194	ASVF_86	13	15
ASVF_195	ASVF_86	13	15
ASVF_358	ASVF_86	13	15
ASVF_366	ASVF_86	13	15
ASVF_389	ASVF_86	13	15
ASVF_22	ASVF_96	14	40
ASVF_32	ASVF_96	14	40
ASVF_49	ASVF_96	14	40
ASVF_54	ASVF_96	14	40
ASVF_57	ASVF_96	14	40
ASVF_68	ASVF_96	14	40
ASVF_83	ASVF_96	14	40
ASVF_89	ASVF_96	14	40
ASVF_96	ASVF_96	14	40
ASVF_112	ASVF_96	14	40
ASVF_120	ASVF_96	14	40
ASVF_127	ASVF_96	14	40
ASVF_128	ASVF_96	14	40
ASVF_144	ASVF_96	14	40
ASVF_146	ASVF_96	14	40
ASVF_148	ASVF_96	14	40
ASVF_165	ASVF_96	14	40
ASVF_170	ASVF_96	14	40
ASVF_179	ASVF_96	14	40
ASVF_184	ASVF_96	14	40
ASVF_189	ASVF_96	14	40
ASVF_192	ASVF_96	14	40
ASVF_200	ASVF_96	14	40
ASVF_202	ASVF_96	14	40
ASVF_203	ASVF_96	14	40
ASVF_206	ASVF_96	14	40
ASVF_211	ASVF_96	14	40
ASVF_218	ASVF_96	14	40
ASVF_219	ASVF_96	14	40
ASVF_239	ASVF_96	14	40
ASVF_263	ASVF_96	14	40
ASVF_273	ASVF_96	14	40
ASVF_276	ASVF_96	14	40
ASVF_283	ASVF_96	14	40
ASVF_293	ASVF_96	14	40
ASVF_306	ASVF_96	14	40
ASVF_334	ASVF_96	14	40
ASVF_370	ASVF_96	14	40
ASVF_375	ASVF_96	14	40
ASVF_465	ASVF_96	14	40
ASVF_14	ASVF_101	15	18
ASVF_21	ASVF_101	15	18
ASVF_30	ASVF_101	15	18
ASVF_66	ASVF_101	15	18
ASVF_78	ASVF_101	15	18
ASVF_101	ASVF_101	15	18
ASVF_103	ASVF_101	15	18
ASVF_130	ASVF_101	15	18
ASVF_154	ASVF_101	15	18
ASVF_155	ASVF_101	15	18
ASVF_210	ASVF_101	15	18
ASVF_258	ASVF_101	15	18
ASVF_294	ASVF_101	15	18
ASVF_307	ASVF_101	15	18
ASVF_393	ASVF_101	15	18
ASVF_449	ASVF_101	15	18
ASVF_647	ASVF_101	15	18
ASVF_788	ASVF_101	15	18
ASVF_94	ASVF_108	16	11
ASVF_108	ASVF_108	16	11
ASVF_140	ASVF_108	16	11
ASVF_157	ASVF_108	16	11
ASVF_183	ASVF_108	16	11
ASVF_288	ASVF_108	16	11
ASVF_362	ASVF_108	16	11
ASVF_473	ASVF_108	16	11
ASVF_617	ASVF_108	16	11
ASVF_708	ASVF_108	16	11
ASVF_1102	ASVF_108	16	11
ASVF_41	ASVF_121	17	14
ASVF_56	ASVF_121	17	14
ASVF_107	ASVF_121	17	14
ASVF_121	ASVF_121	17	14
ASVF_150	ASVF_121	17	14
ASVF_167	ASVF_121	17	14
ASVF_252	ASVF_121	17	14
ASVF_259	ASVF_121	17	14
ASVF_335	ASVF_121	17	14
ASVF_338	ASVF_121	17	14
ASVF_361	ASVF_121	17	14
ASVF_363	ASVF_121	17	14
ASVF_383	ASVF_121	17	14
ASVF_593	ASVF_121	17	14
ASVF_73	ASVF_161	18	9
ASVF_93	ASVF_161	18	9
ASVF_110	ASVF_161	18	9
ASVF_153	ASVF_161	18	9
ASVF_161	ASVF_161	18	9
ASVF_174	ASVF_161	18	9
ASVF_199	ASVF_161	18	9
ASVF_346	ASVF_161	18	9
ASVF_494	ASVF_161	18	9
ASVF_71	ASVF_207	19	19
ASVF_75	ASVF_207	19	19
ASVF_91	ASVF_207	19	19
ASVF_145	ASVF_207	19	19
ASVF_158	ASVF_207	19	19
ASVF_164	ASVF_207	19	19
ASVF_207	ASVF_207	19	19
ASVF_209	ASVF_207	19	19
ASVF_270	ASVF_207	19	19
ASVF_313	ASVF_207	19	19
ASVF_381	ASVF_207	19	19
ASVF_439	ASVF_207	19	19
ASVF_461	ASVF_207	19	19
ASVF_504	ASVF_207	19	19
ASVF_572	ASVF_207	19	19
ASVF_612	ASVF_207	19	19
ASVF_677	ASVF_207	19	19
ASVF_885	ASVF_207	19	19
ASVF_1019	ASVF_207	19	19
ASVF_213	ASVF_251	20	6
ASVF_223	ASVF_251	20	6
ASVF_251	ASVF_251	20	6
ASVF_264	ASVF_251	20	6
ASVF_275	ASVF_251	20	6
ASVF_317	ASVF_251	20	6
ASVF_172	ASVF_300	21	26
ASVF_180	ASVF_300	21	26
ASVF_212	ASVF_300	21	26
ASVF_253	ASVF_300	21	26
ASVF_280	ASVF_300	21	26
ASVF_300	ASVF_300	21	26
ASVF_325	ASVF_300	21	26
ASVF_382	ASVF_300	21	26
ASVF_385	ASVF_300	21	26
ASVF_395	ASVF_300	21	26
ASVF_420	ASVF_300	21	26
ASVF_423	ASVF_300	21	26
