ID	Exemplar	Cluster	Cluster_size
ASV_2	ASV_2	1	26
ASV_12	ASV_2	1	26
ASV_16	ASV_2	1	26
ASV_19	ASV_2	1	26
ASV_29	ASV_2	1	26
ASV_48	ASV_2	1	26
ASV_50	ASV_2	1	26
ASV_63	ASV_2	1	26
ASV_64	ASV_2	1	26
ASV_83	ASV_2	1	26
ASV_90	ASV_2	1	26
ASV_99	ASV_2	1	26
ASV_240	ASV_2	1	26
ASV_264	ASV_2	1	26
ASV_335	ASV_2	1	26
ASV_360	ASV_2	1	26
ASV_549	ASV_2	1	26
ASV_560	ASV_2	1	26
ASV_622	ASV_2	1	26
ASV_779	ASV_2	1	26
ASV_832	ASV_2	1	26
ASV_879	ASV_2	1	26
ASV_1463	ASV_2	1	26
ASV_1768	ASV_2	1	26
ASV_1770	ASV_2	1	26
ASV_3326	ASV_2	1	26
ASV_4	ASV_4	2	18
ASV_28	ASV_4	2	18
ASV_32	ASV_4	2	18
ASV_44	ASV_4	2	18
ASV_70	ASV_4	2	18
ASV_98	ASV_4	2	18
ASV_104	ASV_4	2	18
ASV_117	ASV_4	2	18
ASV_121	ASV_4	2	18
ASV_498	ASV_4	2	18
ASV_679	ASV_4	2	18
ASV_806	ASV_4	2	18
ASV_837	ASV_4	2	18
ASV_981	ASV_4	2	18
ASV_1010	ASV_4	2	18
ASV_1426	ASV_4	2	18
ASV_1455	ASV_4	2	18
ASV_1628	ASV_4	2	18
ASV_5	ASV_6	3	11
ASV_6	ASV_6	3	11
ASV_11	ASV_6	3	11
ASV_20	ASV_6	3	11
ASV_26	ASV_6	3	11
ASV_67	ASV_6	3	11
ASV_144	ASV_6	3	11
ASV_171	ASV_6	3	11
ASV_536	ASV_6	3	11
ASV_1214	ASV_6	3	11
ASV_1839	ASV_6	3	11
ASV_8	ASV_8	4	13
ASV_10	ASV_8	4	13
ASV_118	ASV_8	4	13
ASV_140	ASV_8	4	13
ASV_160	ASV_8	4	13
ASV_194	ASV_8	4	13
ASV_253	ASV_8	4	13
ASV_826	ASV_8	4	13
ASV_1025	ASV_8	4	13
ASV_1200	ASV_8	4	13
ASV_1299	ASV_8	4	13
ASV_1499	ASV_8	4	13
ASV_1892	ASV_8	4	13
ASV_21	ASV_21	5	16
ASV_35	ASV_21	5	16
ASV_62	ASV_21	5	16
ASV_69	ASV_21	5	16
ASV_93	ASV_21	5	16
ASV_124	ASV_21	5	16
ASV_330	ASV_21	5	16
ASV_555	ASV_21	5	16
ASV_739	ASV_21	5	16
ASV_769	ASV_21	5	16
ASV_1042	ASV_21	5	16
ASV_1102	ASV_21	5	16
ASV_1403	ASV_21	5	16
ASV_1619	ASV_21	5	16
ASV_1626	ASV_21	5	16
ASV_2569	ASV_21	5	16
ASV_3	ASV_22	6	63
ASV_17	ASV_22	6	63
ASV_22	ASV_22	6	63
ASV_58	ASV_22	6	63
ASV_87	ASV_22	6	63
ASV_96	ASV_22	6	63
ASV_136	ASV_22	6	63
ASV_147	ASV_22	6	63
ASV_175	ASV_22	6	63
ASV_199	ASV_22	6	63
ASV_201	ASV_22	6	63
ASV_205	ASV_22	6	63
ASV_215	ASV_22	6	63
ASV_238	ASV_22	6	63
ASV_242	ASV_22	6	63
ASV_261	ASV_22	6	63
ASV_270	ASV_22	6	63
ASV_368	ASV_22	6	63
ASV_446	ASV_22	6	63
ASV_471	ASV_22	6	63
ASV_487	ASV_22	6	63
ASV_490	ASV_22	6	63
ASV_496	ASV_22	6	63
ASV_530	ASV_22	6	63
ASV_534	ASV_22	6	63
ASV_552	ASV_22	6	63
ASV_602	ASV_22	6	63
ASV_657	ASV_22	6	63
ASV_666	ASV_22	6	63
