Group1	Group2	Distance_Mean	Distance_SD	Distance_PM_Mean	Distance_PM_SD	N	P
arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane	23.54668743	7.024024225	22.41478204	6.969595859	4601025	0.453905933
arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizosphere	98.97314749	10.39605302	34.78567285	10.23755755	1185921	6.75E-06
arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_root	28.20652547	7.875711152	22.44648331	6.784849906	1185921	0.292283135
arabidopsis_thaliana_rhizoplane	CAS	79.57488307	11.64380506	36.25834405	11.03154919	1185921	0.004554262
arabidopsis_thaliana_rhizoplane	chlamydomonas_reinhardtii_phycosphere	57.20798883	10.17978483	26.91915687	9.723531868	1185921	0.023614538
arabidopsis_thaliana_rhizoplane	lotus_japonicus_rhizosphere	51.66774423	14.40737898	27.3444032	8.83700583	1185921	0.071076344
arabidopsis_thaliana_rhizoplane	lotus_japonicus_root	43.75097695	8.592148051	26.35245107	8.322086912	1185921	0.077514373
arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere	29.08608692	10.14071054	29.05610724	9.216893188	4601025	0.511243579
arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_root	83.24061337	12.3256994	37.6634215	12.34227494	1185921	0.010444194
arabidopsis_thaliana_rhizosphere	CAS	42.4143824	10.13488822	28.6193257	9.042738473	1185921	0.155844145
arabidopsis_thaliana_rhizosphere	chlamydomonas_reinhardtii_phycosphere	143.5325506	11.50155892	34.2266818	9.976315473	1185921	8.43E-07
arabidopsis_thaliana_rhizosphere	lotus_japonicus_rhizosphere	72.64360759	10.95820695	32.79218826	8.961731372	1185921	0.002358502
arabidopsis_thaliana_rhizosphere	lotus_japonicus_root	128.2147028	10.16033855	41.38947329	14.28019317	1185921	2.36E-05
arabidopsis_thaliana_root	arabidopsis_thaliana_root	21.27958702	6.5541729	20.99297855	5.707169442	4601025	0.49444124
arabidopsis_thaliana_root	CAS	71.7311219	12.92111047	45.28553804	20.60208559	1185921	0.134247446
arabidopsis_thaliana_root	chlamydomonas_reinhardtii_phycosphere	66.8826864	9.555738336	31.64221614	14.02147987	1185921	0.035649899
arabidopsis_thaliana_root	lotus_japonicus_rhizosphere	57.2600514	16.54286591	28.05928933	8.893294727	1185921	0.054302897
arabidopsis_thaliana_root	lotus_japonicus_root	54.11962605	9.978048539	24.81279071	7.491577606	1185921	0.009173453
CAS	CAS	25.49756222	7.727860524	24.11858845	9.325803892	4601025	0.423494455
CAS	chlamydomonas_reinhardtii_phycosphere	128.1133181	10.21017729	30.5487934	8.519407915	1185921	8.43E-07
CAS	lotus_japonicus_rhizosphere	46.5376171	10.56727175	34.57222368	10.58121471	1185921	0.201932336
CAS	lotus_japonicus_root	108.2493736	10.19824626	40.87444133	15.43848439	1185921	0.001586951
chlamydomonas_reinhardtii_phycosphere	chlamydomonas_reinhardtii_phycosphere	12.59792621	4.001106201	13.99892286	4.634033794	4601025	0.588772591
chlamydomonas_reinhardtii_phycosphere	lotus_japonicus_rhizosphere	100.9903069	13.4308112	31.6626266	10.83180629	1185921	3.37E-06
chlamydomonas_reinhardtii_phycosphere	lotus_japonicus_root	32.57664762	12.56003844	33.24951319	15.10858832	1185921	0.483720683
lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere	26.44040513	11.56649156	25.92494249	10.44764427	4601025	0.497865476
lotus_japonicus_rhizosphere	lotus_japonicus_root	84.56971925	13.67883189	27.62221182	9.131768988	1185921	0.000177077
lotus_japonicus_root	lotus_japonicus_root	23.49543454	9.759131157	25.11634246	11.01661937	4601025	0.535494909
