Group1	Group2	Distance_Mean	Distance_SD	Distance_PM_Mean	Distance_PM_SD	N	P
arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane	0.774738221	0.052384063	0.770138124	0.061680218	1185921	0.47264154
arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizosphere	0.980165062	0.00276471	0.867836088	0.034139512	1185921	8.43E-07
arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_root	0.980783653	0.002488206	0.906619062	0.024657728	1185921	8.43E-07
arabidopsis_thaliana_rhizoplane	CAS	0.986906531	0.002921651	0.818669816	0.037300779	1185921	8.43E-07
arabidopsis_thaliana_rhizoplane	chlamydomonas_reinhardtii_phycosphere	0.994920526	0.000698168	0.774438902	0.043876428	1185921	8.43E-07
arabidopsis_thaliana_rhizoplane	lotus_japonicus_rhizosphere	0.985340219	0.001710279	0.856253422	0.035042256	1185921	8.43E-07
arabidopsis_thaliana_rhizoplane	lotus_japonicus_root	0.987914296	0.001470939	0.851464807	0.039425707	1185921	8.43E-07
arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere	0.852451642	0.036678213	0.850065629	0.038065594	1185921	0.480520641
arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_root	0.971421667	0.005502351	0.887242165	0.02780481	1185921	8.43E-07
arabidopsis_thaliana_rhizosphere	CAS	0.94498966	0.013535306	0.87366877	0.03141849	1185921	0.003049104
arabidopsis_thaliana_rhizosphere	chlamydomonas_reinhardtii_phycosphere	0.989725801	0.001377221	0.850403014	0.033681262	1185921	8.43E-07
arabidopsis_thaliana_rhizosphere	lotus_japonicus_rhizosphere	0.980404246	0.002562647	0.866512367	0.02967257	1185921	8.43E-07
arabidopsis_thaliana_rhizosphere	lotus_japonicus_root	0.990173763	0.00148588	0.830075304	0.031530107	1185921	8.43E-07
arabidopsis_thaliana_root	arabidopsis_thaliana_root	0.893948062	0.026598088	0.897666526	0.027115891	1185921	0.547347971
arabidopsis_thaliana_root	CAS	0.984979503	0.003227575	0.865517832	0.035449459	1185921	8.43E-07
arabidopsis_thaliana_root	chlamydomonas_reinhardtii_phycosphere	0.994147238	0.000937763	0.879773442	0.031298586	1185921	8.43E-07
arabidopsis_thaliana_root	lotus_japonicus_rhizosphere	0.983255137	0.0017675	0.884221094	0.025675712	1185921	8.43E-07
arabidopsis_thaliana_root	lotus_japonicus_root	0.982772973	0.002729735	0.881647966	0.024000081	1185921	8.43E-07
CAS	CAS	0.800002212	0.046411094	0.803991869	0.046165539	1185921	0.520248381
CAS	chlamydomonas_reinhardtii_phycosphere	0.983310267	0.002584322	0.836139395	0.039029335	1185921	8.43E-07
CAS	lotus_japonicus_rhizosphere	0.975590086	0.004172006	0.823928739	0.034038027	1185921	8.43E-07
CAS	lotus_japonicus_root	0.991745472	0.001159049	0.78896834	0.037621635	1185921	8.43E-07
chlamydomonas_reinhardtii_phycosphere	chlamydomonas_reinhardtii_phycosphere	0.735904528	0.057513316	0.74349179	0.068866381	1185921	0.526468857
chlamydomonas_reinhardtii_phycosphere	lotus_japonicus_rhizosphere	0.993470924	0.000783354	0.809528688	0.038278575	1185921	8.43E-07
chlamydomonas_reinhardtii_phycosphere	lotus_japonicus_root	0.99670609	0.000550031	0.778119762	0.040997994	1185921	8.43E-07
lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere	0.822176396	0.043616462	0.81764583	0.045308107	1185921	0.472456873
lotus_japonicus_rhizosphere	lotus_japonicus_root	0.94394928	0.010158277	0.859030346	0.036508362	1185921	0.002357659
lotus_japonicus_root	lotus_japonicus_root	0.8136094	0.040320345	0.820621686	0.044134758	1185921	0.551344861
