C1	C2	Distance	Group1	Group2
chlamydomonas_reinhardtii_phycosphere_bs1	CAS_bs1	117.858404028042	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs2	CAS_bs1	123.611065872851	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs3	CAS_bs1	107.653947070705	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs4	CAS_bs1	109.707074102475	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs5	CAS_bs1	118.089996234925	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs6	CAS_bs1	122.245001568945	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs7	CAS_bs1	113.306608433313	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs8	CAS_bs1	130.245787805033	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs9	CAS_bs1	113.525549769959	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs10	CAS_bs1	113.912765327041	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs11	CAS_bs1	123.058055971347	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs12	CAS_bs1	117.163035636181	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs13	CAS_bs1	116.187386242896	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs14	CAS_bs1	116.298535599304	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs15	CAS_bs1	111.856083594534	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs16	CAS_bs1	109.792392776946	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs17	CAS_bs1	122.918982347522	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs18	CAS_bs1	107.893322154788	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs19	CAS_bs1	119.818440632087	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs20	CAS_bs1	120.232961763158	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs21	CAS_bs1	115.570201019775	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs22	CAS_bs1	117.030073402153	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs23	CAS_bs1	121.452760558522	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs24	CAS_bs1	114.177390790699	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs25	CAS_bs1	117.381008582908	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs26	CAS_bs1	115.910654911529	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs27	CAS_bs1	114.12509050554	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs28	CAS_bs1	125.51448842699	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs29	CAS_bs1	123.311068194799	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs30	CAS_bs1	117.113117846083	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs31	CAS_bs1	108.681396235736	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs32	CAS_bs1	122.006403354313	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs33	CAS_bs1	119.01862125615	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs1	CAS_bs2	125.42800338679	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs2	CAS_bs2	132.288252575219	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs3	CAS_bs2	115.127851713436	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs4	CAS_bs2	116.743861028051	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs5	CAS_bs2	127.594567570045	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs6	CAS_bs2	132.065424927264	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs7	CAS_bs2	121.195130134533	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs8	CAS_bs2	138.661692836294	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs9	CAS_bs2	122.9530677945	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs10	CAS_bs2	121.334874096662	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs11	CAS_bs2	131.744822037197	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs12	CAS_bs2	125.900533010888	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs13	CAS_bs2	124.016136834293	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs14	CAS_bs2	124.865186970717	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs15	CAS_bs2	120.150150749855	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs16	CAS_bs2	118.359161883824	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs17	CAS_bs2	131.914498116877	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs18	CAS_bs2	114.478898809947	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs19	CAS_bs2	129.048515527524	chlamydomonas_reinhardtii_phycosphere	CAS
chlamydomonas_reinhardtii_phycosphere_bs20	CAS_bs2	128.271302443194	chlamydomonas_reinhardtii_phycosphere	CAS
