C1	C2	Distance	Group1	Group2
CAS_bs1	arabidopsis_thaliana_rhizoplane_bs1	74.7789391580114	CAS	arabidopsis_thaliana_rhizoplane
CAS_bs2	arabidopsis_thaliana_rhizoplane_bs1	63.1455404031158	CAS	arabidopsis_thaliana_rhizoplane
CAS_bs3	arabidopsis_thaliana_rhizoplane_bs1	72.6865498914418	CAS	arabidopsis_thaliana_rhizoplane
CAS_bs4	arabidopsis_thaliana_rhizoplane_bs1	58.2546637320441	CAS	arabidopsis_thaliana_rhizoplane
CAS_bs5	arabidopsis_thaliana_rhizoplane_bs1	61.8289044612538	CAS	arabidopsis_thaliana_rhizoplane
CAS_bs6	arabidopsis_thaliana_rhizoplane_bs1	78.3410563017364	CAS	arabidopsis_thaliana_rhizoplane
CAS_bs7	arabidopsis_thaliana_rhizoplane_bs1	72.162936678822	CAS	arabidopsis_thaliana_rhizoplane
CAS_bs8	arabidopsis_thaliana_rhizoplane_bs1	68.7008713521217	CAS	arabidopsis_thaliana_rhizoplane
CAS_bs9	arabidopsis_thaliana_rhizoplane_bs1	61.6213096360722	CAS	arabidopsis_thaliana_rhizoplane
CAS_bs10	arabidopsis_thaliana_rhizoplane_bs1	78.4458599026544	CAS	arabidopsis_thaliana_rhizoplane
CAS_bs11	arabidopsis_thaliana_rhizoplane_bs1	65.0289194364314	CAS	arabidopsis_thaliana_rhizoplane
CAS_bs12	arabidopsis_thaliana_rhizoplane_bs1	69.1205773648058	CAS	arabidopsis_thaliana_rhizoplane
CAS_bs13	arabidopsis_thaliana_rhizoplane_bs1	75.9746161875948	CAS	arabidopsis_thaliana_rhizoplane
CAS_bs14	arabidopsis_thaliana_rhizoplane_bs1	56.6977976621026	CAS	arabidopsis_thaliana_rhizoplane
CAS_bs15	arabidopsis_thaliana_rhizoplane_bs1	60.732591876509	CAS	arabidopsis_thaliana_rhizoplane
CAS_bs16	arabidopsis_thaliana_rhizoplane_bs1	80.34219437623	CAS	arabidopsis_thaliana_rhizoplane
CAS_bs17	arabidopsis_thaliana_rhizoplane_bs1	75.0063998163615	CAS	arabidopsis_thaliana_rhizoplane
CAS_bs18	arabidopsis_thaliana_rhizoplane_bs1	68.8916303382243	CAS	arabidopsis_thaliana_rhizoplane
CAS_bs19	arabidopsis_thaliana_rhizoplane_bs1	69.4617727358421	CAS	arabidopsis_thaliana_rhizoplane
CAS_bs20	arabidopsis_thaliana_rhizoplane_bs1	79.7601783936367	CAS	arabidopsis_thaliana_rhizoplane
CAS_bs21	arabidopsis_thaliana_rhizoplane_bs1	71.7821542903096	CAS	arabidopsis_thaliana_rhizoplane
