C1	C2	Distance	Group1	Group2
arabidopsis_thaliana_rhizoplane_bs2	arabidopsis_thaliana_rhizoplane_bs1	15.3164991757187	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs3	arabidopsis_thaliana_rhizoplane_bs1	29.9511400306324	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs4	arabidopsis_thaliana_rhizoplane_bs1	29.9759955320845	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs5	arabidopsis_thaliana_rhizoplane_bs1	16.341469414975	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs6	arabidopsis_thaliana_rhizoplane_bs1	29.3157490390198	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs7	arabidopsis_thaliana_rhizoplane_bs1	14.1773961131241	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs8	arabidopsis_thaliana_rhizoplane_bs1	12.2738383110281	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs9	arabidopsis_thaliana_rhizoplane_bs1	17.5327317855823	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs10	arabidopsis_thaliana_rhizoplane_bs1	18.1430095382999	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs11	arabidopsis_thaliana_rhizoplane_bs1	19.2180163894063	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs12	arabidopsis_thaliana_rhizoplane_bs1	22.9616827194418	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs13	arabidopsis_thaliana_rhizoplane_bs1	12.9945226282548	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs14	arabidopsis_thaliana_rhizoplane_bs1	21.0220532971216	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs15	arabidopsis_thaliana_rhizoplane_bs1	14.1773000677675	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs16	arabidopsis_thaliana_rhizoplane_bs1	17.4394506949709	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs17	arabidopsis_thaliana_rhizoplane_bs1	22.6077182977459	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs18	arabidopsis_thaliana_rhizoplane_bs1	15.2957674033689	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs19	arabidopsis_thaliana_rhizoplane_bs1	16.0733372668672	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs20	arabidopsis_thaliana_rhizoplane_bs1	16.070923668355	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs21	arabidopsis_thaliana_rhizoplane_bs1	22.4736140864978	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs22	arabidopsis_thaliana_rhizoplane_bs1	13.1039605443892	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs23	arabidopsis_thaliana_rhizoplane_bs1	12.7084239224394	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs24	arabidopsis_thaliana_rhizoplane_bs1	13.0959783926683	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs25	arabidopsis_thaliana_rhizoplane_bs1	15.5551719669889	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs26	arabidopsis_thaliana_rhizoplane_bs1	28.4087531447409	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs27	arabidopsis_thaliana_rhizoplane_bs1	23.4834475875694	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs28	arabidopsis_thaliana_rhizoplane_bs1	20.5320127868139	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs29	arabidopsis_thaliana_rhizoplane_bs1	14.3923727079512	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs30	arabidopsis_thaliana_rhizoplane_bs1	19.5206346301403	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs31	arabidopsis_thaliana_rhizoplane_bs1	17.6808172118883	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs32	arabidopsis_thaliana_rhizoplane_bs1	17.0823187704712	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs33	arabidopsis_thaliana_rhizoplane_bs1	16.4497260306174	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs1	arabidopsis_thaliana_rhizoplane_bs1	13.2839810954761	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs2	arabidopsis_thaliana_rhizoplane_bs1	17.6710249703232	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs3	arabidopsis_thaliana_rhizoplane_bs1	18.804806008177	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs4	arabidopsis_thaliana_rhizoplane_bs1	16.3177238622558	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs5	arabidopsis_thaliana_rhizoplane_bs1	15.9698966215174	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs6	arabidopsis_thaliana_rhizoplane_bs1	16.223680294248	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs7	arabidopsis_thaliana_rhizoplane_bs1	18.8757785555063	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs8	arabidopsis_thaliana_rhizoplane_bs1	23.2936996693365	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs9	arabidopsis_thaliana_rhizoplane_bs1	13.2156076328259	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs10	arabidopsis_thaliana_rhizoplane_bs1	21.0033056103103	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs11	arabidopsis_thaliana_rhizoplane_bs1	17.9207921806006	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs12	arabidopsis_thaliana_rhizoplane_bs1	16.1418712916983	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs13	arabidopsis_thaliana_rhizoplane_bs1	9.84859277710398	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs14	arabidopsis_thaliana_rhizoplane_bs1	14.7144289277018	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs15	arabidopsis_thaliana_rhizoplane_bs1	19.0663917193552	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs16	arabidopsis_thaliana_rhizoplane_bs1	14.4887092064003	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs17	arabidopsis_thaliana_rhizoplane_bs1	11.5946216772232	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs18	arabidopsis_thaliana_rhizoplane_bs1	12.7304055697748	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs19	arabidopsis_thaliana_rhizoplane_bs1	14.8609318754524	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs20	arabidopsis_thaliana_rhizoplane_bs1	17.5826763337756	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs21	arabidopsis_thaliana_rhizoplane_bs1	12.804515051523	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs22	arabidopsis_thaliana_rhizoplane_bs1	14.6667342817876	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizoplane_bs23	arabidopsis_thaliana_rhizoplane_bs1	17.6801836100544	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizoplane
