C1	C2	Distance	Group1	Group2
lotus_japonicus_rhizosphere_bs1	arabidopsis_thaliana_rhizoplane_bs1	74.8502402715041	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizoplane
lotus_japonicus_rhizosphere_bs2	arabidopsis_thaliana_rhizoplane_bs1	76.4065019750412	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizoplane
lotus_japonicus_rhizosphere_bs3	arabidopsis_thaliana_rhizoplane_bs1	37.2529976518975	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizoplane
lotus_japonicus_rhizosphere_bs4	arabidopsis_thaliana_rhizoplane_bs1	71.8572149161067	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizoplane
lotus_japonicus_rhizosphere_bs5	arabidopsis_thaliana_rhizoplane_bs1	67.662613741046	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizoplane
lotus_japonicus_rhizosphere_bs6	arabidopsis_thaliana_rhizoplane_bs1	52.6868858640452	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizoplane
lotus_japonicus_rhizosphere_bs7	arabidopsis_thaliana_rhizoplane_bs1	60.1842494424547	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizoplane
lotus_japonicus_rhizosphere_bs8	arabidopsis_thaliana_rhizoplane_bs1	77.9321834990744	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizoplane
lotus_japonicus_rhizosphere_bs9	arabidopsis_thaliana_rhizoplane_bs1	64.0734626157822	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizoplane
lotus_japonicus_rhizosphere_bs10	arabidopsis_thaliana_rhizoplane_bs1	55.0817175520007	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizoplane
lotus_japonicus_rhizosphere_bs11	arabidopsis_thaliana_rhizoplane_bs1	64.8267489005334	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizoplane
lotus_japonicus_rhizosphere_bs12	arabidopsis_thaliana_rhizoplane_bs1	53.2427338383454	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizoplane
lotus_japonicus_rhizosphere_bs13	arabidopsis_thaliana_rhizoplane_bs1	52.2189412289252	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizoplane
lotus_japonicus_rhizosphere_bs14	arabidopsis_thaliana_rhizoplane_bs1	67.4993770425691	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizoplane
lotus_japonicus_rhizosphere_bs15	arabidopsis_thaliana_rhizoplane_bs1	61.6937861622043	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizoplane
lotus_japonicus_rhizosphere_bs16	arabidopsis_thaliana_rhizoplane_bs1	57.68224485706	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizoplane
lotus_japonicus_rhizosphere_bs17	arabidopsis_thaliana_rhizoplane_bs1	70.9816771735709	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizoplane
lotus_japonicus_rhizosphere_bs18	arabidopsis_thaliana_rhizoplane_bs1	44.7905039347715	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizoplane
lotus_japonicus_rhizosphere_bs19	arabidopsis_thaliana_rhizoplane_bs1	49.9689194670965	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizoplane
