C1	C2	Distance	Group1	Group2
chlamydomonas_reinhardtii_phycosphere_bs1	arabidopsis_thaliana_root_bs1	74.6593059791447	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_root
chlamydomonas_reinhardtii_phycosphere_bs2	arabidopsis_thaliana_root_bs1	78.1441013295801	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_root
chlamydomonas_reinhardtii_phycosphere_bs3	arabidopsis_thaliana_root_bs1	74.9563756839088	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_root
chlamydomonas_reinhardtii_phycosphere_bs4	arabidopsis_thaliana_root_bs1	79.4136894250936	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_root
chlamydomonas_reinhardtii_phycosphere_bs5	arabidopsis_thaliana_root_bs1	72.1795126626625	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_root
chlamydomonas_reinhardtii_phycosphere_bs6	arabidopsis_thaliana_root_bs1	76.9859110232764	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_root
chlamydomonas_reinhardtii_phycosphere_bs7	arabidopsis_thaliana_root_bs1	73.8202888410139	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_root
chlamydomonas_reinhardtii_phycosphere_bs8	arabidopsis_thaliana_root_bs1	79.7155588809387	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_root
chlamydomonas_reinhardtii_phycosphere_bs9	arabidopsis_thaliana_root_bs1	73.4607529491989	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_root
chlamydomonas_reinhardtii_phycosphere_bs10	arabidopsis_thaliana_root_bs1	69.1809694782082	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_root
chlamydomonas_reinhardtii_phycosphere_bs11	arabidopsis_thaliana_root_bs1	73.1645091608942	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_root
chlamydomonas_reinhardtii_phycosphere_bs12	arabidopsis_thaliana_root_bs1	75.1011876477699	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_root
chlamydomonas_reinhardtii_phycosphere_bs13	arabidopsis_thaliana_root_bs1	72.9389229440148	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_root
chlamydomonas_reinhardtii_phycosphere_bs14	arabidopsis_thaliana_root_bs1	71.9531476052753	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_root
chlamydomonas_reinhardtii_phycosphere_bs15	arabidopsis_thaliana_root_bs1	73.8343319245925	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_root
