C1	C2	Distance	Group1	Group2
lotus_japonicus_root_pm1	CAS_pm1	37.428215057709	lotus_japonicus_root	CAS
lotus_japonicus_root_pm2	CAS_pm1	44.1886330862597	lotus_japonicus_root	CAS
lotus_japonicus_root_pm3	CAS_pm1	45.0089342049733	lotus_japonicus_root	CAS
lotus_japonicus_root_pm4	CAS_pm1	51.4917396900689	lotus_japonicus_root	CAS
lotus_japonicus_root_pm5	CAS_pm1	33.3212366243172	lotus_japonicus_root	CAS
lotus_japonicus_root_pm6	CAS_pm1	32.0301798838662	lotus_japonicus_root	CAS
lotus_japonicus_root_pm7	CAS_pm1	56.0149796654899	lotus_japonicus_root	CAS
lotus_japonicus_root_pm8	CAS_pm1	84.1193781647831	lotus_japonicus_root	CAS
lotus_japonicus_root_pm9	CAS_pm1	47.8201831835739	lotus_japonicus_root	CAS
lotus_japonicus_root_pm10	CAS_pm1	61.7716831044795	lotus_japonicus_root	CAS
lotus_japonicus_root_pm11	CAS_pm1	35.7879371707919	lotus_japonicus_root	CAS
lotus_japonicus_root_pm12	CAS_pm1	32.4223657092642	lotus_japonicus_root	CAS
lotus_japonicus_root_pm13	CAS_pm1	51.3644293443087	lotus_japonicus_root	CAS
lotus_japonicus_root_pm14	CAS_pm1	55.5659740736771	lotus_japonicus_root	CAS
lotus_japonicus_root_pm15	CAS_pm1	62.5905428825689	lotus_japonicus_root	CAS
lotus_japonicus_root_pm16	CAS_pm1	36.8341618640336	lotus_japonicus_root	CAS
lotus_japonicus_root_pm17	CAS_pm1	63.0361081065295	lotus_japonicus_root	CAS
lotus_japonicus_root_pm18	CAS_pm1	22.9727482388432	lotus_japonicus_root	CAS
lotus_japonicus_root_pm19	CAS_pm1	36.4958987238797	lotus_japonicus_root	CAS
lotus_japonicus_root_pm20	CAS_pm1	48.5895873526834	lotus_japonicus_root	CAS
lotus_japonicus_root_pm21	CAS_pm1	30.3578070212526	lotus_japonicus_root	CAS
