C1	C2	Distance	Group1	Group2
chlamydomonas_reinhardtii_phycosphere_pm1	arabidopsis_thaliana_rhizosphere_pm1	30.5946180395946	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_rhizosphere
chlamydomonas_reinhardtii_phycosphere_pm2	arabidopsis_thaliana_rhizosphere_pm1	42.518380155716	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_rhizosphere
chlamydomonas_reinhardtii_phycosphere_pm3	arabidopsis_thaliana_rhizosphere_pm1	23.6482272419789	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_rhizosphere
chlamydomonas_reinhardtii_phycosphere_pm4	arabidopsis_thaliana_rhizosphere_pm1	43.6293355890138	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_rhizosphere
chlamydomonas_reinhardtii_phycosphere_pm5	arabidopsis_thaliana_rhizosphere_pm1	30.8191912796426	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_rhizosphere
chlamydomonas_reinhardtii_phycosphere_pm6	arabidopsis_thaliana_rhizosphere_pm1	43.0956106374931	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_rhizosphere
chlamydomonas_reinhardtii_phycosphere_pm7	arabidopsis_thaliana_rhizosphere_pm1	42.1729371120528	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_rhizosphere
chlamydomonas_reinhardtii_phycosphere_pm8	arabidopsis_thaliana_rhizosphere_pm1	27.8118673100035	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_rhizosphere
chlamydomonas_reinhardtii_phycosphere_pm9	arabidopsis_thaliana_rhizosphere_pm1	38.1826161896955	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_rhizosphere
chlamydomonas_reinhardtii_phycosphere_pm10	arabidopsis_thaliana_rhizosphere_pm1	43.9855063114099	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_rhizosphere
chlamydomonas_reinhardtii_phycosphere_pm11	arabidopsis_thaliana_rhizosphere_pm1	26.0526302803436	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_rhizosphere
chlamydomonas_reinhardtii_phycosphere_pm12	arabidopsis_thaliana_rhizosphere_pm1	40.5416991004654	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_rhizosphere
chlamydomonas_reinhardtii_phycosphere_pm13	arabidopsis_thaliana_rhizosphere_pm1	45.155853947972	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_rhizosphere
chlamydomonas_reinhardtii_phycosphere_pm14	arabidopsis_thaliana_rhizosphere_pm1	26.1373474272326	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_rhizosphere
chlamydomonas_reinhardtii_phycosphere_pm15	arabidopsis_thaliana_rhizosphere_pm1	49.2490604120327	chlamydomonas_reinhardtii_phycosphere	arabidopsis_thaliana_rhizosphere
