C1	C2	Distance	Group1	Group2
CAS_pm1	arabidopsis_thaliana_root_pm1	58.4894709590822	CAS	arabidopsis_thaliana_root
CAS_pm2	arabidopsis_thaliana_root_pm1	25.7647244742352	CAS	arabidopsis_thaliana_root
CAS_pm3	arabidopsis_thaliana_root_pm1	32.4599410604453	CAS	arabidopsis_thaliana_root
CAS_pm4	arabidopsis_thaliana_root_pm1	30.8279137038757	CAS	arabidopsis_thaliana_root
CAS_pm5	arabidopsis_thaliana_root_pm1	42.1308300353776	CAS	arabidopsis_thaliana_root
CAS_pm6	arabidopsis_thaliana_root_pm1	30.2110392472277	CAS	arabidopsis_thaliana_root
CAS_pm7	arabidopsis_thaliana_root_pm1	37.0175645113637	CAS	arabidopsis_thaliana_root
CAS_pm8	arabidopsis_thaliana_root_pm1	82.3213774593789	CAS	arabidopsis_thaliana_root
CAS_pm9	arabidopsis_thaliana_root_pm1	35.6586184058075	CAS	arabidopsis_thaliana_root
CAS_pm10	arabidopsis_thaliana_root_pm1	27.6153308583204	CAS	arabidopsis_thaliana_root
CAS_pm11	arabidopsis_thaliana_root_pm1	46.2496062920408	CAS	arabidopsis_thaliana_root
CAS_pm12	arabidopsis_thaliana_root_pm1	18.5306955420304	CAS	arabidopsis_thaliana_root
CAS_pm13	arabidopsis_thaliana_root_pm1	83.584926350576	CAS	arabidopsis_thaliana_root
CAS_pm14	arabidopsis_thaliana_root_pm1	40.7658425234397	CAS	arabidopsis_thaliana_root
CAS_pm15	arabidopsis_thaliana_root_pm1	21.5864230410045	CAS	arabidopsis_thaliana_root
CAS_pm16	arabidopsis_thaliana_root_pm1	26.5007340632809	CAS	arabidopsis_thaliana_root
CAS_pm17	arabidopsis_thaliana_root_pm1	41.6253399279212	CAS	arabidopsis_thaliana_root
CAS_pm18	arabidopsis_thaliana_root_pm1	22.2950367738571	CAS	arabidopsis_thaliana_root
CAS_pm19	arabidopsis_thaliana_root_pm1	18.2723087343898	CAS	arabidopsis_thaliana_root
CAS_pm20	arabidopsis_thaliana_root_pm1	24.5299714683323	CAS	arabidopsis_thaliana_root
CAS_pm21	arabidopsis_thaliana_root_pm1	35.4341570922537	CAS	arabidopsis_thaliana_root
CAS_pm22	arabidopsis_thaliana_root_pm1	24.5075684494254	CAS	arabidopsis_thaliana_root
