C1	C2	Distance	Group1	Group2
lotus_japonicus_rhizosphere_pm2	lotus_japonicus_rhizosphere_pm1	36.4598075072179	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm3	lotus_japonicus_rhizosphere_pm1	17.6265183597137	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm4	lotus_japonicus_rhizosphere_pm1	15.7548933760424	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm5	lotus_japonicus_rhizosphere_pm1	41.6691171252968	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm6	lotus_japonicus_rhizosphere_pm1	22.8759163645844	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm7	lotus_japonicus_rhizosphere_pm1	23.4667306907674	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm8	lotus_japonicus_rhizosphere_pm1	32.3765427141678	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm9	lotus_japonicus_rhizosphere_pm1	27.3714051879308	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm10	lotus_japonicus_rhizosphere_pm1	18.6618513566175	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm11	lotus_japonicus_rhizosphere_pm1	21.3401105015962	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm12	lotus_japonicus_rhizosphere_pm1	19.8167382761507	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm13	lotus_japonicus_rhizosphere_pm1	29.2313633553517	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm14	lotus_japonicus_rhizosphere_pm1	25.8259890211301	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm15	lotus_japonicus_rhizosphere_pm1	17.2894507514186	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm16	lotus_japonicus_rhizosphere_pm1	25.7937281914787	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm17	lotus_japonicus_rhizosphere_pm1	25.2606101884909	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm18	lotus_japonicus_rhizosphere_pm1	30.3969143927977	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm19	lotus_japonicus_rhizosphere_pm1	19.1588160786624	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm20	lotus_japonicus_rhizosphere_pm1	20.2474350939655	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm21	lotus_japonicus_rhizosphere_pm1	35.3036204788181	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm22	lotus_japonicus_rhizosphere_pm1	26.5221007600604	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm23	lotus_japonicus_rhizosphere_pm1	23.1648346273068	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm24	lotus_japonicus_rhizosphere_pm1	19.0609631885522	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm25	lotus_japonicus_rhizosphere_pm1	30.9462501020825	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm26	lotus_japonicus_rhizosphere_pm1	28.0201833869284	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm27	lotus_japonicus_rhizosphere_pm1	21.571426602468	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm28	lotus_japonicus_rhizosphere_pm1	36.7470548009719	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm29	lotus_japonicus_rhizosphere_pm1	29.0898062307039	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm30	lotus_japonicus_rhizosphere_pm1	12.4437429036434	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm31	lotus_japonicus_rhizosphere_pm1	44.2468474460892	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm32	lotus_japonicus_rhizosphere_pm1	23.3260930095	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm33	lotus_japonicus_rhizosphere_pm1	25.6194382909491	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm1	lotus_japonicus_rhizosphere_pm1	31.0634831357266	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm2	lotus_japonicus_rhizosphere_pm1	16.7788007131745	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm3	lotus_japonicus_rhizosphere_pm1	20.4576762954988	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm4	lotus_japonicus_rhizosphere_pm1	21.1173015117157	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm5	lotus_japonicus_rhizosphere_pm1	12.7606328306313	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm6	lotus_japonicus_rhizosphere_pm1	22.8907617171202	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm7	lotus_japonicus_rhizosphere_pm1	28.4232347160559	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm8	lotus_japonicus_rhizosphere_pm1	27.8748931831888	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm9	lotus_japonicus_rhizosphere_pm1	43.1863661960516	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm10	lotus_japonicus_rhizosphere_pm1	21.1867976080885	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm11	lotus_japonicus_rhizosphere_pm1	25.8255583169235	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm12	lotus_japonicus_rhizosphere_pm1	23.7534144886196	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm13	lotus_japonicus_rhizosphere_pm1	21.8682678375714	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm14	lotus_japonicus_rhizosphere_pm1	17.0139527505834	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm15	lotus_japonicus_rhizosphere_pm1	35.087119650396	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm16	lotus_japonicus_rhizosphere_pm1	16.3551845931075	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm17	lotus_japonicus_rhizosphere_pm1	16.8074387074991	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm18	lotus_japonicus_rhizosphere_pm1	28.4165240116749	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm19	lotus_japonicus_rhizosphere_pm1	24.4117430171319	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm20	lotus_japonicus_rhizosphere_pm1	39.8386141343861	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm21	lotus_japonicus_rhizosphere_pm1	25.4004092400187	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm22	lotus_japonicus_rhizosphere_pm1	28.1337690039746	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm23	lotus_japonicus_rhizosphere_pm1	15.5715585330661	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm24	lotus_japonicus_rhizosphere_pm1	56.8152372654286	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm25	lotus_japonicus_rhizosphere_pm1	15.2690314480327	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm26	lotus_japonicus_rhizosphere_pm1	22.7823344404558	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm27	lotus_japonicus_rhizosphere_pm1	24.3068862127854	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm28	lotus_japonicus_rhizosphere_pm1	44.4805201163947	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm29	lotus_japonicus_rhizosphere_pm1	15.4521444407772	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm30	lotus_japonicus_rhizosphere_pm1	20.8223002832163	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm31	lotus_japonicus_rhizosphere_pm1	17.3803366171989	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm32	lotus_japonicus_rhizosphere_pm1	15.5319024523421	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm33	lotus_japonicus_rhizosphere_pm1	17.520859364761	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm3	lotus_japonicus_rhizosphere_pm2	38.8065038663149	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm4	lotus_japonicus_rhizosphere_pm2	38.2644820576371	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm5	lotus_japonicus_rhizosphere_pm2	67.3763116134248	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm6	lotus_japonicus_rhizosphere_pm2	32.4289456597928	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
lotus_japonicus_rhizosphere_pm7	lotus_japonicus_rhizosphere_pm2	55.7995884223481	lotus_japonicus_rhizosphere	lotus_japonicus_rhizosphere
