Family	Decrease	P_value	Comparison
67-14	-2.13457648795981	0.999989872424571	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
A21b	-2.04525243770347	0.999869575294693	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
A4b	-5.52368353248011	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Acidobacteriaceae_(Subgroup_1)	-3.85222290686296	0.999999999995278	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Acidobacteriae_fa	-4.13168429509363	0.999999999999883	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Acidothermaceae	-2.61278401355057	0.999999966098961	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
AKYH767	-6.97531020233748	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Alcaligenaceae	-1.76654265169589	0.999089910801996	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Alicyclobacillaceae	-5.71143063582092	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
B1-7BS	-4.68313934494537	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Bacillaceae	-2.68631457382867	0.999999715342385	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Bacteriovoracaceae	-4.32217463168652	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Bdellovibrionaceae	-4.65149975366434	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Beijerinckiaceae	-1.79584933171255	0.999703730255291	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
BIrii41	-4.67239352475607	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Bryobacteraceae	-2.24218853901547	0.999961758860431	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Burkholderiaceae	-6.63763484830271	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Catenulisporaceae	-2.87085822250899	0.999999987369178	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Caulobacteraceae	-3.36978870254126	0.999999999480269	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cellulomonadaceae	-4.65847953761191	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cellvibrionaceae	-4.12662397539312	0.999999999999987	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Chitinophagaceae	1.64792717890506	0.000371911541222076	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Chloroflexaceae	-3.48922496354311	0.999999999636654	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Clostridiaceae	-4.56002287284606	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Comamonadaceae	-1.17475115714393	0.991295289353322	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Crocinitomicaceae	-2.79555526285606	0.999999965960098	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cytophagaceae	-4.28768690537095	0.999999999999999	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Deinococcaceae	-4.08433869504147	0.999999999999996	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Devosiaceae	-6.56434088782817	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Dongiaceae	-3.5970341719611	0.999999999997845	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Enterobacteriaceae	-3.58437549287102	0.999999999990215	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Entotheonellaceae	-6.02208818049367	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
env.OPS_17	-5.77337346052737	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Erwiniaceae	-2.69369312378682	0.99999997572346	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Fibrobacteraceae	2.81562271234047	1.32949557509389e-09	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Flavobacteriaceae	-3.20633930742369	0.999999999842178	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Frankiaceae	-4.56739093653454	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Gaiellaceae	-2.39291273544964	0.99999916639402	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Geminicoccaceae	-8.78718078666844	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Gemmatimonadaceae	-0.0997236747896011	0.572558264750604	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Geobacteraceae	-5.26983006627464	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Geodermatophilaceae	-5.0759694050126	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Glycomycetaceae	-3.66938253241068	0.999999999999955	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Gracilibacteraceae	-6.5938781522994	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Haliangiaceae	-5.19998543264602	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Herpetosiphonaceae	-6.31407397191127	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Hymenobacteraceae	-1.06944126106333	0.976548274286709	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Hyphomicrobiaceae	-0.889403685869411	0.96445448986531	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Hyphomonadaceae	-3.35039249070442	0.999999999427984	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Iamiaceae	-3.61002094984647	0.99999999999866	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Ilumatobacteraceae	-5.74392194941373	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Intrasporangiaceae	-4.79581191373936	0.999999999999996	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
KF-JG30-B3	-4.58816261849574	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Kineosporiaceae	-4.31092310298945	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Latescibacteraceae	-7.60697823421941	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Leptospiraceae	-6.07073357311404	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Methyloligellaceae	-2.10635002278617	0.999958785724623	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Methylophilaceae	-2.33599310294233	0.999984705148672	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Microbacteriaceae	-3.49170058530136	0.999999999926747	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Micrococcaceae	-1.66216180882761	0.999485326704954	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Micromonosporaceae	-7.49424302140613	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Micropepsaceae	-1.88298567912992	0.999871037763638	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Microscillaceae	-5.26566439769149	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Microtrichaceae	-1.8968741936323	0.999734700828097	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Mitochondria	-3.57977126235804	0.999999999974002	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Moraxellaceae	-7.28405163050031	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Mycobacteriaceae	-3.41027677661396	0.999999999913835	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Myxococcaceae	-5.29079671411181	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Nakamurellaceae	-2.37454665075039	0.999999005532286	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Nannocystaceae	-7.05606650846126	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Nitrosomonadaceae	-0.438289986589467	0.774812389084646	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Nitrososphaeraceae	-6.09764218899522	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Nitrospiraceae	-4.51135557288785	0.999999999999978	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Nocardiaceae	-0.196755190227947	0.650481468976771	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Nocardioidaceae	-0.94128334900239	0.972619815452141	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
NS9_marine_group	0.367064352305079	0.235854561710603	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Oligoflexales_fa	-6.87886865692231	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Oxalobacteraceae	0.0720319825138205	0.44446761161148	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Paenibacillaceae	-5.82133901613113	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Pedosphaeraceae	-2.78629684025142	0.999999219273315	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Peptostreptococcaceae	-4.32199716293267	0.999999999999975	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Phaselicystidaceae	-1.52139504413775	0.997781907787814	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Phycisphaeraceae	-5.79597330781984	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Planococcaceae	1.09246227249945	0.0140761179310755	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Polyangiaceae	-1.49533641990138	0.996250040799101	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Promicromonosporaceae	-3.79933933258161	0.999999999999893	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Propionibacteriaceae	-5.63451100999441	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Pseudohongiellaceae	-4.17030464372245	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Pseudomonadaceae	-1.94696092982171	0.999950814250592	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Pseudonocardiaceae	-2.03161857914972	0.999954638879384	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Reyranellaceae	-5.52058700074565	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Rhizobiaceae	-4.11443579552063	0.999999999999997	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Rhizobiales_Incertae_Sedis	-2.23083729169231	0.999989580179965	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Rhodanobacteraceae	-2.6946879359237	0.999999714015563	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Rhodobacteraceae	-3.36023953642773	0.999999999988778	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Rhodocyclaceae	-9.83192265897166	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Roseiflexaceae	0.453445737917932	0.196834041901389	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Rubrobacteriaceae	-2.47446520238319	0.999998246946424	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Saccharimonadaceae	-3.25931716558685	0.999999999753656	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Salisediminibacteriaceae	-5.5637148458366	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Sandaracinaceae	-3.34517868394158	0.999999984864552	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Saprospiraceae	-6.50203295081664	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
SC-I-84	-0.437332502553645	0.803463547900036	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Solibacteraceae	-6.88476693386551	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Solimonadaceae	-3.71598725580137	0.999999999986019	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Solirubrobacteraceae	-2.31187029689229	0.999997059465788	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Sphingomonadaceae	-1.03686934937292	0.976499334257058	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Sporichthyaceae	-4.25204577863275	0.999999999999999	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Staphylococcaceae	-5.97416861901583	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Steroidobacteraceae	-4.95544993986292	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Streptomycetaceae	-2.70201471980026	0.999999911818611	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Streptosporangiaceae	-3.97803150185592	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Sutterellaceae	-3.94029275747353	0.999999999999996	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Thermoanaerobaculaceae	-5.95879993659759	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Thermomonosporaceae	-7.0529478521876	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
TRA3-20	-5.53736250700827	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Unknown_Family	-5.62559701857232	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Xanthobacteraceae	-4.13983145069794	0.999999999999915	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Xanthomonadaceae	0.279203282284044	0.274121951574141	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
67-14	-1.00335474208583	0.992699924451835	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
A21b	-0.483629456098683	0.863840801727542	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
A4b	-1.46777304852002	0.999779045549809	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Acidobacteriaceae_(Subgroup_1)	-0.463489092958334	0.868428770715428	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Acidobacteriae_fa	-0.530898654915163	0.875994664268274	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Acidothermaceae	3.31473400422545	9.91868515890126e-13	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
AKYH767	-0.0896939699147765	0.584310831960059	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Alcaligenaceae	1.66836325641559	4.99787414992574e-05	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Alicyclobacillaceae	-0.346256993451298	0.78962028077909	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
B1-7BS	1.10658740392804	0.00778505094424623	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Bacillaceae	-6.61025806939281	1	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Bacteriovoracaceae	-0.624430050898702	0.920385515776843	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Bdellovibrionaceae	-1.21704576997578	0.998069014964976	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Beijerinckiaceae	-2.1867521284011	0.999998789756879	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
BIrii41	4.92311017288876	8.90359475546839e-31	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Bryobacteraceae	3.92342914063895	3.23404391793484e-19	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Burkholderiaceae	-0.930907059792759	0.978011353260369	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Catenulisporaceae	1.79082261544304	1.7088422897597e-05	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Caulobacteraceae	3.0652135198773	1.54659162811784e-12	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cellulomonadaceae	-2.69509642975129	0.999999999950642	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cellvibrionaceae	3.96824705963424	6.0752185697148e-19	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Chitinophagaceae	3.44962715569982	5.85061146743988e-14	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Chloroflexaceae	0.639539185936741	0.0732365710831229	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Clostridiaceae	-1.57354528844569	0.999850429703423	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Comamonadaceae	12.7620733012626	9.25508998907558e-203	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Crocinitomicaceae	1.90092476960397	3.73655700805642e-07	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cytophagaceae	-0.713453175409676	0.944418246470448	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Deinococcaceae	1.75015999984506	5.35270394447385e-05	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Devosiaceae	-0.79675021567725	0.957563814488801	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Dongiaceae	-1.32631398050728	0.999282509117613	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Enterobacteriaceae	1.98606288011743	2.19713081019954e-06	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Entotheonellaceae	-1.05572014006525	0.994315276461157	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
env.OPS_17	-1.39365982492367	0.999528197871769	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Erwiniaceae	1.00285925881405	0.0119423566743175	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Fibrobacteraceae	3.58740502193845	7.3591306473151e-19	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Flavobacteriaceae	1.5907938419958	0.000111067155499266	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Frankiaceae	1.60822007861279	0.000238960166368473	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Gaiellaceae	-1.42383058860731	0.999448634589163	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Geminicoccaceae	0.967552010937702	0.0127178540025344	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Gemmatimonadaceae	-1.4685073846806	0.999698669145206	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Geobacteraceae	0.146675670966786	0.368712247345351	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Geodermatophilaceae	0.0563265454796706	0.448843867656814	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Glycomycetaceae	-0.565513734164902	0.900478411976089	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Gracilibacteraceae	0.154189875405933	0.366117038479835	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Haliangiaceae	6.1033885637869	9.45344192905331e-45	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Herpetosiphonaceae	0.439009939380036	0.162123210521758	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Hymenobacteraceae	0.316489911700877	0.23340125926098	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Hyphomicrobiaceae	2.22969218905308	2.07772297700886e-07	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Hyphomonadaceae	1.561494691112	0.000336512470669212	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Iamiaceae	0.709983382174926	0.0429136561022553	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Ilumatobacteraceae	0.287083304467721	0.262152226089693	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Intrasporangiaceae	1.20863700580651	0.00451779316901902	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
KF-JG30-B3	1.9456683562518	4.37986422785541e-06	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Kineosporiaceae	1.24121353075703	0.00277115539981798	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Latescibacteraceae	2.00907296880333	1.8317296185985e-06	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Leptospiraceae	3.87610193888949	3.25885825376775e-18	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Methyloligellaceae	-1.32849607605533	0.99806737141843	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
