Family	Decrease	Comparison	Color
67-14	-2.13457648795981	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
A21b	-2.04525243770347	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
A4b	-5.52368353248011	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Acidobacteriaceae_(Subgroup_1)	-3.85222290686296	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Acidobacteriae_fa	-4.13168429509363	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Acidothermaceae	-2.61278401355057	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
AKYH767	-6.97531020233748	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Alcaligenaceae	-1.76654265169589	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Alicyclobacillaceae	-5.71143063582092	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
B1-7BS	-4.68313934494537	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Bacillaceae	-2.68631457382867	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Bacteriovoracaceae	-4.32217463168652	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Bdellovibrionaceae	-4.65149975366434	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Beijerinckiaceae	-1.79584933171255	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
BIrii41	-4.67239352475607	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Bryobacteraceae	-2.24218853901547	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Burkholderiaceae	-6.63763484830271	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Catenulisporaceae	-2.87085822250899	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Caulobacteraceae	-3.36978870254126	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cellulomonadaceae	-4.65847953761191	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cellvibrionaceae	-4.12662397539312	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Chitinophagaceae	1.64792717890506	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Chloroflexaceae	-3.48922496354311	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Clostridiaceae	-4.56002287284606	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Comamonadaceae	-1.17475115714393	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Crocinitomicaceae	-2.79555526285606	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cytophagaceae	-4.28768690537095	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Deinococcaceae	-4.08433869504147	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Devosiaceae	-6.56434088782817	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Dongiaceae	-3.5970341719611	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Enterobacteriaceae	-3.58437549287102	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Entotheonellaceae	-6.02208818049367	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
env.OPS_17	-5.77337346052737	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Erwiniaceae	-2.69369312378682	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Fibrobacteraceae	2.81562271234047	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Flavobacteriaceae	-3.20633930742369	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Frankiaceae	-4.56739093653454	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Gaiellaceae	-2.39291273544964	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Geminicoccaceae	-8.78718078666844	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Gemmatimonadaceae	-0.0997236747896011	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Geobacteraceae	-5.26983006627464	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Geodermatophilaceae	-5.0759694050126	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Glycomycetaceae	-3.66938253241068	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Gracilibacteraceae	-6.5938781522994	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Haliangiaceae	-5.19998543264602	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Herpetosiphonaceae	-6.31407397191127	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Hymenobacteraceae	-1.06944126106333	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
