Group	Number_of_ASVs	Compartment
67-14	8	soil
A21b	8	soil
A4b	1	soil
Acidobacteriaceae_(Subgroup_1)	6	soil
Acidobacteriae_fa	1	soil
Acidothermaceae	2	soil
AKYH767	4	soil
Alcaligenaceae	2	soil
Alicyclobacillaceae	3	soil
B1-7BS	1	soil
Bacillaceae	36	soil
Bacteriovoracaceae	5	soil
Bdellovibrionaceae	2	soil
Beijerinckiaceae	13	soil
BIrii41	11	soil
Bryobacteraceae	5	soil
Burkholderiaceae	14	soil
Catenulisporaceae	1	soil
Caulobacteraceae	23	soil
Cellulomonadaceae	2	soil
Cellvibrionaceae	6	soil
Chitinophagaceae	16	soil
Clostridiaceae	5	soil
Comamonadaceae	104	soil
Crocinitomicaceae	1	soil
Devosiaceae	17	soil
Dongiaceae	6	soil
Entotheonellaceae	1	soil
env.OPS_17	6	soil
Erwiniaceae	1	soil
Fibrobacteraceae	4	soil
Flavobacteriaceae	29	soil
Frankiaceae	1	soil
Gaiellaceae	21	soil
Geminicoccaceae	1	soil
Gemmatimonadaceae	37	soil
Geobacteraceae	2	soil
Geodermatophilaceae	6	soil
Glycomycetaceae	1	soil
Gracilibacteraceae	2	soil
Haliangiaceae	23	soil
Herpetosiphonaceae	1	soil
Hymenobacteraceae	4	soil
Hyphomicrobiaceae	10	soil
Hyphomonadaceae	2	soil
Iamiaceae	2	soil
Ilumatobacteraceae	8	soil
Intrasporangiaceae	14	soil
KF-JG30-B3	1	soil
Kineosporiaceae	1	soil
Latescibacteraceae	1	soil
Leptospiraceae	3	soil
Methyloligellaceae	7	soil
Methylophilaceae	18	soil
Microbacteriaceae	18	soil
Micrococcaceae	17	soil
Micromonosporaceae	13	soil
Micropepsaceae	6	soil
Microscillaceae	22	soil
Microtrichaceae	1	soil
Moraxellaceae	4	soil
Mycobacteriaceae	24	soil
Myxococcaceae	6	soil
Nakamurellaceae	6	soil
Nannocystaceae	1	soil
Nitrosomonadaceae	36	soil
Nitrososphaeraceae	1	soil
Nitrospiraceae	16	soil
Nocardiaceae	1	soil
Nocardioidaceae	45	soil
NS9_marine_group	1	soil
Oligoflexales_fa	1	soil
Oxalobacteraceae	102	soil
Paenibacillaceae	15	soil
Pedosphaeraceae	29	soil
Peptostreptococcaceae	2	soil
Phaselicystidaceae	2	soil
Phycisphaeraceae	3	soil
Planococcaceae	7	soil
Polyangiaceae	7	soil
Promicromonosporaceae	1	soil
Propionibacteriaceae	6	soil
Pseudohongiellaceae	1	soil
Pseudomonadaceae	20	soil
Pseudonocardiaceae	17	soil
Reyranellaceae	5	soil
Rhizobiaceae	33	soil
Rhizobiales_Incertae_Sedis	8	soil
Rhodanobacteraceae	13	soil
Rhodobacteraceae	1	soil
Rhodocyclaceae	2	soil
Roseiflexaceae	48	soil
Rubrobacteriaceae	1	soil
Saccharimonadaceae	1	soil
Salisediminibacteriaceae	1	soil
Sandaracinaceae	4	soil
Saprospiraceae	1	soil
SC-I-84	25	soil
Solibacteraceae	11	soil
Solimonadaceae	1	soil
Solirubrobacteraceae	10	soil
Sphingomonadaceae	51	soil
Sporichthyaceae	1	soil
Steroidobacteraceae	16	soil
Streptomycetaceae	26	soil
Streptosporangiaceae	2	soil
Sutterellaceae	2	soil
Thermoanaerobaculaceae	1	soil
Thermomonosporaceae	8	soil
TRA3-20	7	soil
Unknown_Family	14	soil
Xanthobacteraceae	36	soil
Xanthomonadaceae	40	soil
NA	168	soil
67-14	6	arabidopsis_thaliana_root
A21b	5	arabidopsis_thaliana_root
A4b	1	arabidopsis_thaliana_root
Acidobacteriaceae_(Subgroup_1)	4	arabidopsis_thaliana_root
AKYH767	1	arabidopsis_thaliana_root
Alcaligenaceae	2	arabidopsis_thaliana_root
Alicyclobacillaceae	3	arabidopsis_thaliana_root
Bacillaceae	24	arabidopsis_thaliana_root
Bacteriovoracaceae	5	arabidopsis_thaliana_root
Bdellovibrionaceae	2	arabidopsis_thaliana_root
Beijerinckiaceae	11	arabidopsis_thaliana_root
