Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
67-14	22.2764431814903	0.616958788183371	1	1	1	1
A21b	20.9771303099546	0.668629977350956	1	1	1	1
A4b	24.5512433257099	0.552311197532384	0.999988185555413	1	0.999976410426769	1
Acidobacteriaceae_(Subgroup_1)	25.366752395612	0.513082647931314	0.854805808951082	1	0.97758303078757	1
Acidobacteriae_fa	24.1520337786872	0.567711873124877	0.999999977764984	1	0.99999974385577	1
Acidothermaceae	25.7982126586103	0.500182979993625	0.505899131811332	1	0.783294790725211	1
AKYH767	24.5005801530105	0.553839965866221	0.999993225938417	1	0.99998518342391	1
Alcaligenaceae	23.8225863557723	0.56964791950904	0.999999990914737	1	0.999999999731434	1
Alicyclobacillaceae	23.7783126393883	0.575858277357196	0.99999999956188	1	0.999999999753524	1
All_BS	42.9272048363798	0.112166736092256	6.13191170880804e-216	7.41961316765773e-214	3.14916528747557e-276	3.81048999784544e-274
All_PM	26.0884520225727	0.499541285177271	0.500013592969285	1	0.5	1
B1-7BS	23.8308569787844	0.57249886586133	0.999999997671302	1	0.999999999546107	1
Bacillaceae	23.4894431407577	0.577062403766858	0.999999999763445	1	0.999999999999846	1
Bacteriovoracaceae	24.0231669224332	0.564834786773498	0.999999919538578	1	0.999999988816496	1
Bdellovibrionaceae	24.2367505190222	0.55457525874383	0.999994842961802	1	0.999999710972768	1
Beijerinckiaceae	22.1520432782581	0.625315998859959	1	1	1	1
BIrii41	24.2280287518319	0.558243290874105	0.999998742518345	1	0.999999739382687	1
Bryobacteraceae	22.8727118323357	0.5994938958886	1	1	1	1
Burkholderiaceae	26.1659405979918	0.496116945296571	0.376833502128926	1	0.419772028986813	1
Catenulisporaceae	24.0675348887146	0.571758513629058	0.999999996667232	1	0.999999909107858	1
Caulobacteraceae	19.926507804665	0.704225067078611	1	1	1	1
Cellulomonadaceae	25.2776371676525	0.526353335210916	0.98340330623701	1	0.982921694661327	1
Cellvibrionaceae	23.5429423984671	0.585428889926993	0.99999999999747	1	0.999999999996869	1
Chitinophagaceae	21.5197808150336	0.647986123876612	1	1	1	1
Chloroflexaceae	19.7034466305151	0.715473698944787	1	1	1	1
Clostridiaceae	24.28836821357	0.558185951521264	0.999998713631972	1	0.999999275856428	1
Comamonadaceae	39.3936246191698	0.131753184442147	6.48545731834002e-195	7.78254878200802e-193	1.45530807203111e-235	1.74636968643733e-233
Crocinitomicaceae	23.693914818629	0.570596548508249	0.999999994190949	1	0.99999999999072	1
Cytophagaceae	24.9279554497112	0.534598396859153	0.997413496978046	1	0.999204872784076	1
Deinococcaceae	24.5296703316829	0.551883682063407	0.999986233289465	1	0.999973496452839	1
Devosiaceae	24.9179624758451	0.532954106593857	0.996129649100782	1	0.999162143179423	1
Dongiaceae	23.4439502441396	0.587809316295675	0.999999999999359	1	0.999999999999267	1
Enterobacteriaceae	23.729220810103	0.580066817210575	0.999999999951184	1	0.99999999971253	1
Entotheonellaceae	25.3965674582934	0.51012629835689	0.793422332786965	1	0.973100127009528	1
env.OPS_17	26.1240129278082	0.502585330232511	0.582749585821778	1	0.46341506705077	1
Erwiniaceae	23.7444698726048	0.5791316798238	0.999999999919727	1	0.999999999344927	1
Fibrobacteraceae	26.2702243514757	0.474830553780097	0.0209727366415907	1	0.301772298488456	1
Flavobacteriaceae	31.6551743040878	0.2888596383236	1.39329333904706e-65	1.60228733990412e-63	1.32903018445419e-56	1.52838471212232e-54
Frankiaceae	25.2198975137151	0.519458278031776	0.942084360340611	1	0.99134067124892	1
Gaiellaceae	25.5273174431471	0.490563460328757	0.222847732906553	1	0.956477606536177	1
Geminicoccaceae	25.323703415748	0.527412426786922	0.986631168203681	1	0.976798264022005	1
Gemmatimonadaceae	35.1246637997622	0.208395661772022	4.3117834032773e-123	5.08790441586721e-121	4.6575301529058e-127	5.49588558042884e-125
Geobacteraceae	24.4713895195909	0.549101036999061	0.999963773686082	1	0.999994475303206	1
Geodermatophilaceae	22.4870913594789	0.610730722593897	1	1	1	1
Glycomycetaceae	24.1148301537605	0.556340973521024	0.999997357920005	1	0.999999976911639	1
Gracilibacteraceae	26.0893401234543	0.491161307404703	0.237522049318995	1	0.499042058277917	1
Haliangiaceae	21.954434763546	0.632805530211936	1	1	1	1
Herpetosiphonaceae	25.6408878889558	0.517226259399859	0.918059183155029	1	0.876213321862407	1
Hymenobacteraceae	26.2014916279108	0.503055850216119	0.597529463592847	1	0.389844884611006	1
Hyphomicrobiaceae	24.0495625089871	0.558038387010276	0.999998636333663	1	0.999999996756593	1
Hyphomonadaceae	24.0614689560257	0.563497430691057	0.999999856297595	1	0.999999983413094	1
Iamiaceae	20.3697600268217	0.689625455974339	1	1	1	1
Ilumatobacteraceae	21.4652298173802	0.653927492701881	1	1	1	1
Intrasporangiaceae	21.6441675563498	0.644258222716165	1	1	1	1
KF-JG30-B3	25.4619936944984	0.508976981622737	0.765918708401572	1	0.961227181099321	1
Kineosporiaceae	23.7210470361848	0.571194395584195	0.999999995630629	1	0.999999999985662	1
Latescibacteraceae	23.4131874338444	0.582274382294957	0.999999999985243	1	0.999999999999979	1
Leptospiraceae	21.7639107666273	0.637191990704279	1	1	1	1
Methyloligellaceae	20.8664236385445	0.673975185551832	1	1	1	1
Methylophilaceae	24.0959922926429	0.559012312782797	0.999999074567539	1	0.999999992539815	1
Microbacteriaceae	21.8379604151647	0.635660692693111	1	1	1	1
Micrococcaceae	22.1429064840933	0.628325471658338	1	1	1	1
Micromonosporaceae	22.8868482529972	0.597172495324313	0.999999999999998	1	1	1
Micropepsaceae	22.7622154952242	0.608171532360476	1	1	1	1
Microscillaceae	22.9526175383831	0.595920305045357	0.999999999999995	1	1	1
Microtrichaceae	23.8122506291814	0.57954654690612	0.999999999935578	1	0.999999998895148	1
Mitochondria	23.6912383708259	0.572185185872258	0.999999997288165	1	0.999999999996964	1
Moraxellaceae	25.0800493952373	0.528630044809018	0.989658673479334	1	0.996966399815391	1
Mycobacteriaceae	22.3664783807902	0.614973834704137	1	1	1	1
Myxococcaceae	23.9578972598065	0.573882599361509	0.999999998819525	1	0.999999987909188	1
Nakamurellaceae	24.2465079584631	0.552855921384374	0.999990293368561	1	0.999999883037191	1
Nannocystaceae	23.0165947465239	0.598575623017365	0.999999999999999	1	1	1
Nitrosomonadaceae	25.4048591970795	0.501113901251516	0.535864169283701	1	0.973887428822963	1
Nitrososphaeraceae	24.2774056842383	0.560489644344232	0.999999491838106	1	0.999999188612139	1
Nitrospiraceae	23.8908133299737	0.557707842505662	0.99999844668262	1	0.99999999932524	1
Nocardiaceae	22.4690214264534	0.616011845635716	1	1	1	1
Nocardioidaceae	23.0545569440876	0.58881697109928	0.999999999999646	1	1	1
NS9_marine_group	26.3501045626523	0.489996812606563	0.209428915328402	1	0.250183878407128	1
Oligoflexales_fa	25.0680887411023	0.537394533535932	0.998744560221061	1	0.995654066349412	1
Oxalobacteraceae	38.9285320484927	0.145415128482312	6.81343467844908e-181	8.1079872673544e-179	1.60054905257204e-209	1.90465337256073e-207
Paenibacillaceae	23.6809512125529	0.572059545231474	0.999999997118075	1	0.999999999991404	1
Pedosphaeraceae	31.7066969378511	0.308510171832549	2.55115797920944e-54	2.90832009629876e-52	1.43478636891905e-50	1.63565646056772e-48
Peptostreptococcaceae	23.1482536415404	0.594240599297424	0.999999999999987	1	1	1
Phaselicystidaceae	22.1128516138878	0.629823040638423	1	1	1	1
Phycisphaeraceae	23.018681664477	0.597056130167077	0.999999999999998	1	1	1
Planococcaceae	22.7966659205923	0.601566544848649	1	1	1	1
Polyangiaceae	22.9847161889182	0.600339651343006	1	1	1	1
Promicromonosporaceae	21.3405203703081	0.656714353895113	1	1	1	1
Propionibacteriaceae	23.7456073478138	0.578671278549517	0.999999999897664	1	0.999999999704293	1
