Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
67-14	31.7108864856067	0.565759805450949	0.999999946482875	1	0.999998986002373	1
A21b	32.3583574919242	0.53475186395058	0.997511052423791	1	0.999568325976485	1
A4b	28.6964316667685	0.653690546258523	1	1	1	1
Acidobacteriaceae_(Subgroup_1)	30.5501295687691	0.589828842031769	0.999999999999806	1	0.999999999999996	1
Acidobacteriae_fa	28.1338499839828	0.669489224417795	1	1	1	1
Acidothermaceae	31.6057320502624	0.564549776460846	0.999999908866389	1	0.999999713172349	1
AKYH767	29.336196193368	0.62892163228273	1	1	1	1
Alcaligenaceae	30.3712829750139	0.597047697909306	0.999999999999998	1	1	1
Alicyclobacillaceae	29.5713867764178	0.623253468609234	1	1	1	1
All_BS	72.658436227989	0.00268230119687467	0	0	0	0
All_PM	33.6733297781764	0.499541285177271	0.500013592969285	1	0.5	1
B1-7BS	31.8786980797246	0.551478933690411	0.999984105273546	1	0.999996753453261	1
Bacillaceae	37.0815145834822	0.377919458446677	2.92537413719818e-23	2.92537413719818e-21	3.12369291262745e-19	3.12369291262745e-17
Bacteriovoracaceae	31.6257139815303	0.56167774946413	0.99999968933663	1	0.999999543675605	1
Bdellovibrionaceae	31.2234531214463	0.573022509068893	0.999999998196656	1	0.999999998605401	1
Beijerinckiaceae	31.0213677274376	0.571101640748717	0.999999995432555	1	0.999999999998544	1
BIrii41	30.4005344073229	0.593424356745216	0.999999999999978	1	1	1
Bryobacteraceae	36.5922792295854	0.402086309217638	1.25767531656652e-15	1.1570612912412e-13	2.04949797994003e-13	1.90603312134423e-11
Burkholderiaceae	30.1032970399409	0.605883860827272	1	1	1	1
Catenulisporaceae	32.3109386569494	0.544230564910677	0.999824536957715	1	0.999327023468516	1
Caulobacteraceae	38.2383911129666	0.352832648352927	6.41324072482254e-33	6.54150553931899e-31	6.65206826755492e-31	6.78510963290602e-29
Cellulomonadaceae	32.6186366813785	0.534659952340879	0.997453033988058	1	0.99343613935566	1
Cellvibrionaceae	30.3208905921677	0.593645281898809	0.999999999999981	1	1	1
Chitinophagaceae	36.9254224222179	0.388149473574147	7.89369685893501e-20	7.57794898457761e-18	8.99585728007411e-17	8.72598156167189e-15
Chloroflexaceae	35.705691506641	0.414429448142458	2.33343782118717e-12	2.12342841728032e-10	2.00942801112934e-08	1.80848521001641e-06
Clostridiaceae	30.0381360968335	0.604095378954096	1	1	1	1
Comamonadaceae	69.0751312420415	0.00669099654108786	0	0	0	0
Crocinitomicaceae	33.6485028925937	0.486778219815468	0.142644376126844	1	0.525676779109081	1
Cytophagaceae	28.9764094647468	0.646222095550972	1	1	1	1
Deinococcaceae	31.3167096172196	0.564128163572309	0.99999989053254	1	0.999999999225825	1
Devosiaceae	32.521436304199	0.542377154652667	0.99969225633301	1	0.995853819001164	1
Dongiaceae	32.2008480475189	0.540002630864424	0.999387082786228	1	0.999882380327939	1
Enterobacteriaceae	30.1215112124849	0.604387135072964	1	1	1	1
Entotheonellaceae	30.881366938802	0.583836036434099	0.999999999993788	1	0.999999999993485	1
env.OPS_17	32.7472601473564	0.523610321758092	0.971808306626808	1	0.989018536704713	1
Erwiniaceae	30.5992677055507	0.592740500640008	0.999999999999967	1	0.99999999999998	1
Fibrobacteraceae	50.3567116278851	0.0949059044355362	2.2830988518532e-235	2.53423972555705e-233	2.38309187449723e-302	2.64523198069193e-300
Flavobacteriaceae	60.3664880038825	0.0227805875934505	0	0	0	0
Frankiaceae	30.5963342466011	0.59527102119701	0.999999999999993	1	0.999999999999893	1
Gaiellaceae	47.5627300726779	0.135223901740587	2.65513225095528e-191	2.84099150852215e-189	1.16188516096789e-225	1.24321712223564e-223
Geminicoccaceae	30.0966843273576	0.605496820195595	1	1	1	1
Gemmatimonadaceae	62.3947843623807	0.0156384652616277	0	0	0	0
Geobacteraceae	33.0763601010189	0.516598056195939	0.910099270067004	1	0.928932397610189	1
Geodermatophilaceae	31.5148840428725	0.554163764564617	0.999993990068694	1	0.999999992563135	1
Glycomycetaceae	29.1120932831865	0.638981315803232	1	1	1	1
Gracilibacteraceae	31.925379212649	0.554747276802353	0.999995164098705	1	0.999990036707017	1
Haliangiaceae	37.2153471794717	0.370902133529861	8.76303404885293e-26	8.85066438934146e-24	3.32699132803882e-21	3.36026124131921e-19
Herpetosiphonaceae	32.1492645298994	0.540859348253932	0.999520069754052	1	0.999938298605745	1
Hymenobacteraceae	29.080212939443	0.645329962678827	1	1	1	1
Hyphomicrobiaceae	34.1042455959559	0.478491840104155	0.0410899874790351	1	0.137338058534256	1
Hyphomonadaceae	32.2191877536193	0.542523875937878	0.999705416896638	1	0.999847509682097	1
Iamiaceae	33.2598697305021	0.495153981459152	0.347666018148511	1	0.854787764219565	1
Ilumatobacteraceae	36.63522002601	0.379730707415833	1.24470863157832e-22	1.20736737263097e-20	8.75632746441631e-17	8.58120091512798e-15
Intrasporangiaceae	32.9287241874886	0.529442914458118	0.991330039496463	1	0.957663252021422	1
KF-JG30-B3	31.9607136068732	0.555443781294217	0.999996279570248	1	0.99997699461215	1
Kineosporiaceae	29.7162992201726	0.617791895251121	1	1	1	1
Latescibacteraceae	31.4168514966082	0.556931231564976	0.999997896443344	1	0.999999999141042	1
Leptospiraceae	29.3790046471516	0.637111884255457	1	1	1	1
Methyloligellaceae	36.5136275284942	0.391035835409074	6.49010449022436e-19	6.16559926571314e-17	1.96739574586142e-14	1.86902595856835e-12
Methylophilaceae	48.1652247198918	0.127841460062298	5.0108180688559e-199	5.41168351436437e-197	2.48706495445527e-238	2.68603015081169e-236
Microbacteriaceae	31.56672814701	0.563191339733979	0.999999836159361	1	0.999999843527027	1
Micrococcaceae	36.0678585435794	0.417436391263506	1.25868312663015e-11	1.13281481396714e-09	3.39187979048871e-10	3.08661060934473e-08
Micromonosporaceae	37.1097573411054	0.379336077752162	9.09563027601627e-23	8.91371767049594e-21	1.49564204137025e-18	1.48068562095655e-16
Micropepsaceae	29.9552919477373	0.607342641421611	1	1	1	1
Microscillaceae	39.6394467547569	0.290585721489272	1.50336958797332e-64	1.56350437149225e-62	2.65060394899767e-59	2.75662810695758e-57
Microtrichaceae	29.9524416937576	0.610804083236503	1	1	1	1
Mitochondria	31.0019242253922	0.575194658670638	0.9999999993871	1	0.999999999998932	1
Moraxellaceae	30.1634135607446	0.605210966657166	1	1	1	1
Mycobacteriaceae	36.5956850299221	0.37863620035719	5.2016843706405e-23	5.14966752693409e-21	1.0403412509898e-16	9.98727600950208e-15
Myxococcaceae	30.811658539055	0.58064189719054	0.999999999964148	1	0.999999999999947	1
Nakamurellaceae	34.1272702965073	0.481787166440963	0.0705287624210365	1	0.127846013400971	1
Nannocystaceae	32.124789413477	0.546582321602939	0.999916570478984	1	0.999912619438748	1
Nitrosomonadaceae	53.7776008480942	0.0639924042222001	2.82934394067216e-272	3.16886521355282e-270	0	0
Nitrososphaeraceae	30.6948795122332	0.583269388711905	0.999999999991481	1	0.999999999999875	1
Nitrospiraceae	42.4863972092338	0.243504210226305	9.55871968279427e-96	1.0036655666934e-93	4.87604953941582e-99	5.11985201638661e-97
Nocardiaceae	35.1028087628678	0.44859864308108	1.63367890663925e-05	0.00142130064877615	0.000147543372266757	0.0128362733872079
Nocardioidaceae	48.2922608403413	0.123980329229072	3.96775576297062e-203	4.32485378163798e-201	1.43485278701609e-245	1.56398953784754e-243
NS9_marine_group	31.1520096719731	0.574891097390891	0.999999999286039	1	0.999999999778817	1
Oligoflexales_fa	29.9292310915956	0.614838075354028	1	1	1	1
Oxalobacteraceae	67.258341892067	0.00660161460871794	0	0	0	0
Paenibacillaceae	30.0805992966904	0.60406839572923	1	1	1	1
Pedosphaeraceae	59.9459200339904	0.0268069906789823	0	0	0	0
Peptostreptococcaceae	33.8657441015528	0.483566372830591	0.0920761191100107	1	0.312057204555588	1
Phaselicystidaceae	30.6217132753207	0.583278664195453	0.999999999991525	1	0.999999999999999	1
Phycisphaeraceae	33.5049205896971	0.500120581286122	0.503887526460234	1	0.663470573383252	1
Planococcaceae	32.7846919707855	0.512935926646103	0.85208387987644	1	0.992345232555903	1
Polyangiaceae	30.2043568258625	0.601745308713389	1	1	1	1
Promicromonosporaceae	30.2293648484268	0.597304881771314	0.999999999999998	1	1	1
Propionibacteriaceae	32.5725938100722	0.525655144267498	0.980928385607907	1	0.996932554877574	1
Pseudohongiellaceae	28.3558942290564	0.664025121382351	1	1	1	1
Pseudomonadaceae	30.5252992885159	0.590304421370039	0.999999999999854	1	1	1
Pseudonocardiaceae	36.2963466924226	0.397426643573523	5.68948409367582e-17	5.34811504805527e-15	1.91687365989783e-12	1.763523767106e-10
Reyranellaceae	32.5965096227473	0.526789282937664	0.984804905576911	1	0.996192446729101	1
Rhizobiaceae	35.4206837172956	0.428643705066606	4.04347053141219e-09	3.55825406764273e-07	1.72469565033342e-06	0.000153497912879674
Rhizobiales_Incertae_Sedis	33.8024671480512	0.484524277313348	0.105528259223783	1	0.370088751163843	1
Rhodanobacteraceae	33.942102275381	0.477504422719201	0.0345341402176769	1	0.240518331586822	1
Rhodobacteraceae	32.4272185449815	0.535305863286118	0.997836149428339	1	0.998987813798975	1
Rhodocyclaceae	31.9138092007111	0.54211406821022	0.999667278676586	1	0.999995342778739	1
Roseiflexaceae	66.3157241655534	0.0122191847355897	0	0	0	0
Rubrobacteriaceae	30.0521496045952	0.604158620887377	1	1	1	1
Saccharimonadaceae	34.048764103016	0.477575253684475	0.0349738900190858	1	0.158650357592396	1
Salisediminibacteriaceae	31.4489575766667	0.56077549788266	0.999999548209271	1	0.999999995084805	1
Sandaracinaceae	29.4015913602018	0.627983121992846	1	1	1	1
Saprospiraceae	29.3513563068423	0.631589598641395	1	1	1	1
SC-I-84	45.6717051108065	0.185238152256219	4.86894049048479e-143	5.16107691991388e-141	8.01680433795866e-159	8.49781259823618e-157
Solibacteraceae	38.0559435902666	0.340483606847668	2.52046636400616e-38	2.59608035492635e-36	5.67006153440398e-33	5.8401633804361e-31
Solimonadaceae	31.5787747831703	0.5560365690155	0.999997030892893	1	0.999999949680158	1
Solirubrobacteraceae	36.6833172623897	0.399613971239255	2.47607866333657e-16	2.30275315690301e-14	4.87601687842464e-14	4.58345586571916e-12
Sphingomonadaceae	64.5338153975652	0.00862872937680556	0	0	0	0
Sporichthyaceae	32.3781060157351	0.533058666590214	0.996225758438438	1	0.999342362259128	1
Staphylococcaceae	29.3567147758144	0.626822843323591	1	1	1	1
Steroidobacteraceae	33.5695618940328	0.500447752887627	0.514432579188842	1	0.598232834183331	1
Streptomycetaceae	30.7715064279894	0.577973087606099	0.999999999852487	1	0.999999999999999	1
Streptosporangiaceae	31.0000897577455	0.587142324706009	0.999999999999055	1	0.999999999964304	1
Sutterellaceae	32.5379481900778	0.530097257661128	0.992498367272094	1	0.997638903902738	1
Thermoanaerobaculaceae	31.2009703245083	0.570837711080493	0.999999994819987	1	0.999999999532606	1
Thermomonosporaceae	32.9428779022709	0.515425972365805	0.893736154845801	1	0.966214883598861	1
TRA3-20	30.3644365252903	0.595976801172421	0.999999999999996	1	1	1
Unknown_Family	35.4274133511863	0.425705906459278	9.62257129773124e-10	8.5640884549808e-08	2.03076859056785e-06	0.000178707635969971
Xanthobacteraceae	48.2410815904489	0.116726057868899	6.0074899701125e-211	6.60823896712375e-209	1.38918951777089e-259	1.52810846954798e-257
Xanthomonadaceae	56.7202729376428	0.0447365003769219	1.24056479343678e-296	1.40183821658356e-294	0	0
