Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
67-14	23.7941691487119	0.681359313681676	1	1	1	1
A21b	22.3957998836256	0.721271719387953	1	1	1	1
A4b	26.551159992326	0.588423184661386	0.999999999999553	1	1	1
Acidobacteriaceae_(Subgroup_1)	27.2549399296586	0.566677235096406	0.999999964475794	1	0.999999999673531	1
Acidobacteriae_fa	24.4255632661988	0.657996057076266	1	1	1	1
Acidothermaceae	27.4710194168368	0.560908727555438	0.999999572377353	1	0.999999991178198	1
AKYH767	24.7200987105966	0.65023247734674	1	1	1	1
Alcaligenaceae	25.3196643956982	0.624856440811453	1	1	1	1
Alicyclobacillaceae	26.3759064307314	0.592323103880356	0.999999999999957	1	1	1
All_BS	61.9418442523742	0.0299496931501397	0	0	0	0
All_PM	29.7316887826103	0.499541285177271	0.500013592969285	1	0.5	1
B1-7BS	24.9391110991477	0.638178564863456	1	1	1	1
Bacillaceae	21.3151103387746	0.758905729044575	1	1	1	1
Bacteriovoracaceae	26.5517821154405	0.584237411903987	0.999999999995039	1	1	1
Bdellovibrionaceae	24.7912779098463	0.644921841402723	1	1	1	1
Beijerinckiaceae	22.7590665465351	0.713925536418078	1	1	1	1
BIrii41	26.8901167382852	0.577564123104218	0.999999999817518	1	0.999999999999363	1
Bryobacteraceae	22.6111241643077	0.715789065385413	1	1	1	1
Burkholderiaceae	25.5693702256151	0.621358740288147	1	1	1	1
Catenulisporaceae	26.3539039214813	0.58777052790993	0.999999999999345	1	1	1
Caulobacteraceae	21.4809614137132	0.752376631852685	1	1	1	1
Cellulomonadaceae	27.0547629490153	0.568344292457683	0.99999998335807	1	0.999999999997252	1
Cellvibrionaceae	25.0289235430155	0.636514880405288	1	1	1	1
Chitinophagaceae	23.1489123380063	0.699365556925329	1	1	1	1
Chloroflexaceae	21.9731604222999	0.73970632132636	1	1	1	1
Clostridiaceae	24.3906125423653	0.658363703515071	1	1	1	1
Comamonadaceae	53.1885845070205	0.0984339610868168	2.50269372717574e-231	3.00323247261089e-229	6.48183907597202e-290	7.77820689116643e-288
Crocinitomicaceae	24.2861084878688	0.658875541561755	1	1	1	1
Cytophagaceae	27.7101926832661	0.553659515549927	0.999992760756426	1	0.99999964321897	1
Deinococcaceae	22.2306227850964	0.731435962904812	1	1	1	1
Devosiaceae	27.8458658158115	0.553744681353411	0.999992983978478	1	0.999996388302434	1
Dongiaceae	23.5023898423171	0.686550211565347	1	1	1	1
Enterobacteriaceae	26.4680768823865	0.587089201482054	0.999999999999026	1	1	1
Entotheonellaceae	27.8399903131519	0.55427254068986	0.999994227770616	1	0.99999755893962	1
env.OPS_17	26.8400435991174	0.580551672032393	0.999999999962364	1	0.999999999999609	1
Erwiniaceae	25.1529139244611	0.632700126989802	1	1	1	1
Fibrobacteraceae	25.002733962658	0.633092226976142	1	1	1	1
Flavobacteriaceae	23.1480749641858	0.697950624071398	1	1	1	1
Frankiaceae	27.3941858877348	0.567114869274708	0.999999970838298	1	0.99999999748902	1
Gaiellaceae	23.8011397814126	0.677575759619941	1	1	1	1
Geminicoccaceae	25.3247400240897	0.62581434529421	1	1	1	1
Gemmatimonadaceae	31.4924155027536	0.425478235499468	8.58968985111671e-10	1.00499371258066e-07	5.64082746223537e-06	0.000659976813081538
Geobacteraceae	24.8700152181764	0.642210027303651	1	1	1	1
Geodermatophilaceae	26.5097543298516	0.593281008363113	0.999999999999976	1	0.999999999999995	1
Glycomycetaceae	28.9594365759036	0.514399766595105	0.877729732932744	1	0.97166847192132	1
Gracilibacteraceae	26.2187441269177	0.596795573401961	0.999999999999997	1	1	1
Haliangiaceae	22.1625523388356	0.731565819674481	1	1	1	1
Herpetosiphonaceae	27.0670831889373	0.573760331623834	0.999999998745872	1	0.999999999986878	1
Hymenobacteraceae	27.5773548057706	0.559121932133817	0.999999114410848	1	0.999999934020531	1
Hyphomicrobiaceae	24.3612732558522	0.657368697098123	1	1	1	1
Hyphomonadaceae	25.3739499031171	0.631718612185287	1	1	1	1
Iamiaceae	22.4848618809077	0.723557704469603	1	1	1	1
Ilumatobacteraceae	23.2839629460293	0.694880439017069	1	1	1	1
Intrasporangiaceae	25.909625098892	0.612176854801581	1	1	1	1
KF-JG30-B3	26.9708677148222	0.58771571823442	0.999999999999323	1	0.999999999971873	1
Kineosporiaceae	26.9180968786319	0.576348191533676	0.999999999658668	1	0.999999999998818	1
Latescibacteraceae	24.5780803286915	0.650815989584475	1	1	1	1
Leptospiraceae	26.7474163014482	0.589473000753844	0.99999999999976	1	0.999999999999831	1
Methyloligellaceae	22.3921539196794	0.722793741915573	1	1	1	1
Methylophilaceae	22.6745391724217	0.713561262882382	1	1	1	1
Microbacteriaceae	25.0307095654733	0.63682265781392	1	1	1	1
Micrococcaceae	22.622862950164	0.716476294393729	1	1	1	1
Micromonosporaceae	22.9330754969905	0.705987408952697	1	1	1	1
Micropepsaceae	25.5705003515736	0.624318462765679	1	1	1	1
Microscillaceae	22.8679529865674	0.707189848910805	1	1	1	1
Microtrichaceae	27.3947150171805	0.558251723131875	0.999998746713465	1	0.999999998539855	1
Mitochondria	25.6995281087851	0.616071714665889	1	1	1	1
Moraxellaceae	26.3896874393009	0.588803479486847	0.999999999999643	1	1	1
Mycobacteriaceae	22.8043874942662	0.710792109430468	1	1	1	1
Myxococcaceae	25.6035432189585	0.612681103816271	1	1	1	1
Nakamurellaceae	24.5635731377998	0.64983447477996	1	1	1	1
Nannocystaceae	26.00879365287	0.603478137685278	1	1	1	1
Nitrosomonadaceae	22.0044227211524	0.736593131757401	1	1	1	1
Nitrososphaeraceae	23.8626889077163	0.675857265486263	1	1	1	1
Nitrospiraceae	21.6875124003192	0.748128460387783	1	1	1	1
Nocardiaceae	26.1444403372953	0.600274722958171	1	1	1	1
Nocardioidaceae	23.3233937775852	0.693857606149477	1	1	1	1
NS9_marine_group	26.2788375698578	0.598987117196578	0.999999999999999	1	1	1
Oligoflexales_fa	27.5016554806947	0.55863370440889	0.999998923278719	1	0.999999976733766	1
Oxalobacteraceae	38.1925382075112	0.285035609424566	6.69030286873225e-68	7.96146041379138e-66	2.26757415666122e-70	2.69841324642685e-68
Paenibacillaceae	26.855120811318	0.58648207892256	0.999999999998616	1	0.999999999997554	1
Pedosphaeraceae	25.4148326506334	0.623842883427409	1	1	1	1
Peptostreptococcaceae	23.1140426646297	0.698722175657421	1	1	1	1
Phaselicystidaceae	26.9493671066811	0.57331173551043	0.999999998435321	1	0.999999999999567	1
Phycisphaeraceae	22.0060602556286	0.738125272994345	1	1	1	1
Planococcaceae	23.0972075501537	0.701873310386349	1	1	1	1
Polyangiaceae	24.7689197551805	0.651930734061768	1	1	1	1
Promicromonosporaceae	22.8827781149839	0.709799632690852	1	1	1	1
Propionibacteriaceae	24.2078681517939	0.660775329237505	1	1	1	1
Pseudohongiellaceae	27.1254980297661	0.561422252053676	0.999999654399254	1	0.999999999995067	1
Pseudomonadaceae	23.3449245568078	0.692441830069768	1	1	1	1
Pseudonocardiaceae	21.2807576685571	0.76182413345903	1	1	1	1
Reyranellaceae	28.6326249007059	0.52756589387835	0.987050699806745	1	0.99572153902759	1
Rhizobiaceae	22.1472213480708	0.729768905543535	1	1	1	1
Rhizobiales_Incertae_Sedis	23.0292881063097	0.698646285337484	1	1	1	1
Rhodanobacteraceae	23.7528549938096	0.678326230561538	1	1	1	1
Rhodobacteraceae	25.8140197879963	0.611224009673486	1	1	1	1
Rhodocyclaceae	26.634707773528	0.591083561988057	0.999999999999909	1	0.999999999999996	1
Roseiflexaceae	33.3286046286219	0.398373586121178	1.07949239229215e-16	1.27380102290474e-14	4.31867245152874e-16	5.09603349280391e-14
Rubrobacteriaceae	25.6947276751594	0.620655489990067	1	1	1	1
Saccharimonadaceae	24.3978217907851	0.654683866223917	1	1	1	1
Salisediminibacteriaceae	24.4404040135338	0.657232937748014	1	1	1	1
Sandaracinaceae	27.0164332808298	0.575379325115817	0.999999999441606	1	0.99999999999587	1
Saprospiraceae	27.590393126076	0.560364003703448	0.999999464973048	1	0.999999943280857	1
SC-I-84	21.8158226139736	0.746793633982673	1	1	1	1
Solibacteraceae	22.926496533013	0.703429905170829	1	1	1	1
Solimonadaceae	25.7202894833782	0.615514342427242	1	1	1	1
Solirubrobacteraceae	22.0386623074306	0.735588006631128	1	1	1	1
Sphingomonadaceae	30.3784569648699	0.471266238420402	0.0101135140226402	1	0.0663258422319114	1
Sporichthyaceae	28.7403534611785	0.533540148508924	0.996641275701576	1	0.988634993431362	1
Staphylococcaceae	27.0105434289941	0.570973470430602	0.999999995144429	1	0.999999999997689	1
Steroidobacteraceae	22.1162571278966	0.733150240909604	1	1	1	1
Streptomycetaceae	24.2919889580188	0.661686013076745	1	1	1	1
Streptosporangiaceae	26.7740493703885	0.583253367422141	0.999999999991405	1	0.999999999999955	1
Sutterellaceae	28.903459102063	0.511295852509693	0.819344724947569	1	0.98089103553141	1
Thermoanaerobaculaceae	27.0630636046214	0.573344621315736	0.999999998460426	1	0.9999999999793	1
Thermomonosporaceae	26.7635265510681	0.59066447877685	0.999999999999882	1	0.999999999999716	1
TRA3-20	25.7540809186826	0.607749919471938	1	1	1	1
Unknown_Family	24.3584659216305	0.657679004184086	1	1	1	1
Xanthobacteraceae	24.5017183916431	0.65243161017335	1	1	1	1
Xanthomonadaceae	23.7671709176386	0.677105239636334	1	1	1	1
