Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
All_BS	99.6633552662434	0.000120581286121684	0	0	0	0
All_PM	34.4456555006925	0.499541285177271	0.500013592969285	1	0.5	1
Cluster_1	41.5192465515328	0.295351633581298	9.67459290313852e-62	1.08355440515151e-59	5.21617736620515e-58	5.84211865014977e-56
Cluster_10	46.0460020420634	0.197248216999094	1.66770739234705e-132	1.98457179689299e-130	1.10235271079732e-141	1.31179972584881e-139
Cluster_100	33.7633821621675	0.511071554452991	0.814538056737119	1	0.940723789008533	1
Cluster_101	77.4406612612377	0.00467737338543344	0	0	0	0
Cluster_102	33.6101850523618	0.515854331060559	0.899949291725323	1	0.973546647499723	1
Cluster_103	33.0959877371195	0.530590544740717	0.993285125393842	1	0.999066563856119	1
Cluster_104	34.3602679467637	0.512697293751191	0.847584307755228	1	0.569795708641045	1
Cluster_105	29.7389981617464	0.632598096670776	1	1	1	1
Cluster_106	33.1562940821304	0.532624405315021	0.995812070855199	1	0.998335318900407	1
Cluster_107	33.174652260662	0.53245744661116	0.995642524187282	1	0.997458592051553	1
Cluster_108	35.3006144118905	0.458686153052224	0.000420758167125489	0.0433380912139254	0.0205842773620074	1
Cluster_109	32.735362127916	0.541616565001745	0.999614818339119	1	0.99994381781262	1
Cluster_11	44.1009637317502	0.23944998069013	1.00178681966792e-98	1.15205484261811e-96	8.23812405320238e-100	9.47384266118274e-98
Cluster_110	32.3763684743314	0.557772770890497	0.999998485827612	1	0.999998552330213	1
Cluster_111	33.0991933388099	0.540142606343419	0.999410912657264	1	0.998587151553674	1
Cluster_112	32.8808131514099	0.538903907676896	0.999166742228622	1	0.999821487601635	1
Cluster_113	30.7098732494026	0.598874968168227	0.999999999999999	1	1	1
Cluster_114	35.0591306326782	0.481581419351357	0.0683106362450906	1	0.0883512867807019	1
Cluster_115	32.516510803696	0.544489435224239	0.999838052887366	1	0.999997557447338	1
Cluster_116	32.7667939947879	0.549831270522007	0.999971765267411	1	0.99991269957316	1
Cluster_117	35.7447196590524	0.449407296601294	2.16961272140231e-05	0.00229978948468645	0.00117414696222065	0.120937137108727
Cluster_118	34.5641906094885	0.498589283274954	0.454616272940585	1	0.399135909465807	1
Cluster_119	34.4909335051672	0.49708581171443	0.406906772748925	1	0.458908354356989	1
Cluster_12	33.5894486631453	0.523431557893352	0.970861857225209	1	0.968970544834425	1
Cluster_120	33.3488676847869	0.521851352787114	0.96129453106951	1	0.995438818021924	1
Cluster_121	44.8811747057533	0.20997586687826	8.71880584834197e-122	1.02881909010435e-119	6.10676848236105e-125	7.20598680918604e-123
Cluster_122	34.5518918625841	0.497598492986891	0.423057787796101	1	0.408533209523634	1
Cluster_123	33.4673134457233	0.518694315477746	0.934577120890975	1	0.987630503646702	1
Cluster_124	31.5850669468244	0.579402355298241	0.99999999993045	1	0.999999999939591	1
Cluster_125	32.8825553832632	0.536619609046801	0.998458816197348	1	0.999843836453899	1
Cluster_126	34.9791397329634	0.485895362426871	0.127171948848345	1	0.121815551467921	1
Cluster_127	33.1678185353791	0.527868611932319	0.987844958880913	1	0.99811147026776	1
Cluster_128	33.2082547517408	0.528869520929707	0.990178054749892	1	0.997308702959556	1
Cluster_129	30.6680787044859	0.603667020259342	1	1	1	1
Cluster_13	32.4024266098943	0.543804735893254	0.999799986270491	1	0.99999960372336	1
Cluster_130	31.326483627392	0.584751779628003	0.999999999996287	1	0.999999999999929	1
Cluster_131	38.2230772906066	0.371327119321507	1.25725272968737e-25	1.38297800265611e-23	1.57629066956234e-20	1.73391973651857e-18
Cluster_132	35.8041715552717	0.458385964675586	0.000385467021889177	0.0400885702764744	0.00103914010393578	0.108070570809321
Cluster_133	33.0764922314245	0.539278299921917	0.9992489129942	1	0.998486676126247	1
Cluster_134	33.9809900061463	0.5202298296178	0.94896155440271	1	0.838543705522609	1
Cluster_14	44.8878354674011	0.229582552646801	3.58422347966962e-106	4.15769923641676e-104	7.3970153140301e-110	8.58053776427492e-108
Cluster_15	33.4501770389943	0.51361135049354	0.864333269163552	1	0.991440005724295	1
Cluster_16	35.4587142443081	0.463466399982461	0.00157630964183839	0.157630964183839	0.0100140583397694	0.981377717297401
Cluster_17	34.5581101839604	0.47868662525866	0.042495505737108	1	0.389707710565193	1
Cluster_18	33.1673330199227	0.533699518180791	0.996769465408889	1	0.997792571021203	1
Cluster_19	68.5289864304855	0.0120176537748688	0	0	0	0
Cluster_2	34.5458574110023	0.481281230974718	0.0651714196971299	1	0.403499366836658	1
Cluster_20	88.5304920362134	0.000533761916888294	0	0	0	0
Cluster_21	52.7992289342844	0.0877005401704328	9.96038805972256e-244	1.20520695522643e-241	1.1683306219865e-312	1.41368005260367e-310
Cluster_22	34.2724834199555	0.487844900423468	0.16297345798548	1	0.66559372496561	1
Cluster_23	37.1785450266216	0.406482888419306	2.05357584879792e-14	2.21786191670175e-12	2.90391633362528e-11	3.1362296403153e-09
Cluster_24	81.2030036641163	0.00237705346557362	0	0	0	0
Cluster_25	48.3555876366365	0.15017766767123	3.95298966962879e-176	4.74358760355455e-174	2.72606290939917e-194	3.271275491279e-192
Cluster_26	63.595443932056	0.025980629417449	0	0	0	0
Cluster_27	32.5861555313476	0.54476011069868	0.999851138950378	1	0.999991650613108	1
Cluster_28	30.5474400535715	0.605001003438675	1	1	1	1
Cluster_29	33.1822754489022	0.527126573248494	0.985818379391136	1	0.998527392239329	1
Cluster_3	35.7744563551987	0.466230494079712	0.00317564376753343	0.31438873298581	0.00232372600608457	0.234696326614542
Cluster_30	57.5461342454949	0.053551582650461	2.37042158683262e-285	2.93932276767245e-283	0	0
Cluster_31	34.3524182478783	0.496698771082753	0.394816290892311	1	0.584567862714657	1
Cluster_32	32.7041372134232	0.551435929175781	0.999983861640846	1	0.999942817005726	1
Cluster_33	33.5669665424924	0.525116322995947	0.978809915496803	1	0.9709982611703	1
Cluster_34	36.0465219695835	0.429755919866568	6.86378092373532e-09	7.34424558839679e-07	2.28481319293986e-05	0.00244475011644565
Cluster_35	65.1054368697049	0.0160583916986109	0	0	0	0
Cluster_36	73.3509794592765	0.00502056627670285	0	0	0	0
Cluster_37	33.8744965579332	0.510543695116542	0.802916635866883	1	0.900384848102383	1
Cluster_38	35.5048026302195	0.466511288263478	0.00340106317899016	0.333304191541036	0.00911517380948104	0.902402207138623
Cluster_39	33.7989305714954	0.509259462258057	0.772860530331957	1	0.930932159681487	1
Cluster_4	34.3855372055411	0.493764345378532	0.307154430761992	1	0.555421804168696	1
Cluster_40	32.9331781525467	0.547433136412007	0.999936780580736	1	0.999525375658267	1
Cluster_41	35.3216044690773	0.458778907887703	0.00043225456060023	0.0440899651812235	0.0181156138035508	1
Cluster_42	34.2963444672554	0.503886427606537	0.623270012553857	1	0.626721798118962	1
Cluster_43	33.9897445699113	0.507302335229467	0.72245022210295	1	0.847478496716537	1
Cluster_44	33.4416388411374	0.514281714986314	0.875785214608773	1	0.992416657449477	1
Cluster_45	30.7067546400006	0.606526398869403	1	1	1	1
Cluster_46	30.8658663804947	0.593918487050582	0.999999999999984	1	1	1
Cluster_47	30.5718242633479	0.602817048676051	1	1	1	1
Cluster_48	35.8169038149698	0.469956708788605	0.00759244967691518	0.728875168983857	0.00196972744301847	0.200912199187884
Cluster_49	32.1640534050564	0.554060891019814	0.999993756691585	1	0.999999957164443	1
Cluster_5	34.042606896339	0.497822791043593	0.430166437614486	1	0.834036449733745	1
Cluster_50	32.880675394507	0.541210973402973	0.999566473820572	1	0.999791146156741	1
Cluster_51	37.5793244947028	0.390099011570744	3.29488340714304e-19	3.59142291378591e-17	2.7456677345301e-14	2.99277783063781e-12
Cluster_52	30.093721651725	0.617780090090242	1	1	1	1
Cluster_53	34.1621301246246	0.499639099367412	0.488366071411556	1	0.746026945850046	1
Cluster_54	32.4990561472059	0.549344729248635	0.999966652551392	1	0.999996762789496	1
Cluster_55	33.9221730158889	0.518555183224529	0.933132057161539	1	0.871279530838254	1
Cluster_56	93.8293746853389	0.000210806444268679	0	0	0	0
Cluster_57	35.2099037492486	0.491762527383757	0.252798653301473	1	0.0548725458683929	1
Cluster_58	43.6367531274741	0.240621221294486	7.35101722462424e-98	8.38015963607163e-96	9.0429640995887e-97	1.03089790735311e-94
Cluster_59	34.9329334815593	0.492518900905793	0.272728177411204	1	0.149502593448362	1
Cluster_6	34.6450148446488	0.475127369253627	0.0222116957767946	1	0.31075338442332	1
Cluster_60	40.8506043325185	0.299419354729906	2.14771167146579e-59	2.38395995532703e-57	1.71079846662405e-53	1.8989862979527e-51
Cluster_61	53.6337228879863	0.0868876705213328	1.11143437302099e-244	1.35594993508561e-242	8.10267659179644e-322	9.88526544199166e-320
Cluster_62	44.5324087258433	0.216169360210874	9.77877096211651e-117	1.14411620256763e-114	4.66840664823758e-120	5.46203577843797e-118
Cluster_63	33.7269477702686	0.516143557502095	0.903991660079293	1	0.946821703980803	1
Cluster_64	32.8342698967165	0.53880777993831	0.999144349518766	1	0.999895039798185	1
Cluster_65	36.2287078556501	0.455775337669762	0.000175783185307375	0.0184572344572744	7.76240539501973e-05	0.00822814971872091
Cluster_66	31.9102694008982	0.571940650396906	0.999999996947587	1	0.999999994707548	1
Cluster_67	82.241971009969	0.00115268963726114	0	0	0	0
Cluster_68	34.3166975619968	0.501781736066959	0.557245986228988	1	0.612816532188447	1
Cluster_69	32.4268666395694	0.552781717515992	0.999990028927642	1	0.999998478180794	1
Cluster_7	32.5016795827026	0.550819531132739	0.999979955325484	1	0.999994478461824	1
Cluster_70	34.1688944288394	0.490085351313156	0.211493710056189	1	0.753579953053549	1
Cluster_71	35.9008711350056	0.460607021372401	0.000727452831461796	0.0734727359776414	0.000842758692292338	0.0884896626906955
Cluster_72	34.8174737601874	0.497607768470439	0.423351275145038	1	0.21975719537254	1
Cluster_73	66.8462120525283	0.0173957477810514	0	0	0	0
Cluster_74	33.4280025043559	0.526647621007115	0.984361041626972	1	0.989406153631515	1
Cluster_75	31.1223014829561	0.587117027932697	0.999999999999041	1	0.999999999999995	1
Cluster_76	35.5384899555092	0.466579589551421	0.00345802476909398	0.335428402602116	0.00843044779324024	0.843044779324024
Cluster_77	34.7087293938168	0.499710773558463	0.49067607501807	1	0.287125272911907	1
Cluster_78	34.1322695691637	0.51088435833048	0.810466296351057	1	0.750304775346353	1
Cluster_79	34.4961727044354	0.51402368789853	0.871460018526821	1	0.459080766616771	1
Cluster_8	31.3621563062367	0.582702740989711	0.999999999988343	1	0.999999999999525	1
Cluster_80	33.6034945045085	0.517690876803027	0.92359592251296	1	0.97007710572787	1
Cluster_81	31.8827290878232	0.568493543420225	0.999999984463755	1	0.999999996672846	1
Cluster_82	33.4768617378097	0.528406589978093	0.989152606020087	1	0.982840758608013	1
Cluster_83	31.2005884031599	0.586912124068868	0.99999999999892	1	0.999999999999984	1
Cluster_84	33.8119781995213	0.51233723634438	0.84062497695757	1	0.922978399205304	1
Cluster_85	74.8152254908872	0.00545482755189633	0	0	0	0
Cluster_86	33.0913992034534	0.53576373488307	0.998075228875327	1	0.998988909251618	1
Cluster_87	33.5141299495405	0.525657673944829	0.98093789032359	1	0.980660965392627	1
Cluster_88	32.9174251570165	0.540764063741123	0.999506725313499	1	0.999760463022711	1
Cluster_89	32.2721680115693	0.553019507185127	0.999990852944489	1	0.999999850268373	1
Cluster_9	41.3907317161192	0.283260619163824	5.43475688775617e-69	6.14127528316447e-67	1.87736231671391e-63	2.12141941788672e-61
Cluster_90	34.3002927691198	0.498795873590337	0.461239674770425	1	0.628758951206333	1
Cluster_91	32.4221520399555	0.552286743984849	0.999988081388085	1	0.999996866497683	1
Cluster_92	31.1202005056664	0.588684584652279	0.999999999999617	1	0.999999999999998	1
Cluster_93	33.5950946195306	0.519717148345338	0.944468682662706	1	0.972494907865003	1
Cluster_94	34.4053912758152	0.509750219660315	0.784640204189116	1	0.533224361993456	1
Cluster_95	55.28459675104	0.0790338656336589	5.59227012733379e-254	6.87849225662056e-252	0	0
Cluster_96	31.7506324719306	0.580051639146588	0.999999999950786	1	0.999999999395566	1
Cluster_97	29.7685860470455	0.651215678602809	1	1	1	1
Cluster_98	33.5136457307266	0.524156732061636	0.974543868900038	1	0.979826108077183	1
Cluster_99	35.3230446650076	0.492724647995399	0.27828116874833	1	0.0361888123459017	1
