Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
All_BS	130.048944235675	1.68645155414943e-06	0	0	0	0
All_PM	41.7769031674308	0.499541285177271	0.500013592969285	1	0.5	1
Cluster_1	56.9546131668433	0.178173606695887	1.99491503785559e-149	2.39389804542671e-147	9.87797624202242e-161	1.18535714904269e-158
Cluster_10	53.2998999263549	0.235416831798381	9.78338000078635e-102	1.12508870009043e-99	5.77568079921221e-100	6.64203291909404e-98
Cluster_100	39.7201552394948	0.532348670485917	0.995528787523988	1	0.999940637529271	1
Cluster_101	96.288996839064	0.00249257539703286	0	0	0	0
Cluster_102	43.2083544818373	0.467117567597194	0.00393749332274344	0.283499519237528	0.00633893032653512	0.443725122857458
Cluster_103	37.9879576445168	0.571619381375841	0.999999996436353	1	0.999999999999516	1
Cluster_104	38.9608448467245	0.55952752373259	0.999999247978395	1	0.999999507591883	1
Cluster_105	42.0162299470139	0.507922106175617	0.738986011758735	1	0.345823039285397	1
Cluster_106	44.6944921770675	0.452831636481995	6.89524033322824e-05	0.00544723986325031	2.38134505151879e-06	0.00019765163927606
Cluster_107	38.6085067111339	0.565639224164827	0.999999943543813	1	0.999999993301739	1
Cluster_108	45.838353551404	0.411956266938298	5.58647800108115e-13	5.86580190113521e-11	2.0340281758906e-12	2.11538930292622e-10
Cluster_109	42.8741059665089	0.477492617558322	0.0344612920780414	1	0.030968128787112	1
Cluster_11	52.1558172578171	0.282095281139906	1.03405091692658e-69	1.15813702695777e-67	3.99018952696303e-67	4.46901227019859e-65
Cluster_110	39.9718146148694	0.535705552304452	0.99804624103295	1	0.999316213164703	1
Cluster_111	42.426705997529	0.483019962527046	0.0849949468808345	1	0.134347262019132	1
Cluster_112	44.1052941942414	0.445181892232373	4.70929974545056e-06	0.000404999778108748	2.36384933738042e-05	0.00189107946990434
Cluster_113	41.0040853852273	0.509097562908859	0.76889621338321	1	0.920547128050026	1
Cluster_114	43.4777916428629	0.478636031712035	0.0421267503595376	1	0.00347950577686197	0.257483427487786
Cluster_115	45.0655297195406	0.43468457453357	6.5142321309479e-08	5.99309356047207e-06	3.11177023520659e-08	2.95618172344626e-06
Cluster_116	39.4227222726931	0.547251842869936	0.99993290597643	1	0.999985540835164	1
Cluster_117	43.0113327196394	0.452584571329312	6.3588365404611e-05	0.00508706923236888	0.00835384309884194	0.568061330721252
Cluster_118	45.8921184438579	0.438689896974675	3.62104967956395e-07	3.18652371801628e-05	2.61859841654762e-10	2.6447844007131e-08
Cluster_119	44.6418462139206	0.416519804843826	7.57660645400126e-12	7.87967071216131e-10	3.22163048526044e-08	3.02833265614481e-06
Cluster_12	41.1260893858418	0.506760141054808	0.707576534335217	1	0.876525357150974	1
Cluster_120	44.8156492979853	0.450158610768668	2.81367337598034e-05	0.00230721216830388	6.26840466951192e-07	5.45351206247537e-05
Cluster_121	55.4385490360664	0.196895748624277	8.29408366603483e-133	9.7870187259211e-131	1.17327621266187e-138	1.38446593094101e-136
Cluster_122	43.1336368755368	0.473195538998349	0.0151481857845382	1	0.0124290906467485	0.820319982685401
Cluster_123	40.7562585219364	0.511790826040836	0.829672491523015	1	0.971169360943096	1
Cluster_124	43.3357265025075	0.469524977190743	0.00689227830564407	0.482459481395085	0.00468228244461819	0.332442053567891
