Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
All_BS	70.8726588395093	0.128254640693064	1.36865745602209e-198	1.86137414019004e-196	4.05693505293153e-221	5.51743167198688e-219
All_PM	45.2893905447991	0.499541285177271	0.500013592969285	1	0.5	1
Cluster_1	28.9498191856354	0.781563205674572	1	1	1	1
Cluster_10	30.9914927558441	0.739254352309848	1	1	1	1
Cluster_100	44.7644933739891	0.496765385919141	0.396890370833272	1	0.740930668511389	1
Cluster_101	39.1683665623524	0.567893166666948	0.999999979531884	1	1	1
Cluster_102	34.3520752217889	0.669971549562282	1	1	1	1
Cluster_103	41.026918932184	0.551201512409754	0.999982469991628	1	0.999999980254411	1
Cluster_104	39.8923737147781	0.578860161123582	0.999999999907352	1	0.999999999994684	1
Cluster_105	37.30035685401	0.611366514829812	1	1	1	1
Cluster_106	43.6443052325015	0.51889500321269	0.936618701706597	1	0.978120130475299	1
Cluster_107	45.0380258638988	0.503313034078127	0.605550958670507	1	0.616507446234103	1
Cluster_108	34.1764066215296	0.675050298417603	1	1	1	1
Cluster_109	40.769001591453	0.554318074881822	0.999994324585503	1	0.999999998266958	1
Cluster_11	29.4286511965468	0.770036309301961	1	1	1	1
Cluster_110	42.1397315123022	0.535869138105204	0.998126749815948	1	0.999970023630021	1
Cluster_111	44.1440972460664	0.500623987075035	0.520109065218445	1	0.925525461570339	1
Cluster_112	33.9419404296932	0.676403675789807	1	1	1	1
Cluster_113	35.1117993084848	0.670232106327398	1	1	1	1
Cluster_114	42.4038246635911	0.522045294715841	0.962591405127446	1	0.99993035958995	1
Cluster_115	37.7185055439607	0.612077354159886	1	1	1	1
Cluster_116	41.9363131568716	0.541770032093173	0.999631767892417	1	0.999985821712235	1
Cluster_117	32.5503714458209	0.703594334197359	1	1	1	1
Cluster_118	45.1545266446463	0.485802607591393	0.125616904989934	1	0.56691126704265	1
Cluster_119	34.093916860335	0.676421383531126	1	1	1	1
Cluster_12	40.2023006267679	0.585412025411452	0.999999999997446	1	0.999999999726169	1
Cluster_120	34.0534934603037	0.679810307929189	1	1	1	1
Cluster_121	35.6320377238339	0.663074805931587	1	1	1	1
Cluster_122	44.0608492139183	0.51578181364373	0.898916541294084	1	0.929716885293116	1
