Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
All_BS	61.9418442523742	0.0299496931501397	0	0	0	0
All_PM	29.7316887826103	0.499541285177271	0.500013592969285	1	0.5	1
Cluster_1	23.8178575035812	0.67994859695663	1	1	1	1
Cluster_10	21.8321631376393	0.737390823342513	1	1	1	1
Cluster_100	28.4777966002595	0.532373967259229	0.995555471958021	1	0.998532700944392	1
Cluster_101	35.9990184297154	0.318777288894211	7.2016607774213e-49	9.36215901064769e-47	1.35791638360814e-45	1.76529129869058e-43
Cluster_102	24.5950030374606	0.652251159857056	1	1	1	1
Cluster_103	29.358958134901	0.506138683657104	0.690086571585186	1	0.813448645073314	1
Cluster_104	23.3599716977103	0.690809344965352	1	1	1	1
Cluster_105	27.1545997527976	0.569260878877363	0.999999989113942	1	0.999999999951112	1
Cluster_106	28.452369224401	0.536958585809185	0.998590412324623	1	0.998907116032518	1
Cluster_107	29.754852184515	0.490499375169699	0.221305993440906	1	0.47779239501941	1
Cluster_108	26.1513052126535	0.606098040174649	1	1	1	1
Cluster_109	27.6528917626748	0.552249642050658	0.99998792167078	1	0.999999887815442	1
Cluster_11	23.4945205254566	0.688588288268537	1	1	1	1
Cluster_110	25.6868301838078	0.61816122814148	1	1	1	1
Cluster_111	27.9954669324127	0.548486325407573	0.999955431916284	1	0.999989462955911	1
Cluster_112	25.4494756896292	0.621932133816558	1	1	1	1
Cluster_113	26.5469664059356	0.588059754351467	0.999999999999447	1	0.999999999999999	1
Cluster_114	28.8859713917227	0.518606619996931	0.93366914337289	1	0.97947408273945	1
Cluster_115	26.359546602448	0.595975957946644	0.999999999999996	1	1	1
Cluster_116	28.14650116206	0.538990759931935	0.999186509298767	1	0.999953686879497	1
Cluster_117	23.3548916097524	0.692864286184083	1	1	1	1
Cluster_118	29.1075582078471	0.514839930450738	0.884791275637458	1	0.934389302304332	1
Cluster_119	25.0226460712393	0.640742814451541	1	1	1	1
Cluster_12	26.4112934881828	0.593505306419815	0.999999999999979	1	1	1
Cluster_120	25.5219873154187	0.623333575058056	1	1	1	1
Cluster_121	26.5002858347915	0.593470734162955	0.999999999999979	1	0.999999999999998	1
Cluster_122	29.3081001037697	0.510907125426461	0.810964428136077	1	0.841243767570348	1
Cluster_123	23.6417231823908	0.683383898772432	1	1	1	1
Cluster_124	25.3351445880825	0.632881420531873	1	1	1	1
Cluster_125	27.938389803221	0.546083975168687	0.999902056167893	1	0.999995338666971	1
Cluster_126	28.8915091369133	0.514412414981761	0.877936799738055	1	0.981118288134701	1
Cluster_127	26.203522409447	0.599619536529384	1	1	1	1
Cluster_128	28.7206605104762	0.519444786419343	0.941957923290931	1	0.993426890745809	1
Cluster_129	26.9159537853651	0.572284686513953	0.999999997415898	1	0.999999999999399	1
Cluster_13	27.401203331331	0.565686444808343	0.999999944712921	1	0.999999992800989	1
Cluster_130	25.9203720763813	0.611722356107737	1	1	1	1
Cluster_131	23.8041722499613	0.683453043286152	1	1	1	1
Cluster_132	22.3728877110487	0.723997868325236	1	1	1	1
Cluster_133	28.0157788779935	0.538645880589111	0.999105380848991	1	0.999990052528623	1
Cluster_134	27.2758434376274	0.57085288914448	0.999999994857281	1	0.999999999520142	1
Cluster_14	23.8715602551699	0.682299510423114	1	1	1	1
Cluster_15	24.6620284673117	0.652168523730903	1	1	1	1
Cluster_16	24.5769299518116	0.654483178488973	1	1	1	1
Cluster_17	25.5516551967916	0.624482891792209	1	1	1	1
Cluster_18	25.4489638821652	0.627783277483679	1	1	1	1
Cluster_19	31.0254243204041	0.451936130706741	5.13197063599412e-05	0.00656892241407247	0.00125929207127861	0.161189385123662
Cluster_2	24.5923320652297	0.65508945782269	1	1	1	1
Cluster_20	50.6309062246204	0.103870237671618	3.58340132101132e-225	4.83759178336528e-223	2.08216723643545e-283	2.81092576918786e-281
Cluster_21	25.6666468404987	0.618420098455042	1	1	1	1
Cluster_22	24.4893575646909	0.652715777260225	1	1	1	1
Cluster_23	24.115288161138	0.667560767065625	1	1	1	1
Cluster_24	39.058217024358	0.274194255608716	1.06492512498221e-74	1.3950519137267e-72	3.03939251029141e-79	3.98160418848175e-77
Cluster_25	24.3927873407316	0.658973355751896	1	1	1	1
Cluster_26	29.4318367555776	0.501442759304575	0.546409947892749	1	0.757644850583536	1
Cluster_27	28.2575842045881	0.540890547607684	0.999524365986646	1	0.999737089892689	1
Cluster_28	26.7373219863309	0.58890045045121	0.999999999999663	1	0.99999999999978	1
Cluster_29	24.7397002918046	0.645313941389063	1	1	1	1
Cluster_3	30.1964090113994	0.493446449260575	0.298186637052923	1	0.147906660701031	1
Cluster_30	25.5133942571734	0.619898273242254	1	1	1	1
Cluster_31	24.476093701207	0.653757161094912	1	1	1	1
Cluster_32	27.9309477653974	0.549525179564929	0.999968643310517	1	0.99999127307955	1
Cluster_33	27.5233639177972	0.568342606006129	0.99999998334515	1	0.999999905392558	1
Cluster_34	22.1308579336619	0.73370508347092	1	1	1	1
Cluster_35	26.659397909427	0.586011558938952	0.999999999998186	1	0.999999999999997	1
Cluster_36	29.080103513179	0.50513946111127	0.66105491632951	1	0.946945729540096	1
Cluster_37	27.8853297202394	0.543437932680227	0.999776302481666	1	0.999998595477639	1
Cluster_38	28.3941057826132	0.530819902152081	0.993625423194393	1	0.999501825595615	1
Cluster_39	28.9721729011841	0.521786424402279	0.960852262293651	1	0.964915893495301	1
Cluster_4	22.5397579785538	0.723061044486906	1	1	1	1
Cluster_40	25.9304314348334	0.610636281306865	1	1	1	1
Cluster_41	24.2046086691598	0.663712284619056	1	1	1	1
Cluster_42	28.8054415698443	0.518785383861671	0.935509786582688	1	0.987529568239925	1
Cluster_43	28.3090507776501	0.533244176261171	0.996391021575859	1	0.999841163191545	1
Cluster_44	24.8438266243255	0.640325417691889	1	1	1	1
Cluster_45	25.8551852563801	0.608722158792905	1	1	1	1
Cluster_46	27.2499503294781	0.567040665406325	0.999999969843357	1	0.999999999557562	1
Cluster_47	24.9370544587173	0.646007916203595	1	1	1	1
Cluster_48	26.5394763538385	0.593502776742484	0.999999999999979	1	0.999999999999997	1
Cluster_49	25.9924118047797	0.617504355261139	1	1	1	1
Cluster_5	22.7926359813266	0.71363378029921	1	1	1	1
Cluster_50	28.9879315380943	0.523022593391471	0.968597078464757	1	0.959499418201422	1
Cluster_51	24.104927402989	0.669652810218547	1	1	1	1
Cluster_52	25.4800167912309	0.625549572400208	1	1	1	1
Cluster_53	23.7365245433111	0.677860769932592	1	1	1	1
