C1	C2	Distance	Group1	Group2
lotus_japonicus_rhizosphere_bs1	CAS_bs1	29.9599651783644	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs2	CAS_bs1	24.4880033834503	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs3	CAS_bs1	31.9551308197373	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs4	CAS_bs1	29.7593449580776	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs5	CAS_bs1	27.2461481794758	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs6	CAS_bs1	36.5299542602536	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs7	CAS_bs1	24.4384115733639	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs8	CAS_bs1	31.4287177345257	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs9	CAS_bs1	39.4258258004663	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs10	CAS_bs1	30.181641266384	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs11	CAS_bs1	35.7326608191445	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs12	CAS_bs1	43.4516917084495	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs13	CAS_bs1	32.9105377092777	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs14	CAS_bs1	26.3919780703689	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs15	CAS_bs1	22.4731607424509	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs16	CAS_bs1	30.4041956203112	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs17	CAS_bs1	44.0489713817929	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs18	CAS_bs1	27.805272070314	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs19	CAS_bs1	28.288584851386	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs20	CAS_bs1	29.0795198711211	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs21	CAS_bs1	32.2905963717569	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs22	CAS_bs1	31.2157618761752	lotus_japonicus_rhizosphere	CAS
