C1	C2	Distance	Group1	Group2
lotus_japonicus_root_bs1	CAS_bs1	57.5043422284754	lotus_japonicus_root	CAS
lotus_japonicus_root_bs2	CAS_bs1	52.6781673552891	lotus_japonicus_root	CAS
lotus_japonicus_root_bs3	CAS_bs1	56.1269414610231	lotus_japonicus_root	CAS
lotus_japonicus_root_bs4	CAS_bs1	56.1128407015893	lotus_japonicus_root	CAS
lotus_japonicus_root_bs5	CAS_bs1	52.0410074532638	lotus_japonicus_root	CAS
lotus_japonicus_root_bs6	CAS_bs1	56.6841625638079	lotus_japonicus_root	CAS
lotus_japonicus_root_bs7	CAS_bs1	53.5057896212585	lotus_japonicus_root	CAS
lotus_japonicus_root_bs8	CAS_bs1	60.1017816580204	lotus_japonicus_root	CAS
lotus_japonicus_root_bs9	CAS_bs1	54.3030953489947	lotus_japonicus_root	CAS
lotus_japonicus_root_bs10	CAS_bs1	54.1260402074135	lotus_japonicus_root	CAS
lotus_japonicus_root_bs11	CAS_bs1	54.7215401675892	lotus_japonicus_root	CAS
lotus_japonicus_root_bs12	CAS_bs1	59.6592485157187	lotus_japonicus_root	CAS
lotus_japonicus_root_bs13	CAS_bs1	54.5175394991881	lotus_japonicus_root	CAS
lotus_japonicus_root_bs14	CAS_bs1	52.7254949334929	lotus_japonicus_root	CAS
lotus_japonicus_root_bs15	CAS_bs1	55.7221303780677	lotus_japonicus_root	CAS
lotus_japonicus_root_bs16	CAS_bs1	54.9467762975237	lotus_japonicus_root	CAS
lotus_japonicus_root_bs17	CAS_bs1	53.3713128735288	lotus_japonicus_root	CAS
lotus_japonicus_root_bs18	CAS_bs1	57.4043639496084	lotus_japonicus_root	CAS
lotus_japonicus_root_bs19	CAS_bs1	59.573372394393	lotus_japonicus_root	CAS
lotus_japonicus_root_bs20	CAS_bs1	52.2319567733851	lotus_japonicus_root	CAS
lotus_japonicus_root_bs21	CAS_bs1	51.5323263974616	lotus_japonicus_root	CAS
lotus_japonicus_root_bs22	CAS_bs1	51.1647775830127	lotus_japonicus_root	CAS
lotus_japonicus_root_bs23	CAS_bs1	56.5098352387862	lotus_japonicus_root	CAS
lotus_japonicus_root_bs24	CAS_bs1	49.7378065030125	lotus_japonicus_root	CAS
lotus_japonicus_root_bs25	CAS_bs1	54.9677464904961	lotus_japonicus_root	CAS
lotus_japonicus_root_bs26	CAS_bs1	50.3705304776166	lotus_japonicus_root	CAS
lotus_japonicus_root_bs27	CAS_bs1	62.3883240068501	lotus_japonicus_root	CAS
lotus_japonicus_root_bs28	CAS_bs1	51.7878830514823	lotus_japonicus_root	CAS
lotus_japonicus_root_bs29	CAS_bs1	56.0224274422312	lotus_japonicus_root	CAS
lotus_japonicus_root_bs30	CAS_bs1	58.6969952187549	lotus_japonicus_root	CAS
lotus_japonicus_root_bs31	CAS_bs1	65.9911645038666	lotus_japonicus_root	CAS
lotus_japonicus_root_bs32	CAS_bs1	58.9987269282131	lotus_japonicus_root	CAS
lotus_japonicus_root_bs33	CAS_bs1	54.6859861110223	lotus_japonicus_root	CAS
lotus_japonicus_root_bs1	CAS_bs2	66.6951328296156	lotus_japonicus_root	CAS
lotus_japonicus_root_bs2	CAS_bs2	65.405498474227	lotus_japonicus_root	CAS
lotus_japonicus_root_bs3	CAS_bs2	69.1258060160256	lotus_japonicus_root	CAS
lotus_japonicus_root_bs4	CAS_bs2	69.2251443516241	lotus_japonicus_root	CAS
lotus_japonicus_root_bs5	CAS_bs2	63.3849935594414	lotus_japonicus_root	CAS
lotus_japonicus_root_bs6	CAS_bs2	62.6062721691892	lotus_japonicus_root	CAS
lotus_japonicus_root_bs7	CAS_bs2	59.9964410047536	lotus_japonicus_root	CAS
lotus_japonicus_root_bs8	CAS_bs2	70.6287588933907	lotus_japonicus_root	CAS
lotus_japonicus_root_bs9	CAS_bs2	65.180458725931	lotus_japonicus_root	CAS
lotus_japonicus_root_bs10	CAS_bs2	66.1986340378879	lotus_japonicus_root	CAS
lotus_japonicus_root_bs11	CAS_bs2	64.1960465378976	lotus_japonicus_root	CAS
lotus_japonicus_root_bs12	CAS_bs2	67.0862564915663	lotus_japonicus_root	CAS
lotus_japonicus_root_bs13	CAS_bs2	64.9299706963588	lotus_japonicus_root	CAS
lotus_japonicus_root_bs14	CAS_bs2	61.4419971166413	lotus_japonicus_root	CAS
lotus_japonicus_root_bs15	CAS_bs2	66.598410699402	lotus_japonicus_root	CAS
lotus_japonicus_root_bs16	CAS_bs2	66.5198264697283	lotus_japonicus_root	CAS
lotus_japonicus_root_bs17	CAS_bs2	65.355316675867	lotus_japonicus_root	CAS
lotus_japonicus_root_bs18	CAS_bs2	71.8500219449968	lotus_japonicus_root	CAS
lotus_japonicus_root_bs19	CAS_bs2	64.6984183781475	lotus_japonicus_root	CAS
lotus_japonicus_root_bs20	CAS_bs2	60.7616633812607	lotus_japonicus_root	CAS
lotus_japonicus_root_bs21	CAS_bs2	62.6918495328255	lotus_japonicus_root	CAS
lotus_japonicus_root_bs22	CAS_bs2	64.7141991611498	lotus_japonicus_root	CAS
lotus_japonicus_root_bs23	CAS_bs2	69.1610563712522	lotus_japonicus_root	CAS
lotus_japonicus_root_bs24	CAS_bs2	64.739744815365	lotus_japonicus_root	CAS
lotus_japonicus_root_bs25	CAS_bs2	69.6297201400344	lotus_japonicus_root	CAS
