C1	C2	Distance	Group1	Group2
CAS_bs1	arabidopsis_thaliana_rhizosphere_bs1	29.6067101760542	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs2	arabidopsis_thaliana_rhizosphere_bs1	19.0065503174002	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs3	arabidopsis_thaliana_rhizosphere_bs1	30.4022877130184	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs4	arabidopsis_thaliana_rhizosphere_bs1	28.6847826308554	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs5	arabidopsis_thaliana_rhizosphere_bs1	37.2797204572748	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs6	arabidopsis_thaliana_rhizosphere_bs1	42.5039639258845	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs7	arabidopsis_thaliana_rhizosphere_bs1	16.1705832653128	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs8	arabidopsis_thaliana_rhizosphere_bs1	21.9893936201526	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs9	arabidopsis_thaliana_rhizosphere_bs1	30.4487224157356	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs10	arabidopsis_thaliana_rhizosphere_bs1	29.678321459132	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs11	arabidopsis_thaliana_rhizosphere_bs1	20.1969133960839	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs12	arabidopsis_thaliana_rhizosphere_bs1	32.7658221070094	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs13	arabidopsis_thaliana_rhizosphere_bs1	23.0501318152192	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs14	arabidopsis_thaliana_rhizosphere_bs1	29.9017089691842	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs15	arabidopsis_thaliana_rhizosphere_bs1	22.695879092361	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs16	arabidopsis_thaliana_rhizosphere_bs1	27.1187395482761	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs17	arabidopsis_thaliana_rhizosphere_bs1	24.2041871779085	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs18	arabidopsis_thaliana_rhizosphere_bs1	19.1291126891881	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs19	arabidopsis_thaliana_rhizosphere_bs1	23.7982899598249	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs20	arabidopsis_thaliana_rhizosphere_bs1	22.1187406711825	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs21	arabidopsis_thaliana_rhizosphere_bs1	19.6808151421372	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs22	arabidopsis_thaliana_rhizosphere_bs1	28.6522800870689	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs23	arabidopsis_thaliana_rhizosphere_bs1	27.1497888143067	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs24	arabidopsis_thaliana_rhizosphere_bs1	13.5740252599762	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs25	arabidopsis_thaliana_rhizosphere_bs1	39.4616232053428	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs26	arabidopsis_thaliana_rhizosphere_bs1	20.2625563394355	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs27	arabidopsis_thaliana_rhizosphere_bs1	31.5844674571644	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs28	arabidopsis_thaliana_rhizosphere_bs1	33.865266061679	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs29	arabidopsis_thaliana_rhizosphere_bs1	23.0546244613721	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs30	arabidopsis_thaliana_rhizosphere_bs1	24.939573802275	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs31	arabidopsis_thaliana_rhizosphere_bs1	22.0971107172356	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs32	arabidopsis_thaliana_rhizosphere_bs1	21.3973063951667	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs33	arabidopsis_thaliana_rhizosphere_bs1	19.6425903903611	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs1	arabidopsis_thaliana_rhizosphere_bs2	33.3170335660376	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs2	arabidopsis_thaliana_rhizosphere_bs2	28.2137602191264	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs3	arabidopsis_thaliana_rhizosphere_bs2	38.0819517903131	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs4	arabidopsis_thaliana_rhizosphere_bs2	35.2632331287384	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs5	arabidopsis_thaliana_rhizosphere_bs2	42.3762434287176	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs6	arabidopsis_thaliana_rhizosphere_bs2	49.9057774514176	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs7	arabidopsis_thaliana_rhizosphere_bs2	17.2204047884107	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs8	arabidopsis_thaliana_rhizosphere_bs2	29.424668001971	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs9	arabidopsis_thaliana_rhizosphere_bs2	35.9170762621043	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs10	arabidopsis_thaliana_rhizosphere_bs2	36.8228855387799	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs11	arabidopsis_thaliana_rhizosphere_bs2	29.7739213229607	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs12	arabidopsis_thaliana_rhizosphere_bs2	39.9742643050399	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs13	arabidopsis_thaliana_rhizosphere_bs2	31.1195380996529	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs14	arabidopsis_thaliana_rhizosphere_bs2	34.495632478839	CAS	arabidopsis_thaliana_rhizosphere
CAS_bs15	arabidopsis_thaliana_rhizosphere_bs2	28.7663354262837	CAS	arabidopsis_thaliana_rhizosphere
