C1	C2	Distance	Group1	Group2
CAS_bs1	arabidopsis_thaliana_root_bs1	35.918533553303	CAS	arabidopsis_thaliana_root
CAS_bs2	arabidopsis_thaliana_root_bs1	47.4218468060038	CAS	arabidopsis_thaliana_root
CAS_bs3	arabidopsis_thaliana_root_bs1	49.3101581011534	CAS	arabidopsis_thaliana_root
CAS_bs4	arabidopsis_thaliana_root_bs1	43.6036581916085	CAS	arabidopsis_thaliana_root
CAS_bs5	arabidopsis_thaliana_root_bs1	47.3737188672464	CAS	arabidopsis_thaliana_root
CAS_bs6	arabidopsis_thaliana_root_bs1	39.0929687752821	CAS	arabidopsis_thaliana_root
CAS_bs7	arabidopsis_thaliana_root_bs1	28.9545449899482	CAS	arabidopsis_thaliana_root
CAS_bs8	arabidopsis_thaliana_root_bs1	37.8819000488358	CAS	arabidopsis_thaliana_root
CAS_bs9	arabidopsis_thaliana_root_bs1	43.3874745355892	CAS	arabidopsis_thaliana_root
CAS_bs10	arabidopsis_thaliana_root_bs1	48.3901975727923	CAS	arabidopsis_thaliana_root
CAS_bs11	arabidopsis_thaliana_root_bs1	46.4645062879135	CAS	arabidopsis_thaliana_root
CAS_bs12	arabidopsis_thaliana_root_bs1	53.07504520711	CAS	arabidopsis_thaliana_root
CAS_bs13	arabidopsis_thaliana_root_bs1	43.5251436967069	CAS	arabidopsis_thaliana_root
CAS_bs14	arabidopsis_thaliana_root_bs1	42.7981561988041	CAS	arabidopsis_thaliana_root
CAS_bs15	arabidopsis_thaliana_root_bs1	47.3503320286292	CAS	arabidopsis_thaliana_root
CAS_bs16	arabidopsis_thaliana_root_bs1	54.8750870291527	CAS	arabidopsis_thaliana_root
CAS_bs17	arabidopsis_thaliana_root_bs1	47.7063565231388	CAS	arabidopsis_thaliana_root
CAS_bs18	arabidopsis_thaliana_root_bs1	39.7234223436915	CAS	arabidopsis_thaliana_root
CAS_bs19	arabidopsis_thaliana_root_bs1	50.2105533165559	CAS	arabidopsis_thaliana_root
CAS_bs20	arabidopsis_thaliana_root_bs1	43.574611873667	CAS	arabidopsis_thaliana_root
CAS_bs21	arabidopsis_thaliana_root_bs1	42.6044133726057	CAS	arabidopsis_thaliana_root
CAS_bs22	arabidopsis_thaliana_root_bs1	41.1323344428038	CAS	arabidopsis_thaliana_root
CAS_bs23	arabidopsis_thaliana_root_bs1	41.1365667666028	CAS	arabidopsis_thaliana_root
CAS_bs24	arabidopsis_thaliana_root_bs1	44.2081758040723	CAS	arabidopsis_thaliana_root
CAS_bs25	arabidopsis_thaliana_root_bs1	44.599034338177	CAS	arabidopsis_thaliana_root
CAS_bs26	arabidopsis_thaliana_root_bs1	39.7996712273055	CAS	arabidopsis_thaliana_root
CAS_bs27	arabidopsis_thaliana_root_bs1	48.2338796353344	CAS	arabidopsis_thaliana_root
