C1	C2	Distance	Group1	Group2
lotus_japonicus_root_pm1	CAS_pm1	29.7391982548151	lotus_japonicus_root	CAS
lotus_japonicus_root_pm2	CAS_pm1	20.9782515487973	lotus_japonicus_root	CAS
lotus_japonicus_root_pm3	CAS_pm1	30.6976239255739	lotus_japonicus_root	CAS
lotus_japonicus_root_pm4	CAS_pm1	30.3612168060069	lotus_japonicus_root	CAS
lotus_japonicus_root_pm5	CAS_pm1	34.1707010864834	lotus_japonicus_root	CAS
lotus_japonicus_root_pm6	CAS_pm1	19.8859037778414	lotus_japonicus_root	CAS
lotus_japonicus_root_pm7	CAS_pm1	28.9410291380566	lotus_japonicus_root	CAS
lotus_japonicus_root_pm8	CAS_pm1	35.3590417778686	lotus_japonicus_root	CAS
lotus_japonicus_root_pm9	CAS_pm1	27.5111242722402	lotus_japonicus_root	CAS
lotus_japonicus_root_pm10	CAS_pm1	24.7254705885182	lotus_japonicus_root	CAS
lotus_japonicus_root_pm11	CAS_pm1	51.8990394206064	lotus_japonicus_root	CAS
lotus_japonicus_root_pm12	CAS_pm1	23.9487900064279	lotus_japonicus_root	CAS
lotus_japonicus_root_pm13	CAS_pm1	30.7454753510694	lotus_japonicus_root	CAS
lotus_japonicus_root_pm14	CAS_pm1	22.2393832358975	lotus_japonicus_root	CAS
lotus_japonicus_root_pm15	CAS_pm1	24.4026739816686	lotus_japonicus_root	CAS
lotus_japonicus_root_pm16	CAS_pm1	35.0710938936923	lotus_japonicus_root	CAS
lotus_japonicus_root_pm17	CAS_pm1	34.1419546065915	lotus_japonicus_root	CAS
lotus_japonicus_root_pm18	CAS_pm1	35.1142256523278	lotus_japonicus_root	CAS
lotus_japonicus_root_pm19	CAS_pm1	28.4412086464141	lotus_japonicus_root	CAS
lotus_japonicus_root_pm20	CAS_pm1	26.3653798487287	lotus_japonicus_root	CAS
lotus_japonicus_root_pm21	CAS_pm1	36.7593836897707	lotus_japonicus_root	CAS
lotus_japonicus_root_pm22	CAS_pm1	20.2344741617224	lotus_japonicus_root	CAS
lotus_japonicus_root_pm23	CAS_pm1	31.0106440220046	lotus_japonicus_root	CAS
lotus_japonicus_root_pm24	CAS_pm1	16.346651877612	lotus_japonicus_root	CAS
lotus_japonicus_root_pm25	CAS_pm1	23.6770440851047	lotus_japonicus_root	CAS
lotus_japonicus_root_pm26	CAS_pm1	36.2154887989595	lotus_japonicus_root	CAS
lotus_japonicus_root_pm27	CAS_pm1	34.9046547520584	lotus_japonicus_root	CAS
lotus_japonicus_root_pm28	CAS_pm1	24.2503202624294	lotus_japonicus_root	CAS
lotus_japonicus_root_pm29	CAS_pm1	25.5187005663023	lotus_japonicus_root	CAS
lotus_japonicus_root_pm30	CAS_pm1	24.3211218051812	lotus_japonicus_root	CAS
lotus_japonicus_root_pm31	CAS_pm1	24.6995521585406	lotus_japonicus_root	CAS
lotus_japonicus_root_pm32	CAS_pm1	16.0348481975604	lotus_japonicus_root	CAS
lotus_japonicus_root_pm33	CAS_pm1	32.6778383382931	lotus_japonicus_root	CAS
