C1	C2	Distance	Group1	Group2
lotus_japonicus_root_pm1	arabidopsis_thaliana_rhizosphere_pm1	27.9446113855387	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm2	arabidopsis_thaliana_rhizosphere_pm1	39.6264435659223	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm3	arabidopsis_thaliana_rhizosphere_pm1	26.9243148233022	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm4	arabidopsis_thaliana_rhizosphere_pm1	22.5024945712374	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm5	arabidopsis_thaliana_rhizosphere_pm1	24.6661476769352	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm6	arabidopsis_thaliana_rhizosphere_pm1	31.9843542638757	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm7	arabidopsis_thaliana_rhizosphere_pm1	21.444984320078	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm8	arabidopsis_thaliana_rhizosphere_pm1	35.6933834880304	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm9	arabidopsis_thaliana_rhizosphere_pm1	22.3309931231686	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm10	arabidopsis_thaliana_rhizosphere_pm1	22.6337391002493	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm11	arabidopsis_thaliana_rhizosphere_pm1	10.9339666630703	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm12	arabidopsis_thaliana_rhizosphere_pm1	23.4566929414112	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm13	arabidopsis_thaliana_rhizosphere_pm1	34.5223052068518	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm14	arabidopsis_thaliana_rhizosphere_pm1	26.3857080409795	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm15	arabidopsis_thaliana_rhizosphere_pm1	23.6871899706836	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm16	arabidopsis_thaliana_rhizosphere_pm1	28.8259839782339	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm17	arabidopsis_thaliana_rhizosphere_pm1	12.8285384495995	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm18	arabidopsis_thaliana_rhizosphere_pm1	20.0401164359813	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm19	arabidopsis_thaliana_rhizosphere_pm1	18.1832834812338	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm20	arabidopsis_thaliana_rhizosphere_pm1	25.9819979954994	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm21	arabidopsis_thaliana_rhizosphere_pm1	21.8788456675792	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm22	arabidopsis_thaliana_rhizosphere_pm1	22.102194021825	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm23	arabidopsis_thaliana_rhizosphere_pm1	19.8890309743801	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm24	arabidopsis_thaliana_rhizosphere_pm1	15.5834820068107	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm25	arabidopsis_thaliana_rhizosphere_pm1	34.2356910339351	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm26	arabidopsis_thaliana_rhizosphere_pm1	28.1915004058333	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm27	arabidopsis_thaliana_rhizosphere_pm1	29.46860250586	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm28	arabidopsis_thaliana_rhizosphere_pm1	25.9105641067021	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm29	arabidopsis_thaliana_rhizosphere_pm1	18.4679996586687	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm30	arabidopsis_thaliana_rhizosphere_pm1	21.4690798853706	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm31	arabidopsis_thaliana_rhizosphere_pm1	15.5306796174622	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm32	arabidopsis_thaliana_rhizosphere_pm1	23.9821658720156	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm33	arabidopsis_thaliana_rhizosphere_pm1	21.4769559404574	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm1	arabidopsis_thaliana_rhizosphere_pm2	17.230124392336	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm2	arabidopsis_thaliana_rhizosphere_pm2	29.5055349889604	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm3	arabidopsis_thaliana_rhizosphere_pm2	11.7855736941312	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm4	arabidopsis_thaliana_rhizosphere_pm2	30.1052039533658	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm5	arabidopsis_thaliana_rhizosphere_pm2	23.8969153677691	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm6	arabidopsis_thaliana_rhizosphere_pm2	17.2628197966287	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm7	arabidopsis_thaliana_rhizosphere_pm2	17.9556679136004	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm8	arabidopsis_thaliana_rhizosphere_pm2	22.9121579074488	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm9	arabidopsis_thaliana_rhizosphere_pm2	22.5992786081037	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm10	arabidopsis_thaliana_rhizosphere_pm2	11.2345269657211	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm11	arabidopsis_thaliana_rhizosphere_pm2	23.2276268691841	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm12	arabidopsis_thaliana_rhizosphere_pm2	32.7213383753291	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm13	arabidopsis_thaliana_rhizosphere_pm2	31.3404829233399	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm14	arabidopsis_thaliana_rhizosphere_pm2	27.5318047391214	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm15	arabidopsis_thaliana_rhizosphere_pm2	19.127768275746	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm16	arabidopsis_thaliana_rhizosphere_pm2	20.1470337537197	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm17	arabidopsis_thaliana_rhizosphere_pm2	26.8889219272621	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm18	arabidopsis_thaliana_rhizosphere_pm2	31.8350497394594	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm19	arabidopsis_thaliana_rhizosphere_pm2	30.4533150600861	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm20	arabidopsis_thaliana_rhizosphere_pm2	19.2668579047726	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm21	arabidopsis_thaliana_rhizosphere_pm2	21.2877773872951	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm22	arabidopsis_thaliana_rhizosphere_pm2	27.53597071149	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm23	arabidopsis_thaliana_rhizosphere_pm2	18.1647956332683	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm24	arabidopsis_thaliana_rhizosphere_pm2	18.8340573848805	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm25	arabidopsis_thaliana_rhizosphere_pm2	16.9170653581447	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm26	arabidopsis_thaliana_rhizosphere_pm2	29.3893420540831	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm27	arabidopsis_thaliana_rhizosphere_pm2	44.9542080541935	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm28	arabidopsis_thaliana_rhizosphere_pm2	18.7947447738294	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm29	arabidopsis_thaliana_rhizosphere_pm2	17.8222461871594	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
lotus_japonicus_root_pm30	arabidopsis_thaliana_rhizosphere_pm2	31.0609270166485	lotus_japonicus_root	arabidopsis_thaliana_rhizosphere
