C1	C2	Distance	Group1	Group2
CAS_bs2	CAS_bs1	15.3489219672132	CAS	CAS
CAS_bs3	CAS_bs1	8.67477497029806	CAS	CAS
CAS_bs4	CAS_bs1	22.218281634257	CAS	CAS
CAS_bs5	CAS_bs1	14.1324108177941	CAS	CAS
CAS_bs6	CAS_bs1	20.8959054275394	CAS	CAS
CAS_bs7	CAS_bs1	22.2133815749902	CAS	CAS
CAS_bs8	CAS_bs1	9.84645360578101	CAS	CAS
CAS_bs9	CAS_bs1	14.7940486121595	CAS	CAS
CAS_bs10	CAS_bs1	21.405949488232	CAS	CAS
CAS_bs11	CAS_bs1	21.3323188702637	CAS	CAS
CAS_bs12	CAS_bs1	15.8299953173987	CAS	CAS
CAS_bs13	CAS_bs1	10.8736222216223	CAS	CAS
CAS_bs14	CAS_bs1	9.51532223990315	CAS	CAS
CAS_bs15	CAS_bs1	11.4478342994504	CAS	CAS
CAS_bs16	CAS_bs1	12.000407445822	CAS	CAS
CAS_bs17	CAS_bs1	12.9940691045425	CAS	CAS
CAS_bs18	CAS_bs1	18.976914618235	CAS	CAS
CAS_bs19	CAS_bs1	6.53782027416503	CAS	CAS
CAS_bs20	CAS_bs1	26.1178219419567	CAS	CAS
CAS_bs21	CAS_bs1	8.58539705633268	CAS	CAS
CAS_bs22	CAS_bs1	17.1637095662602	CAS	CAS
CAS_bs23	CAS_bs1	14.7759167779268	CAS	CAS
CAS_bs24	CAS_bs1	11.5370682379858	CAS	CAS
CAS_bs25	CAS_bs1	16.1114554629197	CAS	CAS
CAS_bs26	CAS_bs1	10.405856817178	CAS	CAS
CAS_bs27	CAS_bs1	13.9049111218788	CAS	CAS
CAS_bs28	CAS_bs1	18.0144724382815	CAS	CAS
CAS_bs29	CAS_bs1	10.7867687719866	CAS	CAS
CAS_bs30	CAS_bs1	15.2482751996203	CAS	CAS
CAS_bs31	CAS_bs1	23.3348494609209	CAS	CAS
CAS_bs32	CAS_bs1	26.9871620246232	CAS	CAS
CAS_bs33	CAS_bs1	16.6981427329244	CAS	CAS
CAS_bs1	CAS_bs1	11.9596654363961	CAS	CAS
CAS_bs2	CAS_bs1	19.6994115417523	CAS	CAS
CAS_bs3	CAS_bs1	22.3657132177769	CAS	CAS
CAS_bs4	CAS_bs1	10.009125043642	CAS	CAS
CAS_bs5	CAS_bs1	18.7486683147245	CAS	CAS
CAS_bs6	CAS_bs1	26.3482576419558	CAS	CAS
CAS_bs7	CAS_bs1	18.5377992053183	CAS	CAS
CAS_bs8	CAS_bs1	13.8682813227535	CAS	CAS
CAS_bs9	CAS_bs1	14.0467440847446	CAS	CAS
CAS_bs10	CAS_bs1	8.33985978307773	CAS	CAS
CAS_bs11	CAS_bs1	16.500630549833	CAS	CAS
CAS_bs12	CAS_bs1	7.05832510655532	CAS	CAS
CAS_bs13	CAS_bs1	7.77722462393625	CAS	CAS
CAS_bs14	CAS_bs1	13.4829660106076	CAS	CAS
CAS_bs15	CAS_bs1	11.6383521591257	CAS	CAS
CAS_bs16	CAS_bs1	24.7937356376486	CAS	CAS
CAS_bs17	CAS_bs1	6.34710675390823	CAS	CAS
CAS_bs18	CAS_bs1	22.5214967461874	CAS	CAS
CAS_bs19	CAS_bs1	11.3429448420705	CAS	CAS
CAS_bs20	CAS_bs1	8.46256949893554	CAS	CAS
CAS_bs21	CAS_bs1	19.7542766707537	CAS	CAS
CAS_bs22	CAS_bs1	15.6924061850744	CAS	CAS
CAS_bs23	CAS_bs1	19.0343316469889	CAS	CAS
CAS_bs24	CAS_bs1	12.1301631865816	CAS	CAS
CAS_bs25	CAS_bs1	18.8772581555351	CAS	CAS
CAS_bs26	CAS_bs1	8.10000462077966	CAS	CAS
CAS_bs27	CAS_bs1	14.03129485417	CAS	CAS
CAS_bs28	CAS_bs1	24.5924904506617	CAS	CAS
CAS_bs29	CAS_bs1	22.0857019687203	CAS	CAS
CAS_bs30	CAS_bs1	4.93837664336397	CAS	CAS
CAS_bs31	CAS_bs1	11.9951000120746	CAS	CAS
CAS_bs32	CAS_bs1	22.517104121429	CAS	CAS
CAS_bs33	CAS_bs1	13.1188726349191	CAS	CAS
