C1	C2	Distance	Group1	Group2
arabidopsis_thaliana_rhizosphere_pm2	arabidopsis_thaliana_rhizosphere_pm1	20.0649653845292	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm3	arabidopsis_thaliana_rhizosphere_pm1	19.117644722326	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm4	arabidopsis_thaliana_rhizosphere_pm1	21.5069654846084	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm5	arabidopsis_thaliana_rhizosphere_pm1	19.2453996338476	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm6	arabidopsis_thaliana_rhizosphere_pm1	12.9978002149387	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm7	arabidopsis_thaliana_rhizosphere_pm1	12.4288978366262	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm8	arabidopsis_thaliana_rhizosphere_pm1	13.1659652977089	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm9	arabidopsis_thaliana_rhizosphere_pm1	15.012894439638	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm10	arabidopsis_thaliana_rhizosphere_pm1	11.9992387091826	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm11	arabidopsis_thaliana_rhizosphere_pm1	22.4768815097034	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm12	arabidopsis_thaliana_rhizosphere_pm1	16.2338956476427	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm13	arabidopsis_thaliana_rhizosphere_pm1	20.5370044593073	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm14	arabidopsis_thaliana_rhizosphere_pm1	15.9587931446364	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm15	arabidopsis_thaliana_rhizosphere_pm1	12.0441743289362	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm16	arabidopsis_thaliana_rhizosphere_pm1	15.4628480725378	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm17	arabidopsis_thaliana_rhizosphere_pm1	13.6081137615267	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm18	arabidopsis_thaliana_rhizosphere_pm1	18.2418251633433	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm19	arabidopsis_thaliana_rhizosphere_pm1	21.7277684915963	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm20	arabidopsis_thaliana_rhizosphere_pm1	12.6962195525787	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm21	arabidopsis_thaliana_rhizosphere_pm1	15.4969933297518	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm22	arabidopsis_thaliana_rhizosphere_pm1	12.2174341180377	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm23	arabidopsis_thaliana_rhizosphere_pm1	12.3540651729916	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm24	arabidopsis_thaliana_rhizosphere_pm1	11.5437644369376	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm25	arabidopsis_thaliana_rhizosphere_pm1	17.7897029948878	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm26	arabidopsis_thaliana_rhizosphere_pm1	14.5299554202931	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm27	arabidopsis_thaliana_rhizosphere_pm1	13.8891187053949	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm28	arabidopsis_thaliana_rhizosphere_pm1	19.6251272730258	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm29	arabidopsis_thaliana_rhizosphere_pm1	20.0672235759047	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm30	arabidopsis_thaliana_rhizosphere_pm1	20.6806074152435	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm31	arabidopsis_thaliana_rhizosphere_pm1	10.6388909711279	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm32	arabidopsis_thaliana_rhizosphere_pm1	16.9375097263147	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm33	arabidopsis_thaliana_rhizosphere_pm1	12.0956247669287	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm1	arabidopsis_thaliana_rhizosphere_pm1	9.54556954725192	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm2	arabidopsis_thaliana_rhizosphere_pm1	12.5439861229973	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm3	arabidopsis_thaliana_rhizosphere_pm1	14.3615630039763	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm4	arabidopsis_thaliana_rhizosphere_pm1	14.7285336535601	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm5	arabidopsis_thaliana_rhizosphere_pm1	14.9919606982955	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm6	arabidopsis_thaliana_rhizosphere_pm1	13.2171163959602	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm7	arabidopsis_thaliana_rhizosphere_pm1	10.2942481417302	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm8	arabidopsis_thaliana_rhizosphere_pm1	10.8250747536487	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm9	arabidopsis_thaliana_rhizosphere_pm1	11.6118911213782	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm10	arabidopsis_thaliana_rhizosphere_pm1	12.7956336919343	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm11	arabidopsis_thaliana_rhizosphere_pm1	11.8445170020237	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm12	arabidopsis_thaliana_rhizosphere_pm1	12.6969385772657	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm13	arabidopsis_thaliana_rhizosphere_pm1	17.9698512847554	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm14	arabidopsis_thaliana_rhizosphere_pm1	15.6163736688315	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_pm15	arabidopsis_thaliana_rhizosphere_pm1	19.7154155584788	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
