C1	C2	Distance	Group1	Group2
CAS_pm1	arabidopsis_thaliana_root_pm1	16.0457261514066	CAS	arabidopsis_thaliana_root
CAS_pm2	arabidopsis_thaliana_root_pm1	28.2577656983317	CAS	arabidopsis_thaliana_root
CAS_pm3	arabidopsis_thaliana_root_pm1	31.0271031537559	CAS	arabidopsis_thaliana_root
CAS_pm4	arabidopsis_thaliana_root_pm1	26.392101977398	CAS	arabidopsis_thaliana_root
CAS_pm5	arabidopsis_thaliana_root_pm1	23.8607133567322	CAS	arabidopsis_thaliana_root
CAS_pm6	arabidopsis_thaliana_root_pm1	28.6840225581637	CAS	arabidopsis_thaliana_root
CAS_pm7	arabidopsis_thaliana_root_pm1	20.2467914692177	CAS	arabidopsis_thaliana_root
CAS_pm8	arabidopsis_thaliana_root_pm1	27.2130398383786	CAS	arabidopsis_thaliana_root
CAS_pm9	arabidopsis_thaliana_root_pm1	37.2208519351521	CAS	arabidopsis_thaliana_root
CAS_pm10	arabidopsis_thaliana_root_pm1	36.7882439353778	CAS	arabidopsis_thaliana_root
CAS_pm11	arabidopsis_thaliana_root_pm1	24.5359737577575	CAS	arabidopsis_thaliana_root
CAS_pm12	arabidopsis_thaliana_root_pm1	32.3999868741177	CAS	arabidopsis_thaliana_root
CAS_pm13	arabidopsis_thaliana_root_pm1	26.9289768623431	CAS	arabidopsis_thaliana_root
CAS_pm14	arabidopsis_thaliana_root_pm1	24.6109717597349	CAS	arabidopsis_thaliana_root
CAS_pm15	arabidopsis_thaliana_root_pm1	44.4291172517666	CAS	arabidopsis_thaliana_root
CAS_pm16	arabidopsis_thaliana_root_pm1	22.4973518447323	CAS	arabidopsis_thaliana_root
CAS_pm17	arabidopsis_thaliana_root_pm1	30.749340632135	CAS	arabidopsis_thaliana_root
CAS_pm18	arabidopsis_thaliana_root_pm1	26.7656209655886	CAS	arabidopsis_thaliana_root
CAS_pm19	arabidopsis_thaliana_root_pm1	14.1121333795938	CAS	arabidopsis_thaliana_root
CAS_pm20	arabidopsis_thaliana_root_pm1	16.0994168204645	CAS	arabidopsis_thaliana_root
CAS_pm21	arabidopsis_thaliana_root_pm1	27.5083747337518	CAS	arabidopsis_thaliana_root
CAS_pm22	arabidopsis_thaliana_root_pm1	19.2769217808552	CAS	arabidopsis_thaliana_root
CAS_pm23	arabidopsis_thaliana_root_pm1	21.7461589892199	CAS	arabidopsis_thaliana_root
CAS_pm24	arabidopsis_thaliana_root_pm1	62.7121555573553	CAS	arabidopsis_thaliana_root
CAS_pm25	arabidopsis_thaliana_root_pm1	18.8081211519248	CAS	arabidopsis_thaliana_root
CAS_pm26	arabidopsis_thaliana_root_pm1	21.2342182415292	CAS	arabidopsis_thaliana_root
CAS_pm27	arabidopsis_thaliana_root_pm1	32.8225117700653	CAS	arabidopsis_thaliana_root
CAS_pm28	arabidopsis_thaliana_root_pm1	40.9947151239901	CAS	arabidopsis_thaliana_root
CAS_pm29	arabidopsis_thaliana_root_pm1	41.2924289269668	CAS	arabidopsis_thaliana_root
CAS_pm30	arabidopsis_thaliana_root_pm1	17.0270071416698	CAS	arabidopsis_thaliana_root
CAS_pm31	arabidopsis_thaliana_root_pm1	19.7991171633095	CAS	arabidopsis_thaliana_root
CAS_pm32	arabidopsis_thaliana_root_pm1	20.0040999332269	CAS	arabidopsis_thaliana_root
CAS_pm33	arabidopsis_thaliana_root_pm1	15.1166930556799	CAS	arabidopsis_thaliana_root
CAS_pm1	arabidopsis_thaliana_root_pm2	12.905050951197	CAS	arabidopsis_thaliana_root
