C1	C2	Distance	Group1	Group2
arabidopsis_thaliana_rhizosphere_pm1	arabidopsis_thaliana_rhizoplane_pm1	13.5005107747278	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm2	arabidopsis_thaliana_rhizoplane_pm1	13.6514663838419	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm3	arabidopsis_thaliana_rhizoplane_pm1	13.2035828182382	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm4	arabidopsis_thaliana_rhizoplane_pm1	18.6962526733345	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm5	arabidopsis_thaliana_rhizoplane_pm1	21.5320480919735	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm6	arabidopsis_thaliana_rhizoplane_pm1	22.6735626750785	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm7	arabidopsis_thaliana_rhizoplane_pm1	15.9648112845673	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm8	arabidopsis_thaliana_rhizoplane_pm1	16.357813634255	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm9	arabidopsis_thaliana_rhizoplane_pm1	15.8581731757792	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm10	arabidopsis_thaliana_rhizoplane_pm1	17.11243985513	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm11	arabidopsis_thaliana_rhizoplane_pm1	24.2241592882182	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm12	arabidopsis_thaliana_rhizoplane_pm1	15.140283216348	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm13	arabidopsis_thaliana_rhizoplane_pm1	30.9581409142695	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm14	arabidopsis_thaliana_rhizoplane_pm1	13.008535507483	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm15	arabidopsis_thaliana_rhizoplane_pm1	17.3496146759638	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm16	arabidopsis_thaliana_rhizoplane_pm1	15.4611370878113	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm17	arabidopsis_thaliana_rhizoplane_pm1	19.2053939062838	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm18	arabidopsis_thaliana_rhizoplane_pm1	24.0171057308571	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm19	arabidopsis_thaliana_rhizoplane_pm1	19.0737326380664	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm20	arabidopsis_thaliana_rhizoplane_pm1	15.5582095632305	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm21	arabidopsis_thaliana_rhizoplane_pm1	10.2674978697365	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm22	arabidopsis_thaliana_rhizoplane_pm1	17.4425397403802	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm23	arabidopsis_thaliana_rhizoplane_pm1	14.4545205908333	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm24	arabidopsis_thaliana_rhizoplane_pm1	18.7363874013118	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm25	arabidopsis_thaliana_rhizoplane_pm1	18.3583464511289	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm26	arabidopsis_thaliana_rhizoplane_pm1	17.1445456036246	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm27	arabidopsis_thaliana_rhizoplane_pm1	19.6928901185957	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm28	arabidopsis_thaliana_rhizoplane_pm1	19.2709589433749	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm29	arabidopsis_thaliana_rhizoplane_pm1	14.6960874286879	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm30	arabidopsis_thaliana_rhizoplane_pm1	15.5927671726364	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_pm31	arabidopsis_thaliana_rhizoplane_pm1	25.2884778070722	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
