C1	C2	Distance	Group1	Group2
CAS_pm1	arabidopsis_thaliana_root_pm1	15.4784337626031	CAS	arabidopsis_thaliana_root
CAS_pm2	arabidopsis_thaliana_root_pm1	22.0783542482601	CAS	arabidopsis_thaliana_root
CAS_pm3	arabidopsis_thaliana_root_pm1	23.9873477072784	CAS	arabidopsis_thaliana_root
CAS_pm4	arabidopsis_thaliana_root_pm1	9.23500346652673	CAS	arabidopsis_thaliana_root
CAS_pm5	arabidopsis_thaliana_root_pm1	35.718743373291	CAS	arabidopsis_thaliana_root
CAS_pm6	arabidopsis_thaliana_root_pm1	16.0345707075964	CAS	arabidopsis_thaliana_root
CAS_pm7	arabidopsis_thaliana_root_pm1	26.0486376567751	CAS	arabidopsis_thaliana_root
CAS_pm8	arabidopsis_thaliana_root_pm1	27.3536687680871	CAS	arabidopsis_thaliana_root
CAS_pm9	arabidopsis_thaliana_root_pm1	10.3003784548816	CAS	arabidopsis_thaliana_root
CAS_pm10	arabidopsis_thaliana_root_pm1	14.5564272178625	CAS	arabidopsis_thaliana_root
CAS_pm11	arabidopsis_thaliana_root_pm1	26.4606813300345	CAS	arabidopsis_thaliana_root
CAS_pm12	arabidopsis_thaliana_root_pm1	12.2078432035425	CAS	arabidopsis_thaliana_root
CAS_pm13	arabidopsis_thaliana_root_pm1	20.875552081311	CAS	arabidopsis_thaliana_root
CAS_pm14	arabidopsis_thaliana_root_pm1	12.1382277033286	CAS	arabidopsis_thaliana_root
CAS_pm15	arabidopsis_thaliana_root_pm1	16.7677625982427	CAS	arabidopsis_thaliana_root
CAS_pm16	arabidopsis_thaliana_root_pm1	19.6891520522001	CAS	arabidopsis_thaliana_root
CAS_pm17	arabidopsis_thaliana_root_pm1	14.7329783284989	CAS	arabidopsis_thaliana_root
CAS_pm18	arabidopsis_thaliana_root_pm1	13.5114949832428	CAS	arabidopsis_thaliana_root
CAS_pm19	arabidopsis_thaliana_root_pm1	16.1165902984588	CAS	arabidopsis_thaliana_root
CAS_pm20	arabidopsis_thaliana_root_pm1	21.6154163926208	CAS	arabidopsis_thaliana_root
CAS_pm21	arabidopsis_thaliana_root_pm1	15.6194344704253	CAS	arabidopsis_thaliana_root
CAS_pm22	arabidopsis_thaliana_root_pm1	21.2826773181131	CAS	arabidopsis_thaliana_root
CAS_pm23	arabidopsis_thaliana_root_pm1	15.5335896395313	CAS	arabidopsis_thaliana_root
CAS_pm24	arabidopsis_thaliana_root_pm1	11.3037601013642	CAS	arabidopsis_thaliana_root
CAS_pm25	arabidopsis_thaliana_root_pm1	19.1479420206101	CAS	arabidopsis_thaliana_root
CAS_pm26	arabidopsis_thaliana_root_pm1	16.0562775147747	CAS	arabidopsis_thaliana_root
CAS_pm27	arabidopsis_thaliana_root_pm1	13.6793462224475	CAS	arabidopsis_thaliana_root
CAS_pm28	arabidopsis_thaliana_root_pm1	18.0229264570694	CAS	arabidopsis_thaliana_root
CAS_pm29	arabidopsis_thaliana_root_pm1	17.7333358380825	CAS	arabidopsis_thaliana_root
CAS_pm30	arabidopsis_thaliana_root_pm1	39.6527620931103	CAS	arabidopsis_thaliana_root
CAS_pm31	arabidopsis_thaliana_root_pm1	8.57342630323306	CAS	arabidopsis_thaliana_root
CAS_pm32	arabidopsis_thaliana_root_pm1	15.6902822558833	CAS	arabidopsis_thaliana_root
CAS_pm33	arabidopsis_thaliana_root_pm1	19.2743842833421	CAS	arabidopsis_thaliana_root
CAS_pm1	arabidopsis_thaliana_root_pm2	19.9549763228303	CAS	arabidopsis_thaliana_root
CAS_pm2	arabidopsis_thaliana_root_pm2	24.5321744524546	CAS	arabidopsis_thaliana_root
