C1	C2	Distance	Group1	Group2
lotus_japonicus_rhizosphere_bs1	CAS_bs1	31.5312779041157	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs2	CAS_bs1	35.0453359754082	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs3	CAS_bs1	34.5830599474761	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs4	CAS_bs1	29.9099110894904	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs5	CAS_bs1	27.5883130064215	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs6	CAS_bs1	42.815218334236	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs7	CAS_bs1	27.7309153674609	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs8	CAS_bs1	40.2664803972088	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs9	CAS_bs1	28.7983229122401	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs10	CAS_bs1	41.6115597083212	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs11	CAS_bs1	35.9571153824188	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs12	CAS_bs1	31.2199328630664	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs13	CAS_bs1	33.485477596725	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs14	CAS_bs1	35.9707054891232	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs15	CAS_bs1	31.8935783974168	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs16	CAS_bs1	33.0342685839038	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs17	CAS_bs1	33.5648864683065	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs18	CAS_bs1	28.8253501934531	lotus_japonicus_rhizosphere	CAS
lotus_japonicus_rhizosphere_bs19	CAS_bs1	33.8689589314005	lotus_japonicus_rhizosphere	CAS
