C1	C2	Distance	Group1	Group2
lotus_japonicus_rhizosphere_bs1	chlamydomonas_reinhardtii_phycosphere_bs1	67.0640378952269	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs2	chlamydomonas_reinhardtii_phycosphere_bs1	56.7047065412279	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs3	chlamydomonas_reinhardtii_phycosphere_bs1	63.8167968692107	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs4	chlamydomonas_reinhardtii_phycosphere_bs1	71.2353683403107	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs5	chlamydomonas_reinhardtii_phycosphere_bs1	28.6375866842847	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs6	chlamydomonas_reinhardtii_phycosphere_bs1	74.8155875239812	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs7	chlamydomonas_reinhardtii_phycosphere_bs1	68.3488288897174	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs8	chlamydomonas_reinhardtii_phycosphere_bs1	73.2431261758199	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs9	chlamydomonas_reinhardtii_phycosphere_bs1	57.1657395915238	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs10	chlamydomonas_reinhardtii_phycosphere_bs1	61.8679032151301	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs11	chlamydomonas_reinhardtii_phycosphere_bs1	47.5965352235864	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs12	chlamydomonas_reinhardtii_phycosphere_bs1	63.4832698384679	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs13	chlamydomonas_reinhardtii_phycosphere_bs1	61.540265235173	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs14	chlamydomonas_reinhardtii_phycosphere_bs1	71.7954971597739	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs15	chlamydomonas_reinhardtii_phycosphere_bs1	53.2138511008305	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs16	chlamydomonas_reinhardtii_phycosphere_bs1	41.5016713458312	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs17	chlamydomonas_reinhardtii_phycosphere_bs1	77.5583374720866	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs18	chlamydomonas_reinhardtii_phycosphere_bs1	54.1152617550664	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs19	chlamydomonas_reinhardtii_phycosphere_bs1	72.8947515385199	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs20	chlamydomonas_reinhardtii_phycosphere_bs1	80.6827778827773	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs21	chlamydomonas_reinhardtii_phycosphere_bs1	63.6148137533492	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs22	chlamydomonas_reinhardtii_phycosphere_bs1	67.8185139329892	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs23	chlamydomonas_reinhardtii_phycosphere_bs1	66.9880598527636	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs24	chlamydomonas_reinhardtii_phycosphere_bs1	62.2913191335775	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs25	chlamydomonas_reinhardtii_phycosphere_bs1	77.006607831407	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs26	chlamydomonas_reinhardtii_phycosphere_bs1	57.8983871874525	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs27	chlamydomonas_reinhardtii_phycosphere_bs1	38.7087114201023	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs28	chlamydomonas_reinhardtii_phycosphere_bs1	57.5649899845957	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs29	chlamydomonas_reinhardtii_phycosphere_bs1	67.0655460548777	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs30	chlamydomonas_reinhardtii_phycosphere_bs1	73.2460658362141	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs31	chlamydomonas_reinhardtii_phycosphere_bs1	65.7054442533901	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs32	chlamydomonas_reinhardtii_phycosphere_bs1	55.2058990251995	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs33	chlamydomonas_reinhardtii_phycosphere_bs1	46.6900453601044	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs1	chlamydomonas_reinhardtii_phycosphere_bs2	50.7818295169291	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_rhizosphere_bs2	chlamydomonas_reinhardtii_phycosphere_bs2	40.5349179844281	lotus_japonicus_rhizosphere	chlamydomonas_reinhardtii_phycosphere
