C1	C2	Distance	Group1	Group2
CAS_pm1	arabidopsis_thaliana_rhizoplane_pm1	16.6755284740331	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm2	arabidopsis_thaliana_rhizoplane_pm1	13.9804512690363	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm3	arabidopsis_thaliana_rhizoplane_pm1	29.0077129582958	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm4	arabidopsis_thaliana_rhizoplane_pm1	17.4382208942835	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm5	arabidopsis_thaliana_rhizoplane_pm1	13.0286692028597	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm6	arabidopsis_thaliana_rhizoplane_pm1	29.670817484057	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm7	arabidopsis_thaliana_rhizoplane_pm1	23.7033998960705	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm8	arabidopsis_thaliana_rhizoplane_pm1	13.2365996688656	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm9	arabidopsis_thaliana_rhizoplane_pm1	14.6333446812783	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm10	arabidopsis_thaliana_rhizoplane_pm1	21.1922808749973	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm11	arabidopsis_thaliana_rhizoplane_pm1	37.1895865728921	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm12	arabidopsis_thaliana_rhizoplane_pm1	12.0022982024317	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm13	arabidopsis_thaliana_rhizoplane_pm1	11.7886241678852	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm14	arabidopsis_thaliana_rhizoplane_pm1	16.7951513502456	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm15	arabidopsis_thaliana_rhizoplane_pm1	27.7192619167462	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm16	arabidopsis_thaliana_rhizoplane_pm1	19.9445874412119	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm17	arabidopsis_thaliana_rhizoplane_pm1	18.951926607832	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm18	arabidopsis_thaliana_rhizoplane_pm1	9.34689571690325	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm19	arabidopsis_thaliana_rhizoplane_pm1	31.2546474340185	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm20	arabidopsis_thaliana_rhizoplane_pm1	27.9905904492603	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm21	arabidopsis_thaliana_rhizoplane_pm1	24.5654078853989	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm22	arabidopsis_thaliana_rhizoplane_pm1	25.9758931943588	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm23	arabidopsis_thaliana_rhizoplane_pm1	11.7925085419857	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm24	arabidopsis_thaliana_rhizoplane_pm1	29.6406581682634	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm25	arabidopsis_thaliana_rhizoplane_pm1	16.1681699199343	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm26	arabidopsis_thaliana_rhizoplane_pm1	17.055794610192	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm27	arabidopsis_thaliana_rhizoplane_pm1	27.3221567973531	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm28	arabidopsis_thaliana_rhizoplane_pm1	16.2854610374443	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm29	arabidopsis_thaliana_rhizoplane_pm1	24.6179958585103	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm30	arabidopsis_thaliana_rhizoplane_pm1	29.6824709784741	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm31	arabidopsis_thaliana_rhizoplane_pm1	22.3395078093508	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm32	arabidopsis_thaliana_rhizoplane_pm1	19.0689378958466	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm33	arabidopsis_thaliana_rhizoplane_pm1	17.5030954118632	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm1	arabidopsis_thaliana_rhizoplane_pm2	15.9268489891798	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm2	arabidopsis_thaliana_rhizoplane_pm2	17.1954426914677	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm3	arabidopsis_thaliana_rhizoplane_pm2	28.9217466178289	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm4	arabidopsis_thaliana_rhizoplane_pm2	17.1728336593139	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm5	arabidopsis_thaliana_rhizoplane_pm2	14.7824970448089	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm6	arabidopsis_thaliana_rhizoplane_pm2	24.2755886588587	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm7	arabidopsis_thaliana_rhizoplane_pm2	22.4013700854501	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm8	arabidopsis_thaliana_rhizoplane_pm2	14.0108512329339	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm9	arabidopsis_thaliana_rhizoplane_pm2	14.151252798875	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm10	arabidopsis_thaliana_rhizoplane_pm2	18.8188708026154	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm11	arabidopsis_thaliana_rhizoplane_pm2	33.728736849152	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm12	arabidopsis_thaliana_rhizoplane_pm2	12.2354374667026	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm13	arabidopsis_thaliana_rhizoplane_pm2	13.4308994570202	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm14	arabidopsis_thaliana_rhizoplane_pm2	14.0508948772812	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm15	arabidopsis_thaliana_rhizoplane_pm2	25.132721838118	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm16	arabidopsis_thaliana_rhizoplane_pm2	15.5144995918213	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm17	arabidopsis_thaliana_rhizoplane_pm2	14.5885360894544	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm18	arabidopsis_thaliana_rhizoplane_pm2	10.9623388715854	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm19	arabidopsis_thaliana_rhizoplane_pm2	26.7369163255038	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm20	arabidopsis_thaliana_rhizoplane_pm2	25.6130662628045	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm21	arabidopsis_thaliana_rhizoplane_pm2	20.8939261950595	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm22	arabidopsis_thaliana_rhizoplane_pm2	25.8973299911624	CAS	arabidopsis_thaliana_rhizoplane
CAS_pm23	arabidopsis_thaliana_rhizoplane_pm2	15.0469739320332	CAS	arabidopsis_thaliana_rhizoplane
