C1	C2	Distance	Group1	Group2
lotus_japonicus_root_pm1	chlamydomonas_reinhardtii_phycosphere_pm1	18.3024083339644	lotus_japonicus_root	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_root_pm2	chlamydomonas_reinhardtii_phycosphere_pm1	24.8279402902835	lotus_japonicus_root	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_root_pm3	chlamydomonas_reinhardtii_phycosphere_pm1	27.6092976203003	lotus_japonicus_root	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_root_pm4	chlamydomonas_reinhardtii_phycosphere_pm1	23.2336686045541	lotus_japonicus_root	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_root_pm5	chlamydomonas_reinhardtii_phycosphere_pm1	7.29855540171672	lotus_japonicus_root	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_root_pm6	chlamydomonas_reinhardtii_phycosphere_pm1	9.63765107267104	lotus_japonicus_root	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_root_pm7	chlamydomonas_reinhardtii_phycosphere_pm1	11.4739225144467	lotus_japonicus_root	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_root_pm8	chlamydomonas_reinhardtii_phycosphere_pm1	19.2389325229786	lotus_japonicus_root	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_root_pm9	chlamydomonas_reinhardtii_phycosphere_pm1	16.6426383839678	lotus_japonicus_root	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_root_pm10	chlamydomonas_reinhardtii_phycosphere_pm1	12.8186626253951	lotus_japonicus_root	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_root_pm11	chlamydomonas_reinhardtii_phycosphere_pm1	8.56279980897894	lotus_japonicus_root	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_root_pm12	chlamydomonas_reinhardtii_phycosphere_pm1	9.33167395446837	lotus_japonicus_root	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_root_pm13	chlamydomonas_reinhardtii_phycosphere_pm1	14.745879473359	lotus_japonicus_root	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_root_pm14	chlamydomonas_reinhardtii_phycosphere_pm1	8.35202363477096	lotus_japonicus_root	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_root_pm15	chlamydomonas_reinhardtii_phycosphere_pm1	26.1180360344556	lotus_japonicus_root	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_root_pm16	chlamydomonas_reinhardtii_phycosphere_pm1	21.5673817394337	lotus_japonicus_root	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_root_pm17	chlamydomonas_reinhardtii_phycosphere_pm1	9.42728490419436	lotus_japonicus_root	chlamydomonas_reinhardtii_phycosphere
lotus_japonicus_root_pm18	chlamydomonas_reinhardtii_phycosphere_pm1	15.6639203924244	lotus_japonicus_root	chlamydomonas_reinhardtii_phycosphere
