Cluster	Decrease	Comparison	Color
Cluster_1	-3.64875494160567	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_10	0.0417446899253093	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_100	-3.84744525179573	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_101	-1.39617494913306	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_102	-4.11047737254131	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_103	-4.16376929069872	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_104	-3.91150104227268	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_105	-2.77234700667962	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_106	-5.27112604895481	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_107	-7.22172829920743	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_108	-3.26719045828465	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_109	-4.66778423438736	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_11	-3.31955997362057	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_110	-6.78114043624751	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_111	-4.15642038923458	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_112	-2.29724589640128	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_113	-6.31957995228616	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_114	-3.10386591361456	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_115	0.318016488725547	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_116	-5.10809212415488	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_117	-6.2614571136167	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_118	-4.93131224681635	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_119	-8.80766334327114	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_12	-2.08097588765496	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_120	-3.90735172715459	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_121	-4.83400607015164	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_122	-1.66607198438061	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_123	-0.376756134042722	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_124	-4.862835665058	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_125	-6.42280396366441	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_126	-1.2699628626897	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_127	-6.59266923206407	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_128	1.31571849118762	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_129	-0.244017481487106	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_13	-3.3974538341252	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_130	-3.79586897636163	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_131	-1.46637289538467	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_132	-2.80366014817147	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_133	-2.36722204084097	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_134	-5.34917135840951	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_14	0.355205537625125	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_15	-2.24572857674715	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_16	-1.65133279779566	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_17	-2.56790619884899	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_18	-5.61644100878321	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_19	-0.300854785004987	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_2	-1.67212782957726	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_20	2.53708268097714	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_21	-1.73713116324761	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_22	-8.26297332036448	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_23	-6.17817477216391	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_24	4.02759242327656	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_25	4.82158845480195	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_26	0.534317967685908	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_27	-6.27334052436436	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_28	1.14633711244589	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_29	-8.49112226291683	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_3	-7.38283126865477	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_30	-5.70788942691784	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_31	-4.28557049524993	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_32	-3.33482026031018	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_33	-1.67632400006002	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_34	-1.24547714774511	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_35	-1.19238529178706	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_36	-1.94535065535024	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_37	-8.91147361438334	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_38	-6.86915155712198	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_39	-5.02508313637155	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_4	-2.25129917694638	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_40	-0.0186891602582904	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_41	-2.15095830205715	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_42	-2.54540740330296	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_43	-3.27935568463691	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_44	-2.29554761016723	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Cluster_45	-0.680083676456519	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
