Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
67-14	34.0511529266583	0.447297545707053	1.0261115644306e-05	0.000430966857060852	2.82947765673326e-05	0.00118838061582797
A21b	39.0046194612058	0.300923669516208	1.54117312936039e-58	1.2021150409011e-56	4.60733949514022e-56	3.59372480620937e-54
A4b	32.7235051107893	0.497783159432071	0.428908681668277	1	0.192267270942696	1
Acidobacteriaceae_(Subgroup_1)	34.7808448500147	0.416081327439747	5.93189567239858e-12	3.02526679292328e-10	8.74125887703997e-10	4.19580426097919e-08
Acidobacteriae_fa	36.0781289757322	0.387577766497291	5.16748302438867e-20	3.1004898146332e-18	1.10310140584235e-18	6.50829829446986e-17
Acidothermaceae	32.0796860627455	0.501485763819206	0.547786756158211	1	0.732045607849122	1
AKYH767	29.3218576956675	0.587438296953763	0.999999999999204	1	0.999999999999788	1
Alcaligenaceae	34.9170145261952	0.431143026269856	1.31336346061626e-08	5.91013557277317e-07	4.99535260925882e-09	2.29786220025906e-07
Alicyclobacillaceae	30.9294063104978	0.536378446474557	0.998358475198898	1	0.99959007056151	1
All_BS	129.503321692277	8.43225777074715e-07	0	0	0	0
All_PM	32.3347447124064	0.499541285177271	0.500013592969285	1	0.5	1
B1-7BS	36.8990034903186	0.371996640588504	2.21495249972768e-25	1.39542007482844e-23	3.23317789324983e-25	2.03690207274739e-23
Bacillaceae	58.1851923319994	0.0335384620573697	0	0	0	0
Bacteriovoracaceae	33.0713781440453	0.476466411787622	0.0285947701311107	1	0.0446466159405425	1
Bdellovibrionaceae	37.4308487730268	0.342122837758301	1.392426936463e-37	9.8862312488873e-36	5.47711951901265e-36	3.88875485849898e-34
Beijerinckiaceae	41.5775196448178	0.233895652496539	6.96859691225709e-103	5.92330737541853e-101	1.04720199443493e-107	8.90121695269691e-106
BIrii41	33.981292927287	0.457650671797977	0.000310300546431314	0.0124120218572526	9.45631515706673e-05	0.00387708921439736
Bryobacteraceae	49.0477734126388	0.121386566738791	6.60213843555956e-206	6.40407428249277e-204	1.32569441635288e-248	1.28592358386229e-246
Burkholderiaceae	32.3747194231508	0.496015758203322	0.373731944584238	1	0.462243554733433	1
Catenulisporaceae	33.9789470735469	0.456497982160715	0.000219379405201244	0.008994555613251	0.000130142491415974	0.00520569965663896
Caulobacteraceae	50.1670321402485	0.0982054469012296	1.37344270095688e-231	1.35970827394731e-229	3.20735511027468e-290	3.17528155917193e-288
Cellulomonadaceae	32.0217823793569	0.498015889746543	0.436304564180999	1	0.782684954170727	1
Cellvibrionaceae	35.0273150326863	0.424602123917087	5.53187441270638e-10	2.65529971809906e-08	3.61067409352791e-10	1.76923030582868e-08
Chitinophagaceae	43.639007060501	0.201278836213512	4.63504742132417e-129	4.07884173076527e-127	5.78252780697021e-141	5.08862447013378e-139
Chloroflexaceae	46.850986533257	0.152271397275706	4.68565867686587e-174	4.40451915625392e-172	2.24485237780741e-201	2.11016123513897e-199
Clostridiaceae	36.8700606924351	0.361618217724269	2.46181505506785e-29	1.64941608689546e-27	9.87966290976183e-28	6.42178089134519e-26
Comamonadaceae	115.84088332699	8.43225777074715e-07	0	0	0	0
Crocinitomicaceae	37.2704668396712	0.355384249554355	7.42046825039046e-32	5.12012309276942e-30	1.47323701549307e-30	1.00180117053529e-28
Cytophagaceae	32.0289212551629	0.501327237373116	0.542708745790445	1	0.771499267182862	1
Deinococcaceae	35.5893511652698	0.400296140892909	3.89240265958191e-16	2.17974548936587e-14	3.082199641841e-15	1.69520980301255e-13
Devosiaceae	28.4589450966505	0.610763608399203	1	1	1	1
Dongiaceae	36.7580986139723	0.365124350505345	5.76715000920346e-28	3.69097600589021e-26	1.20299046552727e-25	7.69913897937453e-24
Enterobacteriaceae	32.2350458793844	0.495175062103578	0.348295704415796	1	0.597033533354192	1
