Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
67-14	30.2664507843759	0.615609626940052	1	1	1	1
A21b	28.6328832568605	0.668021168339908	1	1	1	1
A4b	32.3539599043774	0.561417192699014	0.999999653670576	1	0.9999996654137	1
Acidobacteriaceae_(Subgroup_1)	32.9117553458034	0.538989073480381	0.99918612961638	1	0.999886735363948	1
Acidobacteriae_fa	30.7178315773835	0.605226987946931	1	1	1	1
Acidothermaceae	31.7120179726904	0.580807169442847	0.999999999967204	1	0.999999999831358	1
AKYH767	30.9955341610379	0.595846101176975	0.999999999999995	1	1	1
Alcaligenaceae	31.0474872286312	0.594929514757294	0.999999999999992	1	1	1
Alicyclobacillaceae	33.6986779110387	0.522913817266228	0.967970772044391	1	0.960954430661512	1
All_BS	46.0136482151245	0.245269081777722	1.83208992228593e-94	2.05194071296024e-92	1.86969958013017e-94	2.09406352974579e-92
All_PM	34.4706399813237	0.499541285177271	0.500013592969285	1	0.5	1
B1-7BS	34.5775924520935	0.497896994911976	0.432523281608023	1	0.405768868735895	1
Bacillaceae	32.1813894882611	0.560451699184263	0.999999483864453	1	0.999999988576594	1
Bacteriovoracaceae	31.9372464108597	0.569133551785025	0.999999988449101	1	0.999999998954255	1
Bdellovibrionaceae	28.9899746031168	0.658551742863359	1	1	1	1
Beijerinckiaceae	33.4775275320733	0.526481505529031	0.983826429779032	1	0.990578723641173	1
BIrii41	32.8096539894259	0.538218365120134	0.998994506647531	1	0.999971496459303	1
Bryobacteraceae	30.7767277222026	0.601807707420893	1	1	1	1
Burkholderiaceae	31.8979998623921	0.567989294405534	0.999999980412719	1	0.999999999366346	1
Catenulisporaceae	29.7694201970379	0.636006415261712	1	1	1	1
Caulobacteraceae	32.0867565840808	0.558858002465592	0.999999015550489	1	0.999999998810799	1
Cellulomonadaceae	33.7638989034725	0.529800442187597	0.99198678678625	1	0.940127016386527	1
Cellvibrionaceae	35.1964594225635	0.484235050871811	0.101324742877827	1	0.0550485076336625	1
Chitinophagaceae	31.0667647028596	0.58532601638219	0.999999999997318	1	1	1
Chloroflexaceae	32.113291513946	0.563661859717587	0.999999866106129	1	0.999999998853663	1
Clostridiaceae	30.8480349230389	0.602397122239068	1	1	1	1
Comamonadaceae	48.2609678316511	0.167004238052756	8.17652788868307e-160	9.3212417930987e-158	1.74958626362379e-159	1.99452834053112e-157
Crocinitomicaceae	31.4064924915882	0.581373817165041	0.999999999975869	1	0.999999999999977	1
Cytophagaceae	33.4245773018363	0.528085320957028	0.988387292697804	1	0.99181133192586	1
Deinococcaceae	32.0637124779003	0.56521761127629	0.999999931988637	1	0.999999992067062	1
Devosiaceae	30.6495051949436	0.605726177606959	1	1	1	1
Dongiaceae	30.1604387163044	0.618465632647004	1	1	1	1
Enterobacteriaceae	31.0205986729268	0.59659404244124	0.999999999999997	1	1	1
Entotheonellaceae	33.8872337534667	0.518458212260166	0.932110374756205	1	0.905310445257477	1
env.OPS_17	30.3326257348762	0.615871870156722	1	1	1	1
Erwiniaceae	33.2155660265357	0.538319552213383	0.999021832637032	1	0.997463619946855	1
Fibrobacteraceae	43.0286904750848	0.265000564961271	1.00442603476185e-80	1.11491289858565e-78	5.2601519292919e-85	5.83876864151401e-83
Flavobacteriaceae	47.9367929054406	0.157182344201389	3.06445759166216e-169	3.55477080632811e-167	1.1190977396366e-198	1.29815337797846e-196
Frankiaceae	32.3501253079988	0.570546798187402	0.999999994052241	1	0.999998083287633	1
Gaiellaceae	37.2034999967296	0.406610215511644	2.22245965862061e-14	2.35580723813785e-12	7.18056259063094e-12	7.6113963460688e-10
Geminicoccaceae	33.8951832934848	0.526818795839861	0.98489600252053	1	0.895852592641519	1
Gemmatimonadaceae	49.962323820029	0.131425169614865	2.94302785063703e-195	3.44334258524533e-193	9.6176250409852e-239	1.12526212979527e-236
Geobacteraceae	31.6280764911389	0.581251549427365	0.999999999974213	1	0.999999999980383	1
Geodermatophilaceae	32.0838880851955	0.562843087488047	0.999999809930836	1	0.999999994674492	1
Glycomycetaceae	31.9651760827043	0.573515796148482	0.9999999985849	1	0.999999997035847	1
Gracilibacteraceae	33.055898943212	0.542124186919544	0.99966827322176	1	0.999375653371532	1
Haliangiaceae	30.9282962673243	0.595800566985012	0.999999999999995	1	1	1
Herpetosiphonaceae	30.6891197503786	0.607286145294547	1	1	1	1
Hymenobacteraceae	32.3425174633103	0.562775629425881	0.999999804401655	1	0.999999572920969	1
Hyphomicrobiaceae	30.6412293319742	0.605954691792546	1	1	1	1
Hyphomonadaceae	34.7754962082516	0.491095535794091	0.235882139608955	1	0.241128939670765	1
Iamiaceae	28.4265767068517	0.675021628741182	1	1	1	1
Ilumatobacteraceae	31.9517729261039	0.566565929293832	0.99999996265438	1	0.999999999561716	1
Intrasporangiaceae	31.5235810660895	0.586479549245229	0.999999999998614	1	0.999999999998527	1
KF-JG30-B3	30.6396894577186	0.603093626730932	1	1	1	1
Kineosporiaceae	31.0945364418434	0.595729736019738	0.999999999999995	1	1	1
Latescibacteraceae	31.5874926080885	0.57640468766074	0.999999999668387	1	0.99999999999905	1
Leptospiraceae	31.7511534074377	0.576223394118669	0.999999999636204	1	0.999999999784999	1
Methyloligellaceae	33.2986892246066	0.518864647084715	0.936313114149816	1	0.998696048941359	1
Methylophilaceae	40.7754230632397	0.303209654597857	2.9937421802806e-57	3.23324155470305e-55	2.96101285556292e-55	3.19789388400795e-53
Microbacteriaceae	30.5224247585166	0.614655095360403	1	1	1	1
Micrococcaceae	31.1002896867345	0.591714294869308	0.999999999999938	1	1	1
Micromonosporaceae	34.071059221675	0.501181359313682	0.538029707296049	1	0.833734522248048	1
Micropepsaceae	33.4165161492086	0.533920443334385	0.99693988805051	1	0.991568553766172	1
Microscillaceae	33.2249438358561	0.517511269712511	0.921490325887833	1	0.999561167669658	1
Microtrichaceae	29.2733913199717	0.651945068899978	1	1	1	1
Mitochondria	30.8554191291634	0.599316818475414	0.999999999999999	1	1	1
Moraxellaceae	31.2329109182292	0.588083364673225	0.999999999999454	1	0.999999999999999	1
Mycobacteriaceae	31.0473544423472	0.590747114903004	0.999999999999888	1	1	1
Myxococcaceae	31.686807865222	0.572863139397026	0.999999998050371	1	0.999999999996736	1
Nakamurellaceae	32.6604485102807	0.550866751776255	0.999980283780833	1	0.999991783489442	1
Nannocystaceae	29.5032309049474	0.640790035095057	1	1	1	1
Nitrosomonadaceae	45.0038649950546	0.22737498756242	7.09167167311041e-108	8.01358899061476e-106	1.4040895538478e-117	1.58662119584801e-115
Nitrososphaeraceae	32.0686104935789	0.558906066334885	0.999999034310037	1	0.999999999073644	1
Nitrospiraceae	36.9489699769857	0.413253991409216	1.18860607153313e-12	1.24803637510979e-10	5.56102652364234e-10	5.83907784982446e-08
Nocardiaceae	30.7245527657984	0.602450245463024	1	1	1	1
Nocardioidaceae	41.7361133451623	0.276091513607134	1.74179243316736e-73	1.9159716764841e-71	2.23449919487373e-73	2.4579491143611e-71
NS9_marine_group	28.9580233574582	0.657536499027761	1	1	1	1
Oligoflexales_fa	31.2709274670661	0.592942874826506	0.999999999999971	1	0.999999999999932	1
Oxalobacteraceae	53.0651011461829	0.0919638896993226	9.17766777619741e-239	1.09214246536749e-236	5.02278287524717e-311	5.97711162154413e-309
Paenibacillaceae	31.9752789245014	0.569572872414881	0.999999990589832	1	0.999999997214494	1
Pedosphaeraceae	48.9815980026583	0.157420977096301	5.23132928401605e-169	6.01602867661846e-167	8.5511771835427e-194	9.8338537610741e-192
Peptostreptococcaceae	30.3823544320966	0.610642183887305	1	1	1	1
Phaselicystidaceae	32.7070948889972	0.54307956172497	0.999750656769469	1	0.999987405514766	1
Phycisphaeraceae	29.4208965737783	0.643397289197772	1	1	1	1
Planococcaceae	30.5808275225155	0.60604576017647	1	1	1	1
Polyangiaceae	30.3701714457479	0.619253205522792	1	1	1	1
Promicromonosporaceae	29.3818664281806	0.642657780191277	1	1	1	1
Propionibacteriaceae	28.8673604037434	0.658296245452905	1	1	1	1
Pseudohongiellaceae	33.1325558177967	0.537239379992951	0.998691560295615	1	0.999288534887507	1
Pseudomonadaceae	32.3231409094801	0.551978966576217	0.999986693306112	1	0.999999940986824	1
Pseudonocardiaceae	29.6981339970993	0.6339691817843	1	1	1	1
Reyranellaceae	32.2403823910964	0.564187189376704	0.999999893298738	1	0.999999916790857	1
Rhizobiaceae	32.9817343181495	0.53167914921892	0.994768504091653	1	0.999931561137308	1
Rhizobiales_Incertae_Sedis	30.7813399123097	0.607186644652852	1	1	1	1
Rhodanobacteraceae	28.6738148708054	0.666666104516149	1	1	1	1
Rhodobacteraceae	31.4525855464459	0.582581316477812	0.999999999987535	1	0.999999999999866	1
Rhodocyclaceae	31.3575568212096	0.586829487942715	0.999999999998867	1	0.999999999999904	1
Roseiflexaceae	54.6646509774241	0.0778820192221748	2.33987713239814e-255	2.83125133020175e-253	0	0
Rubrobacteriaceae	32.0732972206767	0.56418550292515	0.999999893220649	1	0.999999993488528	1
Saccharimonadaceae	31.6023698130325	0.585901939587932	0.999999999998069	1	0.999999999994986	1
Salisediminibacteriaceae	30.3043606130634	0.616197355306673	1	1	1	1
Sandaracinaceae	32.4109438073162	0.559981179200656	0.999999374422917	1	0.999998591993893	1
Saprospiraceae	33.3753938929219	0.542790335283433	0.999727987388651	1	0.99123320023187	1
SC-I-84	38.6545571565206	0.356403709518838	1.95053541992458e-31	2.0870728993193e-29	4.65975571197851e-27	4.98593861181701e-25
Solibacteraceae	29.4769266861342	0.643875398213373	1	1	1	1
Solimonadaceae	29.8301121313411	0.629912422570793	1	1	1	1
Solirubrobacteraceae	30.0790421432303	0.630183941271011	1	1	1	1
Sphingomonadaceae	53.7757023183556	0.0808501739574778	8.19397310259625e-252	9.8327677231155e-250	0	0
Sporichthyaceae	31.9698190076555	0.571725627823752	0.99999999661401	1	0.999999997840244	1
Staphylococcaceae	31.8313390309397	0.57826400049919	0.999999999873285	1	0.999999999280766	1
Steroidobacteraceae	29.1264697091782	0.648465919343768	1	1	1	1
Streptomycetaceae	30.6120032771161	0.606199227267898	1	1	1	1
Streptosporangiaceae	34.5217061853885	0.500368489664582	0.511878495710792	1	0.454312401052726	1
Sutterellaceae	30.6302595407397	0.610836125816032	1	1	1	1
Thermoanaerobaculaceae	31.6367848571906	0.576283263148841	0.999999999647155	1	0.999999999992066	1
Thermomonosporaceae	32.2623585834667	0.556321579328151	0.999997338157127	1	0.999999900675781	1
TRA3-20	29.9068391685702	0.630462205777446	1	1	1	1
Unknown_Family	31.9450007197571	0.56783498408833	0.999999978980216	1	0.999999999728655	1
Xanthobacteraceae	41.3878908379672	0.285620808113856	1.52385747254615e-67	1.6610046450753e-65	1.41486204286697e-66	1.542199626725e-64
Xanthomonadaceae	51.2825722649659	0.106240545330975	1.6298541274769e-222	1.92322787042274e-220	2.76372227107954e-281	3.26119227987386e-279
