Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
67-14	39.1202920181232	0.534014884621417	0.997010236874942	1	0.999997506234614	1
A21b	42.9019477549079	0.447510038602876	1.10788392416238e-05	0.000997095531746142	0.00285688384713741	0.257119546242367
A4b	41.938212484461	0.47484994797297	0.021051866185134	1	0.180710299199119	1
Acidobacteriaceae_(Subgroup_1)	34.3920357977728	0.650727450877882	1	1	1	1
Acidobacteriae_fa	37.6156360334494	0.575973799288655	0.999999999586868	1	0.999999999999313	1
Acidothermaceae	36.5030314480884	0.614490666333874	1	1	1	1
AKYH767	36.5573939203807	0.601768919035147	1	1	1	1
Alcaligenaceae	37.6382904444109	0.574057147097364	0.999999998917416	1	0.99999999999932	1
Alicyclobacillaceae	37.8546658575819	0.571903548462715	0.999999996892405	1	0.999999999936626	1
All_BS	87.165250901772	0.0102983164154135	0	0	0	0
All_PM	41.4361625506942	0.499541285177271	0.500013592969285	1	0.5	1
B1-7BS	40.1372507945252	0.521580677312673	0.959423551514907	1	0.98994749474605	1
Bacillaceae	45.9190855587017	0.364099831186199	2.31366203089947e-28	2.35993527151746e-26	3.80448574417366e-19	3.88057545905713e-17
Bacteriovoracaceae	38.9267750000762	0.547229075773955	0.999932403880695	1	0.99999681799015	1
Bdellovibrionaceae	40.2565277248623	0.518902592244684	0.936694919968262	1	0.982796175901325	1
Beijerinckiaceae	42.6923336468808	0.448617194048175	1.64442169825429e-05	0.00144709109446378	0.00974773805869373	0.848053211106354
BIrii41	36.2310216982752	0.618367818456863	1	1	1	1
Bryobacteraceae	43.315713477391	0.433363239740894	3.61763542571519e-08	3.40057730017228e-06	0.000217066833972007	0.0201872155593967
Burkholderiaceae	40.6797234820951	0.498773106494356	0.460509187638046	1	0.924531854115402	1
Catenulisporaceae	36.4858368944842	0.603585227358966	1	1	1	1
Caulobacteraceae	42.6638029965195	0.44043790401055	7.41578872028705e-07	6.74836773546122e-05	0.00821195189462024	0.730863718621201
Cellulomonadaceae	37.9772446043685	0.571428812350222	0.999999996094723	1	0.999999999503298	1
Cellvibrionaceae	43.0958637284561	0.459104393037653	0.000474940693123082	0.0413198403017081	0.00231473145314708	0.210640562236384
Chitinophagaceae	41.34515176078	0.48646369660062	0.136992397447551	1	0.56491390636076	1
Chloroflexaceae	42.7071724523969	0.448271471479575	1.45482740664149e-05	0.00129479639191093	0.00828805929091988	0.730863718621201
Clostridiaceae	40.2696871328272	0.531868031792985	0.994993857987868	1	0.973148026490259	1
Comamonadaceae	86.3573481169552	0.0140464549945106	0	0	0	0
Crocinitomicaceae	38.5241779344317	0.552505982686888	0.999988984915202	1	0.999999951936756	1
Cytophagaceae	36.9468853995943	0.594745691537892	0.99999999999999	1	1	1
Deinococcaceae	38.9177689965061	0.547417115122242	0.999936446859564	1	0.999997737182128	1
Devosiaceae	34.3726425493756	0.653365061108572	1	1	1	1
