Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
67-14	43.9787478056761	0.189581608233931	3.50322330804903e-139	2.69748194719775e-137	3.528362045092e-156	2.75212239517176e-154
A21b	45.1135722744749	0.153551414005306	8.56079423675402e-173	6.76302744703568e-171	5.46835115918915e-202	4.31999741575943e-200
A4b	33.0782626175783	0.469873229436675	0.00745237307867417	0.134142715416135	0.036537169533692	0.657669051606456
Acidobacteriaceae_(Subgroup_1)	35.1597826388997	0.410267285706817	2.05755159789417e-13	6.78992027305076e-12	2.3049543936483e-12	6.9148631809449e-11
Acidobacteriae_fa	38.6623406217591	0.308442713770383	2.34390560991171e-54	1.38290430984791e-52	1.75932034532524e-53	1.03799900374189e-51
Acidothermaceae	30.2190270805368	0.560202947580026	0.999999428531081	1	0.999999982066106	1
AKYH767	35.7690037096195	0.402511295009284	1.65642819868175e-15	5.63185587551795e-14	8.25183004628323e-16	2.8056222157363e-14
Alcaligenaceae	37.0446248925625	0.352637863198423	5.31067040553107e-33	2.23048157032305e-31	5.5411247743713e-31	2.32727240523595e-29
Alicyclobacillaceae	34.4583676766738	0.438716036973764	3.66059547345433e-07	9.15148868363583e-06	4.50201156646907e-07	1.12550289161727e-05
All_BS	144.803241608973	8.43225777074715e-07	0	0	0	0
All_PM	32.3581968194558	0.499541285177271	0.500013592969285	1	0.5	1
B1-7BS	37.079799241352	0.351873900644393	2.5280686058798e-33	1.08706950052831e-31	9.19747103288727e-32	4.0468872544704e-30
Bacillaceae	68.4599948676284	0.00335097923809492	0	0	0	0
Bacteriovoracaceae	32.7358950758161	0.485560601793373	0.121622281100918	1	0.177660758468988	1
Bdellovibrionaceae	38.8758256627754	0.307326282841536	5.74220942025689e-55	3.44532565215413e-53	7.11138185979784e-55	4.2668291158787e-53
Beijerinckiaceae	47.6899703509624	0.120697651278921	1.19785021169249e-206	9.94215675704767e-205	1.37172079348979e-255	1.13852825859653e-253
BIrii41	35.0924664843421	0.417752600929909	1.49769665132179e-11	4.34332028883319e-10	3.57695346226984e-11	1.03731650405825e-09
Bryobacteraceae	56.1662544281492	0.0292363241427345	0	0	0	0
Burkholderiaceae	31.672739418125	0.510318553834063	0.797828687995685	1	0.960875099955978	1
Catenulisporaceae	38.6927481905743	0.30951866986193	9.02242788299379e-54	5.2330081721364e-52	1.07169162460155e-52	6.21581142268899e-51
Caulobacteraceae	61.7950349365957	0.0106533144675619	0	0	0	0
Cellulomonadaceae	31.5260045672019	0.524772286878901	0.977355720828913	1	0.977100506704687	1
Cellvibrionaceae	40.8179843388643	0.254124638888561	3.675280548614e-88	2.49919077305752e-86	1.65964239158406e-92	1.145153250193e-90
Chitinophagaceae	51.3326743689757	0.0692988240373313	9.53735670625851e-266	8.86974173682041e-264	0	0
Chloroflexaceae	51.0586668202328	0.0692676246835795	8.73536523440991e-266	8.21124332034532e-264	0	0
Clostridiaceae	37.8769528693135	0.319574980479323	1.855476982433e-48	9.6484803086516e-47	4.8488262405391e-46	2.52138964508033e-44
Comamonadaceae	132.401349155518	8.43225777074715e-07	0	0	0	0
Crocinitomicaceae	40.3506796393484	0.24637370754569	1.15133798111782e-93	8.05936586782474e-92	6.20896559502085e-95	4.34627591651459e-93
Cytophagaceae	33.2799876819506	0.460356583316609	0.000678203931200976	0.0135640786240195	0.00869382955986911	0.173876591197382
Deinococcaceae	39.0842184839348	0.291317641463772	4.09789870117708e-64	2.49971820771802e-62	2.43336729724943e-63	1.48435405132215e-61
Devosiaceae	32.218723131036	0.501090290929758	0.535105976577207	1	0.634012058977123	1
Dongiaceae	40.3459219839186	0.261578754757901	4.99190771233142e-83	3.34457816726205e-81	6.70642450923569e-85	4.49330442118791e-83
Enterobacteriaceae	33.982095752769	0.441760925254781	1.25958426716958e-06	3.02300224120699e-05	2.13913829204547e-05	0.000492001807170458
Entotheonellaceae	31.7928390837582	0.508739191953602	0.759985212218365	1	0.927109328168243	1
env.OPS_17	35.5012694262385	0.415024765541073	3.27264999735888e-12	9.81794999207664e-11	2.36398023528377e-13	7.56473675290806e-12
Erwiniaceae	38.4983373836022	0.314424557432951	3.82797756307194e-51	2.10538765968957e-49	6.10513866618252e-50	3.35782626640039e-48
Fibrobacteraceae	82.1565044933446	2.86696764205403e-05	0	0	0	0
Flavobacteriaceae	86.899293686406	6.74580621659772e-06	0	0	0	0
Frankiaceae	33.8716945059405	0.458724098212193	0.000425426524236512	0.00893395700896675	0.000181114403253705	0.00398451687158151
Gaiellaceae	71.9351226038697	0.000907310936132393	0	0	0	0
Geminicoccaceae	37.6165694691274	0.321263118485027	1.35634678553224e-47	6.91736860621442e-46	5.73927296684853e-44	2.92702921309275e-42
Gemmatimonadaceae	95.5055238714716	8.43225777074715e-07	0	0	0	0
Geobacteraceae	40.5622160401737	0.253527635038392	1.40406951104294e-88	9.68807962619628e-87	4.70719224366633e-91	3.2008907256931e-89
Geodermatophilaceae	39.4838073755401	0.286850231296831	8.52799392877016e-67	5.2873562358375e-65	9.66130104561086e-68	5.99000664827873e-66
Glycomycetaceae	37.6327916767916	0.331020083951558	9.28860837862529e-43	4.36564593795389e-41	3.22307976282221e-40	1.51484748852644e-38
Gracilibacteraceae	33.7475670730156	0.449524504984308	2.25992693466227e-05	0.000497183925625699	0.000288632098258415	0.00606127406342672
Haliangiaceae	56.9273388142078	0.0330510775582205	0	0	0	0
Herpetosiphonaceae	33.1084786606763	0.488931818450117	0.185534824580552	1	0.0456534404074301	0.776108486926312
Hymenobacteraceae	34.6203598349317	0.437496732500114	2.19542778679286e-07	5.70811224566144e-06	5.60336735852911e-08	1.45687551321757e-06
Hyphomicrobiaceae	39.8962227278644	0.26192785022961	8.60604979166585e-83	5.67999286249946e-81	2.79882746808669e-83	1.81923785425635e-81
Hyphomonadaceae	36.7517185260148	0.361993453195067	3.46336355455068e-29	1.31607815072926e-27	9.83699631728228e-28	3.73805860056727e-26
Iamiaceae	47.6759499660267	0.119035653272306	1.92546413126245e-208	1.61738987026046e-206	5.31283932071832e-259	4.46278502940339e-257
Ilumatobacteraceae	51.3396080405857	0.070243236907655	1.35781666481975e-264	1.24919133163417e-262	0	0
Intrasporangiaceae	38.317577713365	0.319431632097221	1.56576118046154e-48	8.29853425644616e-47	2.29075832415277e-47	1.21410191180097e-45
KF-JG30-B3	35.0008891057157	0.425484138079907	8.6150498988723e-10	2.32606347269552e-08	3.73552204372983e-10	1.04594617224435e-08
Kineosporiaceae	35.4736423058824	0.410456168280882	2.30280419761266e-13	7.36897343236051e-12	2.23513932957723e-13	7.37595978760486e-12
Latescibacteraceae	38.4990349317487	0.311528920114476	1.09712326485864e-52	6.25360260969425e-51	1.61943822059023e-51	9.23079785736431e-50
Leptospiraceae	32.4721794203306	0.483127052200735	0.0863496014182923	1	0.38291186167109	1
Methyloligellaceae	49.8975424402226	0.0969397650098404	4.91756042926256e-233	4.37662878204368e-231	1.06871951305419e-298	9.51160366618229e-297
Methylophilaceae	79.0441288344207	0.000151780639873449	0	0	0	0
Microbacteriaceae	38.3220425113345	0.318353989554119	4.35102403824914e-49	2.34955298065454e-47	2.15575076028604e-47	1.16410541055446e-45
Micrococcaceae	55.3626495662259	0.0318047898597041	0	0	0	0
Micromonosporaceae	48.8381404347656	0.106345948553109	2.13780885618927e-222	1.85989370488467e-220	3.18672888712046e-280	2.7724541317948e-278
Micropepsaceae	36.8945815425087	0.349475766534393	2.39989933689551e-34	1.05595570823402e-32	3.68571786683503e-31	1.58485868273906e-29
Microscillaceae	62.9427513552232	0.00891458291523389	0	0	0	0
Microtrichaceae	36.6758781763967	0.358753779759546	1.76422118587287e-30	7.05688474349148e-29	3.87424195040538e-28	1.5109543606581e-26
