Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
67-14	51.9671242407068	0.252391809916672	2.23629045956568e-89	1.6548549400786e-87	1.01271207863566e-84	7.49406938190388e-83
A21b	54.2452166954124	0.227829486256263	1.59450914759993e-107	1.22777204365195e-105	1.27002011376766e-106	9.77915487601098e-105
A4b	44.578825345775	0.426603941911863	1.50109077605942e-09	2.55185431930101e-08	2.06506982004486e-07	3.51061869407626e-06
Acidobacteriaceae_(Subgroup_1)	45.0986186465018	0.412033843709789	5.84617053196084e-13	1.28615751703138e-11	6.14470605735405e-10	1.35183533261789e-08
Acidobacteriae_fa	48.0787766443326	0.331770554893155	2.13186257312495e-42	1.17252441521872e-40	1.05657075481287e-34	5.7054820759895e-33
Acidothermaceae	46.4087584775451	0.406289789716356	1.82125778897333e-14	5.09952180912532e-13	8.45321685050095e-15	2.53596505515028e-13
AKYH767	46.4079210692845	0.377965835864416	3.03668069892979e-23	1.15393866559332e-21	2.12371222285748e-18	8.07010644685842e-17
Alcaligenaceae	44.885480348994	0.399907413809677	3.00905714068336e-16	9.02717142205008e-15	3.82399622785875e-10	8.79519132407512e-09
Alicyclobacillaceae	48.7829142669614	0.334399732866074	3.80426068091303e-41	2.05430076769304e-39	1.30742145204751e-36	7.1908179862613e-35
All_BS	130.048944235675	1.68645155414943e-06	0	0	0	0
All_PM	41.7769031674308	0.499541285177271	0.500013592969285	1	0.5	1
B1-7BS	43.6486161818777	0.43513401387275	7.9369372717554e-08	9.52432472610648e-07	0.000160539416306495	0.00128431533045196
Bacillaceae	69.6003700310446	0.0598707166238589	2.11976003236352e-277	2.18335283333443e-275	0	0
Bacteriovoracaceae	43.9868156823218	0.447069874747243	9.44887823426911e-06	7.55910258741529e-05	4.47523754813337e-05	0.000537028505776004
Bdellovibrionaceae	48.7165293855969	0.328467639524353	5.35675534683533e-44	3.05335054769614e-42	3.37815794283691e-38	1.89176844798867e-36
Beijerinckiaceae	55.9095100451277	0.18447418970219	1.00809818169046e-143	8.770454180707e-142	1.07297362538637e-150	9.33487054086142e-149
BIrii41	48.2375546834763	0.3375399056599	1.12063798037494e-39	5.93938129598718e-38	1.13002540254147e-33	5.98913463346979e-32
Bryobacteraceae	62.9837772017294	0.104703344739367	3.09230584989534e-224	3.06138279139639e-222	9.5029409590658e-277	9.40791154947514e-275
Burkholderiaceae	45.1637302160596	0.408827056079574	8.65305402504564e-14	2.24979404651187e-12	1.97491060284693e-10	4.73978544683263e-09
Catenulisporaceae	47.6373547810381	0.35288071222222	6.71857466749583e-33	3.29210158707296e-31	1.37924458510031e-27	6.75829846699152e-26
Caulobacteraceae	63.7106489683561	0.109239056194252	3.56127290015101e-219	3.49004744214799e-217	8.34161143028871e-273	8.17477920168294e-271
Cellulomonadaceae	45.4154639258135	0.40789697804746	4.91092225965809e-14	1.32594901010768e-12	2.11663351610316e-11	5.92657384508885e-10
Cellvibrionaceae	49.5161006455698	0.300668172105754	1.10392033773442e-58	7.06509016150029e-57	1.68650244462261e-50	1.06249654011224e-48
Chitinophagaceae	58.8613404232656	0.142536355679379	8.37177503832621e-184	7.36716203372707e-182	6.79928548249882e-208	5.98337122459896e-206
Chloroflexaceae	62.7603849355032	0.113633948944366	2.51294914139864e-214	2.43756066715668e-212	5.91059657168057e-258	5.73327867453015e-256
Clostridiaceae	42.7539222049766	0.455321682201696	0.000152707099743582	0.00106894969820507	0.0277236495948898	0.166341897569339
Comamonadaceae	127.932619512242	8.43225777074715e-07	0	0	0	0
Crocinitomicaceae	50.6509435347751	0.278760323191576	8.53111439063831e-72	5.71584664172767e-70	2.40675052606699e-65	1.61252285246488e-63
Cytophagaceae	44.641492079832	0.421379314997108	1.05094570811422e-10	1.99679684541702e-09	8.63248157631846e-08	1.55384668373732e-06
Deinococcaceae	47.5225549447978	0.345768946018372	5.85692897018869e-36	2.92846448509434e-34	5.86639653732004e-29	2.93319826866002e-27
Devosiaceae	42.0937861516793	0.480776981960028	0.0601516213598575	0.180454864079573	0.279645710695192	0.915995392384636
Dongiaceae	49.8915711652376	0.302847067513715	1.87434039275082e-57	1.18083444743302e-55	3.1778392059219e-51	2.03381709179002e-49
Enterobacteriaceae	43.0953827584883	0.458856484659193	0.000442092678791232	0.00265255607274739	0.00748908033421467	0.0524235623395027
Entotheonellaceae	45.0092606639087	0.409580056698501	1.3632364477762e-13	3.4080911194405e-12	6.57436690053179e-10	1.38061704911168e-08
env.OPS_17	42.1747378046211	0.475961319547154	0.0260275227810066	0.104110091124026	0.228998848096159	0.915995392384636
Erwiniaceae	46.2555120869158	0.391055229601947	6.58143554900006e-19	2.30350244215002e-17	3.49069748831626e-16	1.15193017114437e-14
Fibrobacteraceae	86.5957577558139	0.00767419779715698	0	0	0	0
Flavobacteriaceae	100.733314712076	0.000883700614374301	0	0	0	0
Frankiaceae	46.7428011023263	0.404987849116552	8.05586873230164e-15	2.33620193236748e-13	6.74852069391121e-16	2.15952662205159e-14
Gaiellaceae	81.9738444994438	0.0121879853818379	0	0	0	0
Geminicoccaceae	50.0341824663818	0.311052497550429	6.08362176441212e-53	3.71100927629139e-51	1.54527082461488e-47	9.42615203015077e-46
Gemmatimonadaceae	111.180442429819	5.902580439523e-05	0	0	0	0
Geobacteraceae	49.7659917623677	0.306823720278399	3.04053503007851e-55	1.88513171864868e-53	1.32618576189851e-49	8.22235172377076e-48
Geodermatophilaceae	51.5260992128621	0.267755383574974	6.79935643211931e-79	4.82754306680471e-77	2.06949774777627e-73	1.42795344596563e-71
Glycomycetaceae	43.7420247510885	0.43631874608954	1.3278052435689e-07	1.46058576792579e-06	9.91317199830245e-05	0.0010553911619257
Gracilibacteraceae	47.5184956219984	0.366664924000061	2.2483458860823e-27	9.66788731015389e-26	1.5112658369834e-24	6.95182285012364e-23
Haliangiaceae	63.4036835809301	0.0949059044355362	2.2830988518532e-235	2.2830988518532e-233	1.06836631394254e-293	1.06836631394254e-291
Herpetosiphonaceae	46.3464215183435	0.383016758269094	1.63119529575458e-21	6.03542259429195e-20	1.85782926582058e-17	6.87396828353615e-16
Hymenobacteraceae	42.2782149437415	0.469527506868074	0.00689620893586145	0.0344810446793073	0.167174801240216	0.83587400620108
Hyphomicrobiaceae	49.8141067323452	0.29315756010935	5.01918133487751e-63	3.26246786767038e-61	6.27425027039669e-55	4.07826267575785e-53
Hyphomonadaceae	49.9393139241192	0.32690345570788	9.13071365621212e-45	5.29581392060303e-43	3.16702273594234e-43	1.9002136415654e-41
Iamiaceae	55.9294149590007	0.19166606235486	2.37964560199693e-137	2.02269876169739e-135	6.30401603663303e-145	5.35841363113808e-143
Ilumatobacteraceae	54.8392606130294	0.200790608488585	1.78377492069162e-129	1.48053318417404e-127	2.09150715067512e-132	1.69412079204685e-130
Intrasporangiaceae	46.9794162695086	0.369004032305666	1.72300517671475e-26	7.23662174220195e-25	6.08795986003032e-22	2.49606354261243e-20
KF-JG30-B3	44.9006339158295	0.422035344651672	1.48163081373513e-10	2.66693546472323e-09	1.05148531312717e-08	1.99782209494162e-07
Kineosporiaceae	47.1561307445183	0.362453011243572	5.25428719388569e-29	2.36442923724856e-27	6.67987981126989e-24	3.00594591507145e-22
Latescibacteraceae	52.3425401237794	0.272706805337956	1.17132425037377e-75	8.19926975261639e-74	1.09575670220907e-73	7.7798725856844e-72
Leptospiraceae	46.9284938807178	0.372182150259461	2.58992118355923e-25	1.03596847342369e-23	2.86195754310899e-21	1.1447830172436e-19
Methyloligellaceae	62.3680607986711	0.119206828105052	2.94885514867812e-208	2.74243528827065e-206	4.6058155516799e-252	4.28340846306231e-250
Methylophilaceae	89.8399235224079	0.00521197852809881	0	0	0	0
Microbacteriaceae	47.5315793125879	0.357587598509851	5.94156029450633e-31	2.79253333841798e-29	2.438845852129e-26	1.14625755050063e-24
Micrococcaceae	60.6675998666577	0.130085283855093	1.15859998657546e-196	1.05432598778367e-194	8.4716277003472e-229	7.62446493031248e-227
Micromonosporaceae	62.2944872334191	0.115338951465611	1.84696763943433e-212	1.77308893385696e-210	3.73863145651051e-256	3.58908619825009e-254
Micropepsaceae	43.8668756365709	0.430078032113411	7.98879293671127e-09	1.19831894050669e-07	2.74730286425567e-05	0.000384622400995794
Microscillaceae	69.7528869165236	0.0504156259855201	2.43661060447273e-289	2.53407502865164e-287	0	0
Microtrichaceae	46.7224948603927	0.376435381079025	8.79072051600972e-24	3.42838100124379e-22	1.9819263885771e-19	7.72951291545069e-18
Mitochondria	46.8879221506812	0.362644423494968	6.24789898078219e-29	2.74907555154416e-27	8.22564427667596e-23	3.53702703897066e-21
Moraxellaceae	47.1039142803881	0.370025178721703	4.1453353104582e-26	1.69958747728786e-24	2.51234881121461e-22	1.05518650071014e-20
Mycobacteriaceae	64.2613322355746	0.0927388141884542	7.23703940472535e-238	7.3094097987726e-236	6.11954917975303e-304	6.18074467155056e-302
Myxococcaceae	47.7077847886392	0.355251863107354	6.54201696026894e-32	3.14016814092909e-30	1.59417151851116e-27	7.65202328885357e-26
Nakamurellaceae	51.9149679093922	0.267133082951493	2.63531176997261e-79	1.89742447438028e-77	9.24296050660974e-76	6.65493156475901e-74
Nannocystaceae	49.3637012064258	0.331542040707568	1.65601131058164e-42	9.27366333925718e-41	3.83401030413816e-40	2.18538587335875e-38
Nitrosomonadaceae	95.5203830436234	0.00233489217671989	0	0	0	0
Nitrososphaeraceae	50.6354417401495	0.286574496467727	5.80068301724385e-67	3.82845079138094e-65	4.6998344212302e-61	3.10189071801193e-59
Nitrospiraceae	75.9885940180072	0.0247646978469073	0	0	0	0
Nocardiaceae	51.5968844506922	0.274819929135306	2.68341498216557e-74	1.82472218787259e-72	3.8790554701417e-69	2.63775771969636e-67
Nocardioidaceae	87.1869027350174	0.00839599906233294	0	0	0	0
NS9_marine_group	44.9282730573535	0.419412069259192	3.69089223069889e-11	7.38178446139778e-10	6.97346016434935e-09	1.39469203286987e-07
Oligoflexales_fa	43.7937170950875	0.443321736168146	2.32004113600441e-06	2.32004113600441e-05	0.000135881011610468	0.00122292910449421
Oxalobacteraceae	128.875941473985	8.43225777074715e-07	0	0	0	0
Paenibacillaceae	40.3121738600735	0.526051460382723	0.98236915681508	1	0.996041769468067	1
Pedosphaeraceae	105.539726696662	0.000275734829103432	0	0	0	0
Peptostreptococcaceae	55.9137825446626	0.196108175748489	1.73649528873091e-133	1.45865604253396e-131	7.13824529991274e-140	5.9961260519267e-138
Phaselicystidaceae	45.9581501737238	0.386105494290518	1.71875934294264e-20	6.1875336345935e-19	3.0339532324986e-15	9.40525502074566e-14
Phycisphaeraceae	53.3861962964109	0.228780644932803	8.6523351668708e-107	6.57577472682181e-105	1.83618813223278e-105	1.39550298049691e-103
Planococcaceae	59.1522382828667	0.142383731813728	5.85940704727497e-184	5.21487227207472e-182	3.24998155147776e-209	2.89248358081521e-207
Polyangiaceae	54.522581649057	0.214056236413525	1.90356254522742e-118	1.50381441072966e-116	2.03988265893476e-120	1.61150730055846e-118
Promicromonosporaceae	54.0622424025363	0.233126630587846	1.82230538960948e-103	1.36672904220711e-101	1.44576991931437e-103	1.08432743948578e-101
Propionibacteriaceae	52.1301169279636	0.255483075615428	3.25414262438021e-87	2.37552411579755e-85	6.97842075346136e-82	5.09424715002679e-80
Pseudohongiellaceae	45.7065974885946	0.395190408812721	1.22534934633496e-17	4.04365284290537e-16	1.02955326747601e-13	2.98570447568043e-12
Pseudomonadaceae	56.8278074581284	0.190568182393108	2.5888680144238e-138	2.22642649240447e-136	3.58835806732336e-148	3.08598793789809e-146
