Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
67-14	23.667605528755	0.661994633711155	1	1	1	1
A21b	22.7696225179283	0.687321763151371	1	1	1	1
A4b	29.404147102422	0.511194665416444	0.817186053031182	1	0.976862967817024	1
Acidobacteriaceae_(Subgroup_1)	27.5661660464639	0.555940441276914	0.999996919809802	1	0.999999996696262	1
Acidobacteriae_fa	26.9250530373941	0.579704230126433	0.999999999940762	1	0.999999999997607	1
Acidothermaceae	28.1308322800568	0.539279986373471	0.999249265621695	1	0.999998300439612	1
AKYH767	28.7605673135328	0.525930879096602	0.981940963535844	1	0.999491788553576	1
Alcaligenaceae	26.2487322549433	0.587024273097219	0.999999999998988	1	1	1
Alicyclobacillaceae	27.6078332901763	0.557330077357533	0.999998198950733	1	0.999999989929206	1
All_BS	68.1005088696199	0.0221481682606445	0	0	0	0
All_PM	30.4137691810902	0.499541285177271	0.500013592969285	1	0.5	1
B1-7BS	27.0724550756345	0.573266201318468	0.999999998399901	1	0.999999999986882	1
Bacillaceae	29.159322463659	0.49119672288734	0.238407662895237	1	0.997046173750801	1
Bacteriovoracaceae	29.7428509807663	0.507676727474488	0.732500219474804	1	0.903472057528804	1
Bdellovibrionaceae	28.230747188001	0.545530819058926	0.999883180973234	1	0.999987690817108	1
Beijerinckiaceae	25.3018109797487	0.613342192825498	1	1	1	1
BIrii41	29.7607157992817	0.515527159459054	0.895228382670393	1	0.888514860202173	1
Bryobacteraceae	28.4202924962262	0.525070788803985	0.978622103764121	1	0.999979612859822	1
Burkholderiaceae	29.9498485151383	0.508767018404246	0.760683767428238	1	0.806283208236029	1
Catenulisporaceae	25.0879909233801	0.620859550628119	1	1	1	1
Caulobacteraceae	31.4192477311178	0.440999492378082	9.29824597021532e-07	0.000104140354866412	0.0180599146990093	1
Cellulomonadaceae	29.6540368417065	0.506293837200086	0.694495756284799	1	0.931206976946937	1
Cellvibrionaceae	26.7236831821109	0.580603952030572	0.999999999963408	1	0.999999999999934	1
Chitinophagaceae	25.8393896370745	0.585888447975499	0.999999999998054	1	1	1
Chloroflexaceae	25.5732827160685	0.605562591806207	1	1	1	1
Clostridiaceae	26.1875779336351	0.588271404021512	0.999999999999511	1	1	1
Comamonadaceae	50.8571268950932	0.102988223508797	3.64098213741296e-226	4.36917856489555e-224	3.41000536687555e-290	4.09200644025066e-288
Crocinitomicaceae	26.1642788379461	0.603713397677082	1	1	1	1
Cytophagaceae	32.5859351729125	0.456437269904766	0.000215360449248327	0.023689649417316	5.49662239559622e-05	0.00626614953097969
Deinococcaceae	27.4288054025371	0.564424979045839	0.999999903773871	1	0.999999998680273	1
Devosiaceae	28.9695716681815	0.516390622654778	0.90734855544888	1	0.998308460500034	1
Dongiaceae	27.3235556454183	0.570358758839114	0.999999993498312	1	0.99999999920678	1
Enterobacteriaceae	27.7395662623409	0.552505139461111	0.999988981568429	1	0.999999965868672	1
Entotheonellaceae	29.1057938208842	0.514680560778871	0.882268763717721	1	0.995664089693372	1
env.OPS_17	27.5792647313298	0.554411672943077	0.999994518748126	1	0.999999993606176	1
Erwiniaceae	28.8395743991855	0.536254492285327	0.998304618125746	1	0.998617428215505	1
Fibrobacteraceae	25.3765997058287	0.604813807316164	1	1	1	1
Flavobacteriaceae	29.0444835345549	0.48806329589973	0.167357339245844	1	0.999007448687062	1
Frankiaceae	28.053862066249	0.552197362052479	0.999987693154894	1	0.999997970899338	1
Gaiellaceae	24.6676444394381	0.621670733825665	1	1	1	1
Geminicoccaceae	29.0357918691462	0.532389988548994	0.995572298435136	1	0.995584570174148	1
Gemmatimonadaceae	33.043964485305	0.38734166327971	4.3353370253569e-20	5.11569768992114e-18	5.64206120876898e-09	6.6576322263474e-07
Geobacteraceae	24.4369002515591	0.644002725305711	1	1	1	1
Geodermatophilaceae	27.9299103445605	0.551965474963783	0.999986629071173	1	0.999999496023572	1
Glycomycetaceae	26.3293347858636	0.594753280569886	0.999999999999991	1	1	1
Gracilibacteraceae	28.7256071649671	0.518610836125816	0.9337130182749	1	0.999767543550771	1
Haliangiaceae	24.1641341911011	0.648102489033849	1	1	1	1
Herpetosiphonaceae	30.5184259068485	0.495462602093561	0.356925746263086	1	0.422138495830356	1
Hymenobacteraceae	28.9027997298868	0.524449331406281	0.975914958427553	1	0.998567473584947	1
Hyphomicrobiaceae	25.3539730090036	0.623880828587378	1	1	1	1
Hyphomonadaceae	27.7616983664779	0.555636879997167	0.999996542312005	1	0.999999916013872	1
Iamiaceae	25.2114538493209	0.621642064149244	1	1	1	1
Ilumatobacteraceae	25.5225278192689	0.60726506465012	1	1	1	1
Intrasporangiaceae	27.6574816340598	0.557879017338408	0.999998547849665	1	0.999999976323981	1
