Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
67-14	28.6262902367621	0.581405016518793	0.999999999976274	1	0.999999999990174	1
A21b	30.558526683526	0.513388738888392	0.860375211148054	1	0.998708632958839	1
A4b	27.1151110102718	0.615958722411761	1	1	1	1
Acidobacteriaceae_(Subgroup_1)	29.3180757024673	0.566852626058038	0.999999967172556	1	0.999999888669916	1
Acidobacteriae_fa	29.9818715819918	0.551472187884195	0.999984067289133	1	0.999931745161281	1
Acidothermaceae	28.8523723819475	0.575102747060937	0.999999999358073	1	0.999999999647352	1
AKYH767	30.8307459275112	0.543373847521169	0.999771905145038	1	0.976679309276196	1
Alcaligenaceae	30.1491637233991	0.540484956008911	0.999465634094774	1	0.999826271622542	1
Alicyclobacillaceae	29.0803507646715	0.575344752858957	0.999999999431775	1	0.999999989571525	1
All_BS	97.4079476403318	0.00042920192053103	0	0	0	0
All_PM	31.9048244214048	0.499541285177271	0.500013592969285	1	0.5	1
B1-7BS	28.7334639007533	0.581572818448431	0.999999999978344	1	0.999999999882967	1
Bacillaceae	36.6897091638335	0.349132573643123	1.70814834245864e-34	1.79355575958157e-32	9.49356256048419e-26	9.9682406885084e-24
Bacteriovoracaceae	31.7512781769529	0.507244152650849	0.720871991021118	1	0.616119215383833	1
Bdellovibrionaceae	29.4624921858827	0.552504296235334	0.999988978220688	1	0.999999910180894	1
Beijerinckiaceae	31.3477857066339	0.491136853857168	0.23691160959348	1	0.899117916808944	1
BIrii41	31.8812706335475	0.498945967778657	0.466058638052213	1	0.518781772918371	1
Bryobacteraceae	35.7306182405867	0.36460408020089	3.6299296733298e-28	3.6662289700631e-26	1.10398052478782e-18	1.1150203300357e-16
Burkholderiaceae	32.1901155880554	0.505134401756608	0.660905267915775	1	0.298694301636352	1
Catenulisporaceae	28.9152341541659	0.571794772337472	0.999999996724969	1	0.999999999816894	1
Caulobacteraceae	33.7525836349984	0.406557935513465	2.15152510474604e-14	2.08697935160366e-12	3.83815129256146e-06	0.0003684625240859
Cellulomonadaceae	26.9612371134168	0.62373326407639	1	1	1	1
Cellvibrionaceae	27.8551614362161	0.59805535271291	0.999999999999999	1	1	1
Chitinophagaceae	31.8693235106344	0.480047591662858	0.0534322998491273	1	0.531804827535992	1
