Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
67-14	27.586426129048	0.583415266771339	0.999999999992145	1	1	1
A21b	25.6834178899464	0.6510394444154	1	1	1	1
A4b	31.2844930687744	0.4893517448871	0.19474701067887	1	0.844640458766375	1
Acidobacteriaceae_(Subgroup_1)	32.2855100493763	0.4904589003324	0.220335414594278	1	0.210115743781374	1
Acidobacteriae_fa	30.05980104655	0.542878873990026	0.999735123169023	1	0.998852439827996	1
Acidothermaceae	36.2932561474922	0.404588160098219	6.25759036314169e-15	7.44653253213861e-13	6.78736959997148e-14	8.14484351996577e-12
AKYH767	32.7696732837297	0.464410812852785	0.00201292734412856	0.22343493519827	0.0413747063752887	1
Alcaligenaceae	29.1000898613037	0.577194790213859	0.999999999779068	1	0.999997698265877	1
Alicyclobacillaceae	34.6301213428129	0.445530144478305	5.36377031138243e-06	0.000600742274874832	1.78520268343214e-06	0.000207083511278128
All_BS	34.6409749991063	0.393455050163501	3.64043281923347e-18	4.36851938308016e-16	1.23891652397942e-08	1.44953233305592e-06
All_PM	31.816915770046	0.499541285177271	0.500013592969285	1	0.5	1
B1-7BS	27.8970952594882	0.578053194054921	0.999999999858525	1	0.99999999999997	1
Bacillaceae	18.4579361489774	0.839400904949904	1	1	1	1
Bacteriovoracaceae	31.3157150934147	0.496745148500492	0.396259959140397	1	0.824040330905248	1
Bdellovibrionaceae	28.7531356890451	0.564747934518459	0.999999916421478	1	0.999999992958877	1
Beijerinckiaceae	22.9081561724606	0.712955826774442	1	1	1	1
BIrii41	29.2860833146832	0.555180694851769	0.999995890724313	1	0.999997831596147	1
Bryobacteraceae	20.3286548112847	0.782727700472712	1	1	1	1
Burkholderiaceae	31.8287018962268	0.497304207190692	0.413769240573997	1	0.491759878439926	1
Catenulisporaceae	28.8727607003146	0.56771946215687	0.999999977841825	1	0.99999994194315	1
Caulobacteraceae	22.1495381493807	0.731981529982579	1	1	1	1
Cellulomonadaceae	31.2244243988157	0.498377633604908	0.447843741885887	1	0.864481956100015	1
Cellvibrionaceae	27.7008445062137	0.579484991424394	0.999999999933436	1	1	1
Chitinophagaceae	22.0317029825881	0.732937748013782	1	1	1	1
Chloroflexaceae	22.4169471780029	0.724430443148875	1	1	1	1
Clostridiaceae	27.9870131309754	0.593510365774478	0.999999999999979	1	0.999999999996462	1
Comamonadaceae	19.3898246185762	0.806294174490397	1	1	1	1
Crocinitomicaceae	28.3924618097736	0.564842375805491	0.999999919805541	1	0.999999999970544	1
Cytophagaceae	35.7030349484351	0.417097414501122	1.04391159433055e-11	1.23181568131005e-09	5.95793526152816e-11	7.08994296121851e-09
Deinococcaceae	29.3184406500809	0.557549316059572	0.999998346987308	1	0.999997170708847	1
Devosiaceae	29.6213290850517	0.527197404213768	0.986023647547789	1	0.999991713889308	1
Dongiaceae	28.2819880952683	0.576257966375529	0.999999999642568	1	0.999999999975626	1
Enterobacteriaceae	35.1863324419323	0.430032497921448	7.81952432841477e-09	9.07064822096113e-07	1.17356253537087e-08	1.38480379173763e-06
Entotheonellaceae	32.073027627914	0.47616706663676	0.0270490113706146	1	0.317956143048702	1
env.OPS_17	30.7619368029269	0.519711245764899	0.944415193869521	1	0.969731576350075	1
Erwiniaceae	29.6074158585128	0.551295953696786	0.999983043837508	1	0.999947376848896	1
Fibrobacteraceae	21.0457389957777	0.769660230605385	1	1	1	1
Flavobacteriaceae	23.0971308886288	0.70406654063252	1	1	1	1
Frankiaceae	31.9411373007539	0.479964112310928	0.0527027816885796	1	0.409003524633056	1
Gaiellaceae	20.9748336701852	0.768383586778894	1	1	1	1
Geminicoccaceae	26.5183446963577	0.623824332460314	1	1	1	1
Gemmatimonadaceae	21.6569929157033	0.750153045478539	1	1	1	1
Geobacteraceae	31.4321121921334	0.522081553424256	0.962829881301355	1	0.738041426504671	1
Geodermatophilaceae	27.5730086348076	0.587734269201516	0.999999999999331	1	1	1
Glycomycetaceae	31.5733878920254	0.501519492850289	0.54886620466552	1	0.665647787150247	1
Gracilibacteraceae	33.6571916972256	0.441676602677073	1.21816637189852e-06	0.00014008913276833	0.000463537513529374	0.0519162015152899
Haliangiaceae	22.4397640357455	0.730938459696338	1	1	1	1
Herpetosiphonaceae	30.6423417305924	0.513083491157091	0.854821354177544	1	0.98563596683965	1
Hymenobacteraceae	34.0791307638314	0.425560028399844	8.94767883630487e-10	1.04687842384767e-07	1.50375386888771e-05	0.00169924187184311
Hyphomicrobiaceae	26.7807871972827	0.620340123549441	1	1	1	1
Hyphomonadaceae	28.6345928931706	0.561614507530849	0.999999681020103	1	0.999999998950696	1
Iamiaceae	23.0552904758682	0.704757142543945	1	1	1	1
Ilumatobacteraceae	25.6129860809281	0.63892397645039	1	1	1	1
Intrasporangiaceae	28.2512093981043	0.568633518899219	0.999999985435749	1	0.999999999996562	1
KF-JG30-B3	34.3924524072806	0.444363120002833	3.45768799496425e-06	0.00039071874343096	7.19232296126456e-06	0.00081992481758416
Kineosporiaceae	26.9411930735622	0.616344919817661	1	1	1	1
Latescibacteraceae	29.7005876242354	0.5367410335587	0.998507191139152	1	0.999956982179991	1
Leptospiraceae	31.8363130150442	0.486133995321783	0.13123403921241	1	0.485888857404657	1
Methyloligellaceae	24.3184313806606	0.666219194854299	1	1	1	1
Methylophilaceae	22.0950730668607	0.736949816261103	1	1	1	1
Microbacteriaceae	28.4265517132069	0.573000585198689	0.999999998177185	1	0.999999999808936	1
Micrococcaceae	21.2548723518104	0.75655481557809	1	1	1	1
Micromonosporaceae	24.6818651864522	0.656131684883154	1	1	1	1
Micropepsaceae	30.7382376389951	0.532940614981424	0.996117089463643	1	0.966926487131144	1
Microscillaceae	20.131354626892	0.789793932484599	1	1	1	1
Microtrichaceae	29.5012823797844	0.539623179264741	0.999317933614486	1	0.999992682099742	1
Mitochondria	30.875274170112	0.52958626284022	0.991598822946156	1	0.945073502307137	1
Moraxellaceae	32.4682846751932	0.465244763146311	0.00248684137636425	0.273552551400068	0.112362834069789	1
Mycobacteriaceae	18.9105959712991	0.820210772715238	1	1	1	1
Myxococcaceae	30.2507459431663	0.521769559886738	0.96073671676484	1	0.998361345097856	1
Nakamurellaceae	27.8310484230669	0.573853929685089	0.999999998802642	1	0.999999999999999	1
Nannocystaceae	29.9490127955064	0.546110958393554	0.999902899254383	1	0.999470515801748	1
Nitrosomonadaceae	20.8944343332386	0.778713945773837	1	1	1	1
Nitrososphaeraceae	28.5799773742719	0.566621582195119	0.999999963576113	1	0.999999999051865	1
Nitrospiraceae	18.2330418187398	0.843247700944919	1	1	1	1
Nocardiaceae	28.2529362619502	0.571836933626326	0.999999996790883	1	0.99999999999362	1
Nocardioidaceae	19.5114388945696	0.812705220073496	1	1	1	1
NS9_marine_group	31.6626517487553	0.48516934503281	0.115354475836838	1	0.613030431563505	1
Oligoflexales_fa	31.8637425638136	0.487888748163876	0.163847575815032	1	0.465935569839268	1
Oxalobacteraceae	21.329099409389	0.759869536107771	1	1	1	1
Paenibacillaceae	32.3717640635976	0.496129593683227	0.377221760995737	1	0.177907389392105	1
Pedosphaeraceae	19.7440612890767	0.804775524865885	1	1	1	1
Peptostreptococcaceae	27.8879393349592	0.568781083410207	0.999999986396504	1	0.999999999999999	1
Phaselicystidaceae	29.8502675055522	0.53796033803235	0.998921624330274	1	0.999836179229886	1
Phycisphaeraceae	24.22094878113	0.677785722838433	1	1	1	1
Planococcaceae	23.9123967083825	0.691706537192159	1	1	1	1
Polyangiaceae	29.1863133108381	0.564663611940752	0.999999913283642	1	0.999997573032862	1
Promicromonosporaceae	25.1564111823187	0.655198233947933	1	1	1	1
Propionibacteriaceae	26.2568902065315	0.628026969733254	1	1	1	1
