Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
All_BS	46.0136482151245	0.245269081777722	1.83208992228593e-94	2.43667959664029e-92	1.86969958013017e-94	2.48670044157313e-92
All_PM	34.4706399813237	0.499541285177271	0.500013592969285	1	0.5	1
Cluster_1	28.0280227967105	0.687056990257369	1	1	1	1
Cluster_10	26.8374004738253	0.719546479448058	1	1	1	1
Cluster_100	32.9571018494788	0.554227006497898	0.99999412938048	1	0.999469917738048	1
Cluster_101	38.3260363230908	0.377228856535253	1.67482763444836e-23	2.17727592478287e-21	4.71803926529079e-21	6.13345104487803e-19
Cluster_102	28.6228658581413	0.669524639900432	1	1	1	1
Cluster_103	34.3462924702159	0.51884019353718	0.936066113789234	1	0.602665601610337	1
Cluster_104	29.9485270640618	0.62996807547208	1	1	1	1
Cluster_105	31.582014345144	0.582242339715428	0.999999999984981	1	0.999999999992136	1
Cluster_106	30.7670100337372	0.607646202701358	1	1	1	1
Cluster_107	35.6336291134866	0.471496439057543	0.0106251911439459	1	0.00617701053727427	0.741241264472912
Cluster_108	28.0972159531415	0.684694271630006	1	1	1	1
Cluster_109	32.8954158594808	0.547941601555583	0.99994655288076	1	0.999828412206039	1
Cluster_11	28.4193676847642	0.671386482416213	1	1	1	1
Cluster_110	32.6359692507904	0.548275518963305	0.999952175203365	1	0.999993367629648	1
Cluster_111	33.7468705172032	0.518413521293981	0.931635472966448	1	0.951406417578689	1
Cluster_112	30.5111135839317	0.613117894768796	1	1	1	1
Cluster_113	30.7224248758317	0.608249952357744	1	1	1	1
Cluster_114	34.5527322292496	0.502835768288302	0.590632268160158	1	0.428272325829534	1
Cluster_115	28.9019183692796	0.662353847892189	1	1	1	1
Cluster_116	32.9002596211196	0.551290894342124	0.999983013553569	1	0.999791835256897	1
Cluster_117	27.0995288881293	0.715563080877157	1	1	1	1
Cluster_118	34.3889598256021	0.508741721630934	0.760048763145788	1	0.570654055376043	1
Cluster_119	25.4142300441381	0.766880958444147	1	1	1	1
Cluster_12	28.5597350297736	0.672852008816769	1	1	1	1
Cluster_120	27.8921279267074	0.685567010309278	1	1	1	1
Cluster_121	25.6456066049702	0.758717689696287	1	1	1	1
Cluster_122	31.6090138155058	0.581464885548965	0.999999999977034	1	0.999999999969624	1
Cluster_123	29.2841357855187	0.64925517867111	1	1	1	1
Cluster_124	30.3375105770619	0.612687849622488	1	1	1	1
Cluster_125	29.5708770236423	0.639063951929385	1	1	1	1
Cluster_126	34.3092981548994	0.511824555071919	0.830362219324992	1	0.641229320449495	1
Cluster_127	30.7175498090379	0.609560325215318	1	1	1	1
Cluster_128	34.1168126616554	0.511811906685263	0.830103781638039	1	0.786694335332968	1
Cluster_129	29.5972353042606	0.637367381665911	1	1	1	1
Cluster_13	31.263939609483	0.588913942063643	0.999999999999665	1	0.999999999999989	1
Cluster_130	32.7039254798573	0.552021971090847	0.99998689610218	1	0.999963245346115	1
Cluster_131	25.3214443141584	0.763745001779206	1	1	1	1
Cluster_132	27.2979989804147	0.708727049502412	1	1	1	1
Cluster_133	32.2731058292253	0.560792362398202	0.999999551339695	1	0.999999799680554	1
Cluster_134	31.5670298046023	0.585213024128062	0.99999999999714	1	0.999999999991635	1
Cluster_14	27.1439759125032	0.713343710631896	1	1	1	1
Cluster_15	27.8086084690576	0.694852612566425	1	1	1	1
Cluster_16	28.4700378103591	0.67138732564199	1	1	1	1
Cluster_17	27.3829094470661	0.704532001261466	1	1	1	1
Cluster_18	32.5154500660349	0.565565020296445	0.99999994165816	1	0.999992532957513	1
Cluster_19	35.4917424861609	0.458616165312727	0.000412272056419019	0.0515340070523774	0.00509809597937866	0.616869613504818
Cluster_2	27.2716522652498	0.709606533987901	1	1	1	1
Cluster_20	46.7709079815263	0.192118874597149	5.92742459341967e-137	7.94274895518236e-135	1.14266985430423e-154	1.53117760476767e-152
Cluster_21	27.7317997671594	0.699413620794622	1	1	1	1
Cluster_22	25.8491232841799	0.751981158963237	1	1	1	1
Cluster_23	27.6962089948537	0.692427495231558	1	1	1	1
Cluster_24	41.9135641483137	0.291011550506694	2.69538017555553e-64	3.5579018317333e-62	2.19690181575594e-65	2.89991039679784e-63
Cluster_25	26.2102448126793	0.744775794698134	1	1	1	1
Cluster_26	34.1797288034996	0.507662392636278	0.732118827073845	1	0.750527981084632	1
Cluster_27	31.3534114131462	0.589473000753844	0.99999999999976	1	0.999999999999834	1
Cluster_28	33.3898901198251	0.537573297400672	0.998803186164144	1	0.991724501980238	1
Cluster_29	28.2244918532832	0.677935817026752	1	1	1	1
Cluster_3	36.1658087666081	0.454367150622048	0.000113098848087091	0.0142504548589735	7.87717593693976e-05	0.0099252416805441
Cluster_30	29.1996574668299	0.648832722556795	1	1	1	1
Cluster_31	27.0648077778529	0.712374844214038	1	1	1	1
Cluster_32	28.4130825950808	0.670606498572419	1	1	1	1
Cluster_33	32.5691478884429	0.552666195584533	0.999989603543333	1	0.999995892590727	1
Cluster_34	26.604819501653	0.725422076662715	1	1	1	1
Cluster_35	34.4022684414537	0.487515199144632	0.156498065507674	1	0.568178184820456	1
Cluster_36	36.233899864035	0.430731532090643	1.08476273717502e-08	1.39934393095578e-06	3.70434744603421e-06	0.000474156473092379
Cluster_37	33.0486654453752	0.544421977162073	0.999834627930081	1	0.999373916424301	1
Cluster_38	37.3144741942231	0.443759370346448	2.74587023127489e-06	0.000351471389603186	3.8838334425107e-09	5.0101451408388e-07
Cluster_39	32.8995576196626	0.552156043989402	0.999987509649945	1	0.999687355589048	1
Cluster_4	25.7867718962449	0.751627847362643	1	1	1	1
Cluster_40	32.2388271884325	0.558349537322016	0.999998794405477	1	0.999999967617243	1
Cluster_41	25.7076386769512	0.753737598256884	1	1	1	1
Cluster_42	31.7573404925615	0.57772770890497	0.999999999832382	1	0.99999999989674	1
Cluster_43	34.8815346467792	0.482667494152229	0.080648774921158	1	0.169794930571169	1
Cluster_44	28.44602971581	0.672100694649395	1	1	1	1
Cluster_45	30.0394240288059	0.622852936365124	1	1	1	1
Cluster_46	33.0852673141136	0.532889178209022	0.996068870148206	1	0.999534044185798	1
Cluster_47	27.3677416725648	0.707022046981167	1	1	1	1
Cluster_48	28.8001088173256	0.664207258150199	1	1	1	1
Cluster_49	28.092220111677	0.685968385779166	1	1	1	1
Cluster_5	29.7004528319419	0.636980341034233	1	1	1	1
Cluster_50	34.2274928553897	0.510032700295635	0.791256704956123	1	0.706458370173126	1
Cluster_51	26.62637074654	0.728728364934625	1	1	1	1
Cluster_52	30.082937076431	0.624542760822381	1	1	1	1
Cluster_53	28.2093985306181	0.679741163415469	1	1	1	1
Cluster_54	32.75246970368	0.548287324124184	0.999952363365755	1	0.99997905660802	1
Cluster_55	36.3453586845932	0.467441366295591	0.00425400288312727	0.523242354624654	5.98708206123533e-05	0.00760359421776887
Cluster_56	47.3257270728452	0.182920124595041	4.04703402501757e-145	5.46349593377372e-143	2.14951877154516e-164	2.90185034158597e-162
Cluster_57	34.1359196388564	0.514821379483642	0.8844996416846	1	0.773509520414539	1
Cluster_58	27.4943842128935	0.701460129755583	1	1	1	1
Cluster_59	33.2783441255182	0.534980378136168	0.997650155629668	1	0.997226602052818	1
Cluster_6	27.5165416764011	0.704156765790668	1	1	1	1
Cluster_60	25.5717855075803	0.761873883779878	1	1	1	1
Cluster_61	32.3820767640864	0.555421014198236	0.999996247362473	1	0.999999771975214	1
Cluster_62	27.3826387279246	0.707273328262736	1	1	1	1
Cluster_63	33.8201217070953	0.522311754061397	0.964315098636071	1	0.928252994205389	1
Cluster_64	32.0565309592283	0.567429392489557	0.999999974713603	1	0.999999990864584	1
