Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
All_BS	59.7993239198426	0.0320493253350558	0	0	0	0
All_PM	29.1109249404246	0.499541285177271	0.500013592969285	1	0.5	1
Cluster_1	57.6362817505674	0.0374080251483656	3.52579540977167e-306	4.47776017041002e-304	0	0
Cluster_10	54.5323071060615	0.0503675621162269	2.11565949900045e-289	2.55994799379054e-287	0	0
Cluster_100	24.5298740694424	0.633744883727598	1	1	1	1
Cluster_101	53.8919975258269	0.0469423790097494	8.65524383745318e-294	1.06459499200674e-291	0	0
Cluster_102	25.5048590696544	0.582004550046293	0.999999999982891	1	1	1
Cluster_103	27.5227750040599	0.521919654075057	0.961755372831773	1	0.999908372796807	1
Cluster_104	25.2700551698289	0.595964996011542	0.999999999999996	1	1	1
Cluster_105	27.9633204222401	0.516279316852204	0.90584713796733	1	0.995473008592192	1
Cluster_106	27.2260093172572	0.537966240612789	0.998923344331907	1	0.999991598126463	1
Cluster_107	27.264178685937	0.552896396221674	0.999990434779965	1	0.999968302417049	1
Cluster_108	51.0338313775017	0.0733193245424235	7.44985059648612e-261	8.41833117402932e-259	0	0
Cluster_109	25.7322848304253	0.590226001372772	0.999999999999847	1	0.999999999999995	1
Cluster_11	48.9781257509273	0.0808948649236628	9.26125082764873e-252	1.01873759104136e-249	0	0
Cluster_110	28.8227903004169	0.480631947126371	0.0587653173319049	1	0.750337408166071	1
Cluster_111	27.735339279219	0.521123648941499	0.956098351448462	1	0.999156497752679	1
Cluster_112	26.5864246331156	0.543414322358469	0.999774691697745	1	0.999999999730794	1
Cluster_113	26.7113534415748	0.536018389067746	0.998197560516469	1	0.999999998163436	1
Cluster_114	27.1151130568626	0.548346349928579	0.999953293737944	1	0.999996111815252	1
Cluster_115	25.7718793124513	0.587913876292033	0.999999999999397	1	0.999999999999992	1
Cluster_116	28.0394544572813	0.520185981877392	0.948588977368134	1	0.991677135800036	1
Cluster_117	46.667424907346	0.090637495551984	2.65297226750795e-240	2.86521004890859e-238	6.4092500365532e-289	6.85789753911192e-287
Cluster_118	26.3652241351766	0.565818831255344	0.999999947867043	1	0.99999999987472	1
Cluster_119	47.9710446584274	0.0892411136651483	6.28260879550539e-242	6.84804358710088e-240	8.52101670278894e-303	9.28790820603994e-301
Cluster_12	26.7342854341726	0.541970719828117	0.99965288816069	1	0.999999994733212	1
Cluster_120	32.7154814351879	0.360461311958122	8.54489976473065e-30	7.69040978825758e-28	7.00522332295293e-17	6.30470099065764e-15
Cluster_121	62.8180172511294	0.0249358726796535	0	0	0	0
Cluster_122	26.9986746734787	0.542911759795332	0.999737728881741	1	0.999999580058766	1
Cluster_123	33.3682509112765	0.351917748384801	2.63836733278292e-33	2.40091427283246e-31	3.11694290153118e-21	2.83641804039337e-19
Cluster_124	26.2951734289798	0.559644732115603	0.999999282819932	1	0.999999999992213	1
Cluster_125	29.0849283673136	0.502680614745321	0.585752825126505	1	0.521529032079457	1
Cluster_126	29.755701367051	0.479797153607067	0.0512674685796223	1	0.0857092994032996	1
Cluster_127	24.8991007761488	0.603602091874508	1	1	1	1
Cluster_128	25.0258299157257	0.605573553741309	1	1	1	1
Cluster_129	26.6600008786538	0.555625074836288	0.999996526772183	1	0.999999994845785	1
Cluster_13	26.9854441829968	0.555136847111361	0.999995822251386	1	0.999998939029693	1
Cluster_130	28.1305865445235	0.496907891075467	0.401337062526047	1	0.990064679351707	1
Cluster_131	50.0572911796636	0.0723226316739212	4.60786622046255e-262	5.25296749132731e-260	0	0
Cluster_132	34.6448438551946	0.316501422521886	4.73022577100142e-50	4.44641222474133e-48	4.23630327690846e-34	3.98212508029395e-32
Cluster_133	26.0408586940929	0.584817551238614	0.999999999996422	1	0.999999999996444	1
Cluster_134	28.2665381301046	0.512637424721019	0.846441332676071	1	0.969564589010162	1
Cluster_14	58.984361205008	0.0341084826826722	0	0	0	0
Cluster_15	35.2336889449781	0.290277944080639	9.85109823207765e-65	9.55556528511532e-63	2.32909506898162e-44	2.23593126622236e-42
Cluster_16	30.5573381979696	0.42328416202752	2.82736135288025e-10	2.43153076347702e-08	0.000346044017729623	0.0304518735602068
Cluster_17	46.5227657928726	0.0962306121313206	7.57787579820919e-234	8.03254834610174e-232	5.1474118859647e-277	5.45625659912258e-275
Cluster_18	25.9038952017915	0.56609962543911	0.999999953991007	1	0.999999999999999	1
Cluster_19	51.9946327325601	0.0587787392425471	9.12691114236097e-279	1.07697551479859e-276	0	0
Cluster_2	45.4198514285725	0.12054502741327	8.20342600636096e-207	8.5315630466154e-205	9.03219895941679e-229	9.39348691779346e-227
