Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
All_BS	72.658436227989	0.00268230119687467	0	0	0	0
All_PM	33.6733297781764	0.499541285177271	0.500013592969285	1	0.5	1
Cluster_1	36.6098257016411	0.393970261113294	5.23029414134813e-18	6.01483826255035e-16	2.00714289397782e-14	2.30821432807449e-12
Cluster_10	35.316702613599	0.450030440450552	2.69229760982034e-05	0.00293460439470417	3.54184939855085e-05	0.00386061584442043
Cluster_100	30.740602857601	0.582835127436712	0.999999999989164	1	0.999999999999918	1
Cluster_101	61.1465174993423	0.0204768947704824	0	0	0	0
Cluster_102	30.5028164038306	0.591608891647174	0.999999999999934	1	0.999999999999999	1
Cluster_103	29.5874090808124	0.626198856248556	1	1	1	1
Cluster_104	33.9251651138354	0.500088538706593	0.502854498290587	1	0.281390849859737	1
Cluster_105	32.3843500179185	0.538997505738151	0.999188026398738	1	0.998825798680456	1
Cluster_106	33.5947837941111	0.500230200637141	0.507421330802379	1	0.575844517803151	1
Cluster_107	32.4786733256057	0.544529910061539	0.999840075875682	1	0.997131926911325	1
Cluster_108	31.5117944568829	0.565184725470984	0.999999930996874	1	0.999999933784323	1
Cluster_109	30.5433965107722	0.606033955015591	1	1	0.999999999999864	1
Cluster_11	38.1129446864618	0.346305237612592	1.00776922597003e-35	1.18916768664464e-33	1.11991340619679e-31	1.32149781931221e-29
Cluster_110	31.0264512795557	0.58617936086859	0.999999999998353	1	0.999999999865463	1
Cluster_111	33.4053105635977	0.513408976307042	0.860738246090595	1	0.735684966838661	1
Cluster_112	32.2915939541836	0.536101868419677	0.998236096349085	1	0.999544072584563	1
Cluster_113	31.0894679312118	0.575528576078359	0.999999999482178	1	0.999999999929546	1
Cluster_114	35.0996342295924	0.467191771465577	0.00400810291272382	0.416842702923277	0.000617221963045558	0.0660427500458747
Cluster_115	29.3738836245107	0.626163440765919	1	1	1	1
Cluster_116	35.0244260077522	0.472662620307238	0.013578226178096	1	0.00133016057304233	0.138336699596402
Cluster_117	31.8250972166159	0.556261710297979	0.999997276253205	1	0.999995814499118	1
Cluster_118	34.3340930191953	0.491667242870948	0.250343531988465	1	0.0677720624275378	1
Cluster_119	34.8416245973667	0.460586783953751	0.000723353941620258	0.0766755178117473	0.00218955955831668	0.225524634506618
Cluster_12	30.2128520758251	0.615093572764482	1	1	1	1
Cluster_120	31.4264999517428	0.560966066908279	0.999999582391136	1	0.99999999637331	1
Cluster_121	37.8133108112429	0.360311217769803	7.44406479678293e-30	8.70955581223603e-28	3.01797904456725e-26	3.53103548214368e-24
Cluster_122	34.2801777458456	0.48984756164402	0.20597523780659	1	0.0853742096145039	1
Cluster_123	32.6567275176992	0.525151738478585	0.978955024658683	1	0.994132161342426	1
Cluster_124	30.7491712373831	0.589373500112149	0.999999999999745	1	0.999999999999581	1
Cluster_125	30.4418487449304	0.59870969591592	0.999999999999999	1	0.999999999999998	1
Cluster_126	35.1491012775227	0.477998553024567	0.0376986525101401	1	0.000745288299103444	0.0782552714058616
Cluster_127	31.6992349469407	0.563166042960667	0.999999834378254	1	0.999998207821334	1
Cluster_128	31.5591181313247	0.569610817574849	0.999999990755496	1	0.999999654700235	1
Cluster_129	34.8696505400129	0.475228556346876	0.0226479442028509	1	0.00326680692588292	0.329947499514175
Cluster_13	35.0036393254537	0.457433962773268	0.000290899386998698	0.0311262344088607	0.000705229349999761	0.0747543110999747
Cluster_130	30.8642818501103	0.593368703843929	0.999999999999977	1	0.999999999985685	1
Cluster_131	31.8192146648736	0.550200603412366	0.999975140678682	1	0.999998794902477	1
Cluster_132	32.3136553674712	0.535523415536604	0.997952914585632	1	0.999629764375841	1
Cluster_133	30.4031328330091	0.602334723531564	1	1	0.999999999999999	1
Cluster_134	35.6541229651194	0.449951177227507	2.61973689924525e-05	0.00288171058916978	4.36257258210226e-06	0.000479882984031249
Cluster_14	37.667029516842	0.372876125073993	4.64001295668061e-25	5.38241502974951e-23	1.38181935111725e-22	1.60291044729601e-20
Cluster_15	32.7230040964105	0.524758795266468	0.977297020290208	1	0.990041718308162	1
Cluster_16	28.5272234317796	0.654023620440467	1	1	1	1
Cluster_17	33.2419765399445	0.503215219887986	0.602505231649299	1	0.866737997478715	1
Cluster_18	33.1620979387719	0.515498489782633	0.894807133898642	1	0.893751242781415	1
Cluster_19	56.5133722238711	0.0397007560362317	3.54994234539981e-303	4.61492504901975e-301	0	0
Cluster_2	30.9301199285846	0.57439275095664	0.999999999083907	1	0.999999999999418	1
Cluster_20	69.0039728044167	0.00670954750818351	0	0	0	0
Cluster_21	45.6488929296445	0.166087651633075	1.10781683065118e-160	1.35153653339444e-158	1.06547555457625e-181	1.29988017658302e-179
Cluster_22	29.8146224563415	0.616415750782935	1	1	1	1
Cluster_23	33.3704050016721	0.496715635598294	0.395341095216784	1	0.786987462949844	1
Cluster_24	63.2626635560947	0.0169783510213994	0	0	0	0
Cluster_25	38.7486670461089	0.328353804044448	4.7120913395189e-44	5.65450960742268e-42	1.11759024153777e-39	1.34110828984532e-37
Cluster_26	52.8618386919523	0.0613337133470835	1.41600114346831e-275	1.79832145220475e-273	0	0
Cluster_27	31.2970022456221	0.582733940343463	0.999999999988541	1	0.999999984279396	1
Cluster_28	31.542110767615	0.565027885476448	0.999999926071249	1	0.99999992033309	1
Cluster_29	30.9099213705092	0.582255831327861	0.999999999985092	1	0.999999999993335	1
Cluster_3	33.0634227962281	0.523746924333978	0.972514164973454	1	0.922939894250995	1
Cluster_30	47.9284407175685	0.147908547105122	2.16437769380378e-178	2.68382834031669e-176	4.57387990086447e-210	5.67161107707194e-208
Cluster_31	32.0068497534104	0.56250495395144	0.999999780613837	1	0.999948527352361	1
Cluster_32	30.6679610756062	0.593781884474696	0.999999999999983	1	0.999999999999838	1
Cluster_33	30.8041593197073	0.588860818839688	0.999999999999655	1	0.999999999998896	1
Cluster_34	30.8789926650219	0.5870065653559	0.999999999998978	1	0.999999999968468	1
Cluster_35	52.9458483420215	0.0721598890989458	2.92335381832436e-262	3.68342581108869e-260	0	0
Cluster_36	56.5015427897517	0.0544605800381475	3.35428250727822e-284	4.29348160931612e-282	0	0
Cluster_37	32.3049222478617	0.539397194756485	0.999273402865092	1	0.999603408117949	1
Cluster_38	33.3753623556582	0.509632168051524	0.781839442584149	1	0.762249301725577	1
Cluster_39	32.4265998586823	0.539458750238211	0.999285790846352	1	0.998335620394471	1
Cluster_4	31.6899571234355	0.546783009337882	0.999921822912376	1	0.999999795312585	1
Cluster_40	32.524671479197	0.531861285986768	0.994985960945746	1	0.998024698770578	1
Cluster_41	30.3588436020119	0.602252930631188	1	1	0.999999999999999	1
Cluster_42	34.8785327158743	0.479971701342921	0.0527687732120944	1	0.0045310592935674	0.448574870063173
Cluster_43	34.810689752109	0.481758496764543	0.0702164005661589	1	0.00547183778805138	0.536240103229035
