Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
All_BS	75.1986068869685	0.00337458955985301	0	0	0	0
All_PM	27.2081828019325	0.499541285177271	0.500013592969285	1	0.5	1
Cluster_1	27.512512006416	0.459816918819282	0.000582358070989228	0.0483357198921059	0.226459657316826	1
Cluster_10	25.8207298513651	0.517711114221677	0.923830453562568	1	0.999721986403464	1
Cluster_100	28.1622805140762	0.469288873973162	0.00653401749289897	0.457381224502928	0.0185745170526266	1
Cluster_101	49.9931911711376	0.0690939201735021	5.35605300291218e-266	6.96286890378583e-264	0	0
Cluster_102	26.9105963242399	0.481930514823066	0.0721066163077198	1	0.764867538807488	1
Cluster_103	28.3903857497764	0.457269533746739	0.000276938817686415	0.0240936771387181	0.00403854427273383	0.375584617364246
Cluster_104	25.4058497866019	0.535835409074121	0.9981104011399	1	0.999991933842102	1
Cluster_105	28.0137544950417	0.466962414054213	0.00379344443600117	0.276921443828085	0.0353277955315618	1
Cluster_106	29.2413710914945	0.420798332436703	7.73547021842406e-11	8.35430783589798e-09	1.29284172506338e-06	0.000131869855956465
Cluster_107	26.308995524952	0.514868600127158	0.885240952329216	1	0.981493819673701	1
Cluster_108	25.5500779158439	0.516729599417162	0.911811896380573	1	0.999990130503023	1
Cluster_109	29.3663416153645	0.429158072790622	5.16962726573001e-09	5.37641235635921e-07	9.5914493077584e-07	9.87919278699115e-05
Cluster_11	27.4184413435498	0.466479245683949	0.0033746321792664	0.25309741344498	0.305274833079299	1
Cluster_110	27.1113667652799	0.476647705329693	0.0295661635899222	1	0.592806733873901	1
Cluster_111	27.3896019453348	0.478785282674577	0.0432220856808337	1	0.336948384935292	1
Cluster_112	27.6867022584173	0.458861544013856	0.0004427414509635	0.0376330233318975	0.124949049593428	1
Cluster_113	27.103647976756	0.478994402667292	0.0447953610785812	1	0.598834897296054	1
Cluster_114	29.3628306787377	0.419215597653134	3.32012712240565e-11	3.61893856342216e-09	3.70451539534035e-07	3.88974116510737e-05
Cluster_115	26.6996464719882	0.498095996195365	0.438855545082958	1	0.886602627475924	1
Cluster_116	29.693485058065	0.431226505621786	1.36513694073317e-08	1.39243967954783e-06	6.12574838865708e-08	6.67706574363622e-06
Cluster_117	25.7615663873252	0.525521071368943	0.98041883688066	1	0.999742863985232	1
Cluster_118	29.6413578045671	0.430567946289891	1.00505333658423e-08	1.03520493668176e-06	9.62703259526726e-08	1.0300924876936e-05
Cluster_119	24.5915339010594	0.553763232320507	0.999993031722717	1	0.999999999987255	1
Cluster_12	26.2707818254129	0.516040683957292	0.902567839579126	1	0.984952218547961	1
Cluster_120	25.444891770946	0.541265783078482	0.999573320492716	1	0.999986153575112	1
Cluster_121	30.6591785522595	0.352556070298047	4.90585531667656e-33	5.88702638001187e-31	1.34238430520043e-18	1.59743732318851e-16
Cluster_122	30.3480375039054	0.400667160234822	4.97185795436403e-16	5.71763664751863e-14	1.8011345364585e-12	2.05329337156269e-10
Cluster_123	24.6330841173863	0.560433148217168	0.999999479922527	1	0.999999999811914	1
Cluster_124	27.2283876068051	0.484896983106815	0.111129082356972	1	0.481305407381098	1
Cluster_125	27.7127673208645	0.464351787048389	0.00198271408723473	0.152668984717074	0.119175136012049	1
Cluster_126	31.5212096169868	0.389256629019446	1.782410083851e-19	2.12106799978269e-17	1.01553931369033e-18	1.2186471764284e-16
Cluster_127	25.3077344118015	0.537594378045099	0.998809931844775	1	0.999998241453072	1
Cluster_128	28.3289504117932	0.458033496300769	0.00034754371877297	0.0298887598144754	0.00608835646052069	0.554040437907383
Cluster_129	28.3518496699205	0.454475083521513	0.000117037719379703	0.010650432463553	0.0048702724939648	0.448065069444762
Cluster_13	26.8134704231311	0.493988643435234	0.313552412057813	1	0.8255836603291	1
Cluster_130	27.2294354380505	0.481207870332113	0.0644215401038741	1	0.480222976897019	1
Cluster_131	24.0726908949788	0.567203407981301	0.999999971983866	1	1	1
Cluster_132	24.571126184981	0.562881875873793	0.99999981304149	1	0.999999999952202	1
Cluster_133	27.3366886414407	0.471541973249505	0.0107290312562131	0.729574125422491	0.379116279197856	1
Cluster_134	28.7519389496378	0.438671346007579	3.59323496498578e-07	3.48543791603621e-05	0.000172995010437127	0.0167805160124013
Cluster_14	25.5301364662222	0.516461453620053	0.908294738196602	1	0.999992479312823	1
Cluster_15	25.0893485076099	0.544266823619091	0.999826491617227	1	0.999999834739357	1
Cluster_16	26.794182747741	0.503685739871594	0.617095710491468	1	0.827112489805394	1
Cluster_17	25.9444424080719	0.519608372220095	0.943476414552464	1	0.998816518465838	1
Cluster_18	23.7806443038244	0.584338598997236	0.999999999995313	1	1	1
Cluster_19	46.3091562336879	0.0981455778710573	1.17357689548531e-231	1.5021784262212e-229	3.51609810436217e-301	4.50060557358358e-299
Cluster_2	25.4308110488484	0.520289698647972	0.94946679148759	1	0.999997498040254	1
Cluster_20	68.9003039397846	0.0118220253945875	0	0	0	0
Cluster_21	33.102964605464	0.296390487738654	3.88428267667164e-61	4.69998203877268e-59	5.64558046956137e-46	6.83115236816926e-44
Cluster_22	24.772678772043	0.544629410703233	0.999844948951832	1	0.999999999756656	1
Cluster_23	24.1654642593571	0.573955960004115	0.999999998861675	1	0.999999999999977	1
Cluster_24	54.9477322421179	0.046656525471321	3.71154992618615e-294	4.89924590256572e-292	0	0
Cluster_25	29.6375333132085	0.396626422311079	3.29660305189583e-17	3.82405954019916e-15	2.51732519446436e-09	2.79423096585544e-07
Cluster_26	40.962093416182	0.164463598786429	3.16577714648044e-162	4.02053697603016e-160	2.35441778101114e-172	2.99011058188415e-170
Cluster_27	28.0810222493013	0.45534950865234	0.000154036624881378	0.0135552229895613	0.0204525883591817	1
Cluster_28	29.9442559706493	0.423181288482716	2.68180026497113e-10	2.8427082808694e-08	3.29372088035373e-09	3.6230929683891e-07
Cluster_29	26.9478858848108	0.498300900059194	0.445392007138627	1	0.72469148044542	1
Cluster_3	28.9994816794954	0.435653440951428	9.95657357889704e-08	9.85700784310807e-06	2.91145469093088e-05	0.00285322559711226
Cluster_30	35.9341534028438	0.243462892163228	8.91800984149538e-96	1.10583322034543e-93	1.57148790115053e-86	1.94864499742666e-84
Cluster_31	26.1821509163827	0.521294823774245	0.957368631621474	1	0.991376867734369	1
Cluster_32	27.9217917935619	0.465238017340095	0.0024826338112968	0.188680169658557	0.0511804440964215	1
Cluster_33	26.9003746774521	0.492164746079422	0.263300369485237	1	0.765525369285339	1
Cluster_34	25.6244222067219	0.519416959968699	0.941696461875683	1	0.999968562175676	1
Cluster_35	36.1960595326093	0.230133179079231	9.48814170849057e-106	1.19550585526981e-103	4.29528798661097e-94	5.41206286312982e-92
Cluster_36	47.8104909928177	0.0841522461005024	6.71725938898752e-248	8.6652646117939e-246	0	0
