Taxonomy	Occupancy	Sample_number	RA	Group	Compartment	Rank	Tax_number
67-14	0.709302325581395	86	0.00156802908023734	soil	soil	Family	114
A21b	0.848837209302326	86	0.0100844866263504	soil	soil	Family	114
A4b	0.0232558139534884	86	1.64975082388123e-05	soil	soil	Family	114
Acidobacteriaceae_(Subgroup_1)	0.267441860465116	86	0.000376182022649014	soil	soil	Family	114
Acidobacteriae_fa	0.116279069767442	86	0.000139831369424586	soil	soil	Family	114
Acidothermaceae	0.0348837209302326	86	3.96159227013191e-05	soil	soil	Family	114
AKYH767	0.27906976744186	86	0.000304426951595243	soil	soil	Family	114
Alcaligenaceae	0.0581395348837209	86	7.95229323336461e-05	soil	soil	Family	114
Alicyclobacillaceae	0.406976744186047	86	0.000816723242336424	soil	soil	Family	114
B1-7BS	0.0813953488372093	86	6.51235736069383e-05	soil	soil	Family	114
Bacillaceae	0.953488372093023	86	0.0157930736608186	soil	soil	Family	114
Bacteriovoracaceae	0.418604651162791	86	0.00314529437679448	soil	soil	Family	114
Bdellovibrionaceae	0.0581395348837209	86	5.85646007334454e-05	soil	soil	Family	114
Beijerinckiaceae	0.5	86	0.000836235949692325	soil	soil	Family	114
BIrii41	0.63953488372093	86	0.00119774760271909	soil	soil	Family	114
Bryobacteraceae	0.476744186046512	86	0.000764143299068472	soil	soil	Family	114
Burkholderiaceae	0.604651162790698	86	0.00262296616943373	soil	soil	Family	114
Catenulisporaceae	0.0116279069767442	86	1.58202816010125e-05	soil	soil	Family	114
Caulobacteraceae	0.906976744186046	86	0.00354257895464979	soil	soil	Family	114
Cellulomonadaceae	0.0813953488372093	86	7.25827148079531e-05	soil	soil	Family	114
Cellvibrionaceae	0.116279069767442	86	0.000286840760096006	soil	soil	Family	114
Chitinophagaceae	0.883720930232558	86	0.0032794869960848	soil	soil	Family	114
Clostridiaceae	0.430232558139535	86	0.00151954802243107	soil	soil	Family	114
Comamonadaceae	1	86	0.0324680738673771	soil	soil	Family	114
Crocinitomicaceae	0.0116279069767442	86	8.11438030477612e-06	soil	soil	Family	114
Devosiaceae	0.616279069767442	86	0.00168417001994272	soil	soil	Family	114
Dongiaceae	0.883720930232558	86	0.00270870146462194	soil	soil	Family	114
Entotheonellaceae	0.186046511627907	86	0.000178248298100118	soil	soil	Family	114
env.OPS_17	0.546511627906977	86	0.000833664573075991	soil	soil	Family	114
Erwiniaceae	0.0348837209302326	86	3.18143018032928e-05	soil	soil	Family	114
Fibrobacteraceae	0.290697674418605	86	0.000431736569749966	soil	soil	Family	114
Flavobacteriaceae	0.86046511627907	86	0.00352913808855514	soil	soil	Family	114
Frankiaceae	0.0348837209302326	86	3.19974321168749e-05	soil	soil	Family	114
Gaiellaceae	0.988372093023256	86	0.00941028151873377	soil	soil	Family	114
Geminicoccaceae	0.0232558139534884	86	1.60675903083492e-05	soil	soil	Family	114
Gemmatimonadaceae	0.988372093023256	86	0.0304524194447677	soil	soil	Family	114
Geobacteraceae	0.267441860465116	86	0.0005023853821068	soil	soil	Family	114
Geodermatophilaceae	0.290697674418605	86	0.000397871307154177	soil	soil	Family	114
Glycomycetaceae	0.0697674418604651	86	6.42646653059338e-05	soil	soil	Family	114
Gracilibacteraceae	0.22093023255814	86	0.000294507546461366	soil	soil	Family	114
Haliangiaceae	0.825581395348837	86	0.00193458135807499	soil	soil	Family	114
Herpetosiphonaceae	0.0116279069767442	86	8.40774184869428e-06	soil	soil	Family	114
Hymenobacteraceae	0.395348837209302	86	0.00084591196846452	soil	soil	Family	114
Hyphomicrobiaceae	0.709302325581395	86	0.00125086139234812	soil	soil	Family	114
Hyphomonadaceae	0.302325581395349	86	0.00035256321299109	soil	soil	Family	114
Iamiaceae	0.13953488372093	86	0.000120661880935632	soil	soil	Family	114
Ilumatobacteraceae	0.767441860465116	86	0.00155526193665918	soil	soil	Family	114
Intrasporangiaceae	0.732558139534884	86	0.00223991607862992	soil	soil	Family	114
KF-JG30-B3	0.104651162790698	86	9.59762608147314e-05	soil	soil	Family	114
Kineosporiaceae	0.0232558139534884	86	1.68691421126423e-05	soil	soil	Family	114
Latescibacteraceae	0.0581395348837209	86	4.81974036770004e-05	soil	soil	Family	114
Leptospiraceae	0.0930232558139535	86	0.000114463583735258	soil	soil	Family	114
Methyloligellaceae	0.941860465116279	86	0.00665338561661797	soil	soil	Family	114
Methylophilaceae	0.86046511627907	86	0.0124240347233051	soil	soil	Family	114
Microbacteriaceae	0.732558139534884	86	0.0027788235557215	soil	soil	Family	114
Micrococcaceae	1	86	0.0186918360340584	soil	soil	Family	114
Micromonosporaceae	0.662790697674419	86	0.00103686182873772	soil	soil	Family	114
Micropepsaceae	0.406976744186047	86	0.000575544740794749	soil	soil	Family	114
Microscillaceae	0.709302325581395	86	0.00233190694435912	soil	soil	Family	114
Microtrichaceae	0.0697674418604651	86	4.78135124210529e-05	soil	soil	Family	114
Moraxellaceae	0.127906976744186	86	0.000128524720233621	soil	soil	Family	114
Mycobacteriaceae	0.872093023255814	86	0.00331464824570047	soil	soil	Family	114
Myxococcaceae	0.267441860465116	86	0.000393963246467263	soil	soil	Family	114
Nakamurellaceae	0.197674418604651	86	0.000242299088475493	soil	soil	Family	114
Nannocystaceae	0.0581395348837209	86	4.80034317180912e-05	soil	soil	Family	114
Nitrosomonadaceae	0.976744186046512	86	0.0131159168186355	soil	soil	Family	114
Nitrososphaeraceae	0.0348837209302326	86	2.50058847597879e-05	soil	soil	Family	114
Nitrospiraceae	0.988372093023256	86	0.0271429190443185	soil	soil	Family	114
Nocardiaceae	0.116279069767442	86	0.000119377519262286	soil	soil	Family	114
Nocardioidaceae	0.941860465116279	86	0.0092858039835914	soil	soil	Family	114
NS9_marine_group	0.0930232558139535	86	7.37906035047998e-05	soil	soil	Family	114
Oligoflexales_fa	0.197674418604651	86	0.000235895088147137	soil	soil	Family	114
Oxalobacteraceae	1	86	0.0388056417889497	soil	soil	Family	114
Paenibacillaceae	0.872093023255814	86	0.0047038168455141	soil	soil	Family	114
Pedosphaeraceae	0.930232558139535	86	0.0056750753065464	soil	soil	Family	114
Peptostreptococcaceae	0.232558139534884	86	0.000357925422176003	soil	soil	Family	114
Phaselicystidaceae	0.0465116279069767	86	3.16648962396023e-05	soil	soil	Family	114
Phycisphaeraceae	0.162790697674419	86	0.000145736549184265	soil	soil	Family	114
Planococcaceae	0.511627906976744	86	0.000909963584667991	soil	soil	Family	114
Polyangiaceae	0.546511627906977	86	0.000669987020274415	soil	soil	Family	114
Promicromonosporaceae	0.0116279069767442	86	7.96431984708506e-06	soil	soil	Family	114
Propionibacteriaceae	0.802325581395349	86	0.00219657644143088	soil	soil	Family	114
Pseudohongiellaceae	0.0930232558139535	86	8.80888142039089e-05	soil	soil	Family	114
Pseudomonadaceae	0.790697674418605	86	0.0122962089284505	soil	soil	Family	114
Pseudonocardiaceae	0.523255813953488	86	0.00116209465454774	soil	soil	Family	114
Reyranellaceae	0.313953488372093	86	0.000319533102382438	soil	soil	Family	114
