C1	C2	Distance	Group1	Group2
CAS_bs1	arabidopsis_thaliana_root_bs1	67.6725006989229	CAS	arabidopsis_thaliana_root
CAS_bs2	arabidopsis_thaliana_root_bs1	78.1240010415276	CAS	arabidopsis_thaliana_root
CAS_bs3	arabidopsis_thaliana_root_bs1	83.0263605926268	CAS	arabidopsis_thaliana_root
CAS_bs4	arabidopsis_thaliana_root_bs1	83.3166380116253	CAS	arabidopsis_thaliana_root
CAS_bs5	arabidopsis_thaliana_root_bs1	78.5738488403609	CAS	arabidopsis_thaliana_root
CAS_bs6	arabidopsis_thaliana_root_bs1	62.0462411175388	CAS	arabidopsis_thaliana_root
CAS_bs7	arabidopsis_thaliana_root_bs1	75.2333308485749	CAS	arabidopsis_thaliana_root
CAS_bs8	arabidopsis_thaliana_root_bs1	68.2065729171857	CAS	arabidopsis_thaliana_root
CAS_bs9	arabidopsis_thaliana_root_bs1	81.7815704320995	CAS	arabidopsis_thaliana_root
CAS_bs10	arabidopsis_thaliana_root_bs1	47.2132238507477	CAS	arabidopsis_thaliana_root
CAS_bs11	arabidopsis_thaliana_root_bs1	87.234537965661	CAS	arabidopsis_thaliana_root
CAS_bs12	arabidopsis_thaliana_root_bs1	75.0427348416907	CAS	arabidopsis_thaliana_root
CAS_bs13	arabidopsis_thaliana_root_bs1	74.9706451229557	CAS	arabidopsis_thaliana_root
CAS_bs14	arabidopsis_thaliana_root_bs1	63.0508463094112	CAS	arabidopsis_thaliana_root
CAS_bs15	arabidopsis_thaliana_root_bs1	69.2042449373117	CAS	arabidopsis_thaliana_root
CAS_bs16	arabidopsis_thaliana_root_bs1	67.9114132804517	CAS	arabidopsis_thaliana_root
CAS_bs17	arabidopsis_thaliana_root_bs1	79.3193715865922	CAS	arabidopsis_thaliana_root
CAS_bs18	arabidopsis_thaliana_root_bs1	75.0269016710867	CAS	arabidopsis_thaliana_root
CAS_bs19	arabidopsis_thaliana_root_bs1	75.1000434725841	CAS	arabidopsis_thaliana_root
CAS_bs20	arabidopsis_thaliana_root_bs1	75.7712699498806	CAS	arabidopsis_thaliana_root
CAS_bs21	arabidopsis_thaliana_root_bs1	57.3760828785884	CAS	arabidopsis_thaliana_root
CAS_bs22	arabidopsis_thaliana_root_bs1	73.3503007383698	CAS	arabidopsis_thaliana_root
CAS_bs23	arabidopsis_thaliana_root_bs1	52.7154438758301	CAS	arabidopsis_thaliana_root
CAS_bs24	arabidopsis_thaliana_root_bs1	76.1249582303498	CAS	arabidopsis_thaliana_root
CAS_bs25	arabidopsis_thaliana_root_bs1	76.9636260419409	CAS	arabidopsis_thaliana_root
CAS_bs26	arabidopsis_thaliana_root_bs1	67.7083516933691	CAS	arabidopsis_thaliana_root
CAS_bs27	arabidopsis_thaliana_root_bs1	63.4717319361017	CAS	arabidopsis_thaliana_root
CAS_bs28	arabidopsis_thaliana_root_bs1	70.2218406631327	CAS	arabidopsis_thaliana_root
CAS_bs29	arabidopsis_thaliana_root_bs1	69.9515980467306	CAS	arabidopsis_thaliana_root
CAS_bs30	arabidopsis_thaliana_root_bs1	83.8168882744141	CAS	arabidopsis_thaliana_root
CAS_bs31	arabidopsis_thaliana_root_bs1	78.7762457367187	CAS	arabidopsis_thaliana_root
CAS_bs32	arabidopsis_thaliana_root_bs1	66.3864061953286	CAS	arabidopsis_thaliana_root
CAS_bs33	arabidopsis_thaliana_root_bs1	92.5708952461558	CAS	arabidopsis_thaliana_root
CAS_bs1	arabidopsis_thaliana_root_bs2	57.5497415665015	CAS	arabidopsis_thaliana_root
CAS_bs2	arabidopsis_thaliana_root_bs2	65.3849743614101	CAS	arabidopsis_thaliana_root
CAS_bs3	arabidopsis_thaliana_root_bs2	74.6846231606501	CAS	arabidopsis_thaliana_root
CAS_bs4	arabidopsis_thaliana_root_bs2	73.3852904865393	CAS	arabidopsis_thaliana_root
CAS_bs5	arabidopsis_thaliana_root_bs2	67.8490561177592	CAS	arabidopsis_thaliana_root
CAS_bs6	arabidopsis_thaliana_root_bs2	51.6780354188143	CAS	arabidopsis_thaliana_root
CAS_bs7	arabidopsis_thaliana_root_bs2	64.1612857150089	CAS	arabidopsis_thaliana_root
CAS_bs8	arabidopsis_thaliana_root_bs2	58.7108705408907	CAS	arabidopsis_thaliana_root
CAS_bs9	arabidopsis_thaliana_root_bs2	70.179482652023	CAS	arabidopsis_thaliana_root
CAS_bs10	arabidopsis_thaliana_root_bs2	38.9479991285615	CAS	arabidopsis_thaliana_root
CAS_bs11	arabidopsis_thaliana_root_bs2	77.4654354857003	CAS	arabidopsis_thaliana_root
CAS_bs12	arabidopsis_thaliana_root_bs2	64.5142898659898	CAS	arabidopsis_thaliana_root
CAS_bs13	arabidopsis_thaliana_root_bs2	68.5459600785245	CAS	arabidopsis_thaliana_root
CAS_bs14	arabidopsis_thaliana_root_bs2	52.1726871986898	CAS	arabidopsis_thaliana_root
