Group	Number_of_ASVs	Compartment
1	11	soil
10	16	soil
100	4	soil
101	29	soil
102	2	soil
103	2	soil
104	7	soil
105	5	soil
106	5	soil
107	3	soil
108	7	soil
11	23	soil
110	12	soil
111	2	soil
112	4	soil
113	12	soil
114	3	soil
115	14	soil
116	6	soil
117	17	soil
118	13	soil
119	11	soil
12	15	soil
120	1	soil
121	22	soil
122	5	soil
123	5	soil
124	4	soil
125	8	soil
126	3	soil
127	6	soil
128	10	soil
129	1	soil
13	8	soil
130	14	soil
131	3	soil
132	5	soil
133	13	soil
134	1	soil
14	15	soil
15	21	soil
16	15	soil
17	10	soil
18	22	soil
19	16	soil
2	13	soil
20	52	soil
21	19	soil
22	27	soil
23	15	soil
24	35	soil
25	53	soil
26	46	soil
27	4	soil
28	6	soil
29	20	soil
3	7	soil
30	34	soil
31	11	soil
32	6	soil
33	2	soil
34	1	soil
35	18	soil
36	28	soil
37	3	soil
38	9	soil
39	20	soil
4	10	soil
40	9	soil
41	15	soil
42	5	soil
43	3	soil
44	9	soil
45	6	soil
46	14	soil
47	16	soil
48	15	soil
49	14	soil
5	12	soil
50	7	soil
51	37	soil
52	3	soil
53	7	soil
54	3	soil
55	1	soil
56	49	soil
57	7	soil
58	15	soil
59	12	soil
6	23	soil
60	20	soil
61	22	soil
62	12	soil
63	5	soil
64	25	soil
66	3	soil
67	35	soil
68	3	soil
69	2	soil
7	6	soil
70	5	soil
71	3	soil
72	5	soil
73	19	soil
74	2	soil
75	15	soil
76	6	soil
77	3	soil
78	1	soil
79	6	soil
8	2	soil
81	1	soil
82	13	soil
83	7	soil
84	1	soil
85	33	soil
86	1	soil
87	6	soil
88	7	soil
89	1	soil
9	22	soil
90	6	soil
91	5	soil
93	1	soil
94	1	soil
95	8	soil
96	5	soil
97	2	soil
98	2	soil
99	4	soil
1	13	arabidopsis_thaliana_root
10	14	arabidopsis_thaliana_root
100	2	arabidopsis_thaliana_root
101	44	arabidopsis_thaliana_root
102	3	arabidopsis_thaliana_root
104	5	arabidopsis_thaliana_root
105	5	arabidopsis_thaliana_root
106	1	arabidopsis_thaliana_root
107	2	arabidopsis_thaliana_root
108	5	arabidopsis_thaliana_root
109	3	arabidopsis_thaliana_root
11	24	arabidopsis_thaliana_root
110	8	arabidopsis_thaliana_root
111	1	arabidopsis_thaliana_root
112	2	arabidopsis_thaliana_root
113	7	arabidopsis_thaliana_root
114	8	arabidopsis_thaliana_root
115	8	arabidopsis_thaliana_root
