Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T	Decrease	Decrease_ratio	Comparison	Color	Sig
Cluster_56	93.8293746853389	0.000210806444268679	0	0	0	0	5.83398058090449	0.0585368670894075	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_20	88.5304920362134	0.000533761916888294	0	0	0	0	11.13286323003	0.111704680223632	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_67	82.241971009969	0.00115268963726114	0	0	0	0	17.4213842562744	0.174802305318082	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_24	81.2030036641163	0.00237705346557362	0	0	0	0	18.4603516021271	0.18522707320872	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_85	74.8152254908872	0.00545482755189633	0	0	0	0	24.8481297753562	0.249320622499375	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_101	77.4406612612377	0.00467737338543344	0	0	0	0	22.2226940050057	0.222977582338457	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_36	73.3509794592765	0.00502056627670285	0	0	0	0	26.3123758069669	0.264012542390082	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_19	68.5289864304855	0.0120176537748688	0	0	0	0	31.1343688357579	0.312395350854732	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_26	63.595443932056	0.025980629417449	0	0	0	0	36.0679113341874	0.361897421954485	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_35	65.1054368697049	0.0160583916986109	0	0	0	0	34.5579183965385	0.346746487755901	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_73	66.8462120525283	0.0173957477810514	0	0	0	0	32.8171432137151	0.329279935700002	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_30	57.5461342454949	0.053551582650461	2.37042158683262e-285	2.93932276767245e-283	0	0	42.1172210207485	0.42259485352701	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_61	53.6337228879863	0.0868876705213328	1.11143437302099e-244	1.35594993508561e-242	8.10267659179644e-322	9.88526544199166e-320	46.0296323782571	0.461851121260089	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_21	52.7992289342844	0.0877005401704328	9.96038805972256e-244	1.20520695522643e-241	1.1683306219865e-312	1.41368005260367e-310	46.864126331959	0.470224248488975	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_95	55.28459675104	0.0790338656336589	5.59227012733379e-254	6.87849225662056e-252	0	0	44.3787585152034	0.445286619105375	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_25	48.3555876366365	0.15017766767123	3.95298966962879e-176	4.74358760355455e-174	2.72606290939917e-194	3.271275491279e-192	51.3077676296069	0.514810759607099	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_121	44.8811747057533	0.20997586687826	8.71880584834197e-122	1.02881909010435e-119	6.10676848236105e-125	7.20598680918604e-123	54.7821805604901	0.549672248281663	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
