Cluster	Decrease	P_value	Comparison
Cluster_1	-3.64875494160567	0.999999999997597	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_10	0.0417446899253093	0.469430108897515	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_100	-3.84744525179573	0.999999999990165	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_101	-1.39617494913306	0.997586676680277	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_102	-4.11047737254131	0.999999999999998	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_103	-4.16376929069872	0.999999999999991	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_104	-3.91150104227268	0.999999999999996	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_105	-2.77234700667962	0.999999805826147	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_106	-5.27112604895481	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_107	-7.22172829920743	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_108	-3.26719045828465	0.999999999431951	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_109	-4.66778423438736	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_11	-3.31955997362057	0.999999999736659	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_110	-6.78114043624751	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_111	-4.15642038923458	0.999999999999998	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_112	-2.29724589640128	0.999989464090026	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_113	-6.31957995228616	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_114	-3.10386591361456	0.999999994514028	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_115	0.318016488725547	0.274310729419653	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_116	-5.10809212415488	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_117	-6.2614571136167	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_118	-4.93131224681635	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_119	-8.80766334327114	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
