Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T	Decrease	Decrease_ratio	Comparison	Color	Sig
Comamonadaceae	100.161993863568	5.14367724015576e-05	0	0	0	0	-0.4986385973246	-0.00500322908046316	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Oxalobacteraceae	98.4479384684733	6.83012879430519e-05	0	0	0	0	1.2154167977701	0.0121952225521929	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Roseiflexaceae	94.5582519405834	0.00022176837937065	0	0	0	0	5.10510332566	0.0512234743855661	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Sphingomonadaceae	88.1605686218322	0.000658559331895352	0	0	0	0	11.5027866444112	0.115416409709289	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Gemmatimonadaceae	85.3032168883632	0.000839852873966416	0	0	0	0	14.3601383778802	0.144086443201898	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Pedosphaeraceae	80.1006705908258	0.00259376249028182	0	0	0	0	19.5626846754176	0.196287638753053	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Xanthomonadaceae	77.8791162436724	0.00261231345737747	0	0	0	0	21.784239022571	0.218578222300223	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Flavobacteriaceae	76.8604212596275	0.00376668954619275	0	0	0	0	22.8029340066159	0.228799581809177	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Nitrosomonadaceae	71.0024867550167	0.0100470351338452	0	0	0	0	28.6608685112267	0.287576797255734	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Nocardioidaceae	70.2993365364278	0.00768094360337358	0	0	0	0	29.3640187298156	0.294632050580394	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Fibrobacteraceae	68.7427772074937	0.0135244982385014	0	0	0	0	30.9205780587497	0.310250221620049	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Methylophilaceae	69.9892434557105	0.0116086892729876	0	0	0	0	29.6741118105329	0.297743455769281	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Xanthobacteraceae	67.2205593628176	0.0157396523548766	0	0	0	0	32.4427959034258	0.325523817824086	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Gaiellaceae	66.0204245937049	0.0204684625127116	0	0	0	0	33.6429306725385	0.337565703890501	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
SC-I-84	63.0748658683759	0.0280069009597596	0	0	0	0	36.5884893978675	0.367120786773875	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Nitrospiraceae	58.370141030958	0.0504839272734632	2.9781237748193e-289	3.12702996356026e-287	0	0	41.2932142352854	0.41432695221803	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Bacillaceae	56.735008761716	0.0539841574741003	8.37046232758561e-285	8.70528082068903e-283	0	0	42.9283465045274	0.430733506712146	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Microscillaceae	52.2947281943107	0.0905287194267414	1.9828955963071e-240	2.02255350823324e-238	3.50629147259105e-302	3.57641730204287e-300	47.3686270719327	0.475286297008473	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Mycobacteriaceae	53.3462733219048	0.0879315840333513	1.85624486909748e-243	1.9119322151704e-241	9.97162811688471e-319	1.02707769603913e-316	46.3170819443386	0.464735326445772	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Solibacteraceae	50.5535928950234	0.126499887850972	1.9039460413373e-200	1.9039460413373e-198	2.39130071256347e-243	2.39130071256347e-241	49.10976237122	0.492756462393092	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Pseudonocardiaceae	49.5819929827098	0.138124598413724	2.61097600901818e-188	2.50653696865745e-186	4.65080885379139e-221	4.46477649963973e-219	50.0813622835336	0.502505280398647	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Caulobacteraceae	52.0846361166642	0.0949961295936832	2.89920286582985e-235	2.92819489448815e-233	2.26592600885554e-295	2.2885852689441e-293	47.5787191495792	0.477394314314184	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Haliangiaceae	50.9854243876024	0.129088590986591	1.03659457222252e-197	1.01586268077807e-195	3.97158553983804e-237	3.93186968443966e-235	48.677930878641	0.488423560982885	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Bryobacteraceae	49.4647585496218	0.131966520563747	1.08381304282688e-194	1.05129865154207e-192	1.37949551815535e-227	1.33811065261069e-225	50.1985967166216	0.503681584695997	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Micrococcaceae	48.2813576769087	0.154604603000872	9.27229777990037e-172	8.71595991310635e-170	3.27403465310881e-193	3.07759257392228e-191	51.3819975893347	0.515555566557753	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Chitinophagaceae	47.8685059049397	0.156907452598063	1.6542650094758e-169	1.53846645881249e-167	9.34417257506105e-190	8.69008049480678e-188	51.7948493613037	0.519698029661329	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Chloroflexaceae	48.688215491328	0.15320147530782	3.87286205503216e-173	3.67921895228055e-171	2.75813911012919e-196	2.62023215462273e-194	50.9751397749154	0.511473245494686	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Rhizobiaceae	46.6572941410141	0.171219523712352	7.48580573841687e-156	6.88694127934352e-154	6.52769742772971e-170	6.00548163351133e-168	53.0060611252293	0.531851059836662	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Micromonosporaceae	49.9265140524254	0.128501705845747	2.49462216812726e-198	2.46967594644599e-196	1.78330784066643e-235	1.7476416838531e-233	49.736841213818	0.499048432404766	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Methyloligellaceae	46.1934175644772	0.176172631926889	2.91760628036473e-151	2.6550217151319e-149	1.7719356962262e-160	1.59474212660358e-158	53.4699377017662	0.536505494511249	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Solirubrobacteraceae	46.4541196053142	0.186097399323058	2.84900923642908e-142	2.50712812805759e-140	7.31541976503786e-153	6.43756939323332e-151	53.2092356609292	0.53388966806089	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Planococcaceae	47.6404974561176	0.183380525869324	1.0508284228744e-144	9.35237296358216e-143	1.02228796799134e-156	9.09836291512293e-155	52.0228578101258	0.521985815861312	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Ilumatobacteraceae	43.2089508735781	0.251924662836173	1.04790369068403e-89	8.27843915640384e-88	5.67176553533957e-89	4.48069477291826e-87	56.4544043926653	0.566450971290817	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Beijerinckiaceae	45.4202271544438	0.193977344209822	2.47475406861074e-135	2.15303603969134e-133	1.54955983581945e-141	1.34811705716292e-139	54.2431281117996	0.544263515580958	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Rhizobiales_Incertae_Sedis	45.2731381184646	0.207715178569923	1.17533830273497e-123	9.99037557324725e-122	2.40543002086485e-129	2.04461551773512e-127	54.3902171477788	0.545739374341545	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Saccharimonadaceae	43.7929742884307	0.22565986633185	3.2931717098836e-109	2.70040080210455e-107	5.30793262602295e-108	4.35250475333882e-106	55.8703809778127	0.560591009890837	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Phycisphaeraceae	46.8395421240885	0.178572452488444	4.61648377397575e-149	4.15483539657817e-147	7.16101075564895e-163	6.51651978764054e-161	52.8238131421549	0.530022423999673	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Unknown_Family	44.0177968972939	0.237530798821508	3.75029730280721e-100	3.03774081527384e-98	2.85567070151304e-102	2.31309326822556e-100	55.6455583689495	0.558335189702338	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
A21b	42.203399832117	0.264623643038918	5.62066352404823e-81	4.15929100779569e-79	7.50995068195611e-76	5.48226399782796e-74	57.4599554341264	0.576540447395397	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Iamiaceae	43.9441322889462	0.221340863901673	1.32935762517414e-112	1.11666040514628e-110	2.53573536729153e-112	2.10466035485197e-110	55.7192229772972	0.559074324042647	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Rhodanobacteraceae	44.6809660900958	0.225614332139888	3.03464549488303e-109	2.51875576075291e-107	3.13062488602848e-113	2.62972490426392e-111	54.9823891761476	0.551681097122068	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Propionibacteriaceae	41.2051351423697	0.287270157733814	1.53223117199324e-66	1.10320644383513e-64	1.23182579485256e-60	8.62278056396792e-59	58.4582201238737	0.586556813863098	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Promicromonosporaceae	43.1263883972391	0.263915333386175	1.88320834012252e-81	1.41240625509189e-79	7.7401148107807e-82	5.88248725619333e-80	56.5369668690043	0.567279384864878	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Streptomycetaceae	45.5774348183565	0.200782176230815	1.7545733613317e-129	1.50893309074526e-127	5.78731796331123e-137	4.97709344844766e-135	54.0859204478869	0.542686128752141	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
67-14	42.024924059126	0.28996932344623	6.44364654734511e-65	4.44611611766813e-63	2.99480635457752e-60	2.03646832111271e-58	57.6384312071174	0.578331233713139	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
