Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
67-14	18.5577665595384	0.66971267924872	1	1	1	1
A21b	17.1152132314007	0.734146933778107	1	1	1	1
A4b	20.0994909500185	0.603557400908323	1	1	1	1
Acidobacteriaceae_(Subgroup_1)	20.9986996718874	0.554945434859966	0.999995510360843	1	0.999999976019701	1
Acidobacteriae_fa	18.7623241419413	0.660694379562905	1	1	1	1
Acidothermaceae	20.8821120435793	0.564025290027506	0.999999885544979	1	0.99999999597997	1
AKYH767	19.9213774031138	0.60871204008358	1	1	1	1
Alcaligenaceae	20.1686762578993	0.600850646163913	1	1	1	1
Alicyclobacillaceae	19.9709349281823	0.613111148962579	1	1	1	1
All_BS	31.2795958780643	0.211013877809839	6.22828406823715e-121	7.53622372256695e-119	3.84523779338959e-130	4.6527377300014e-128
All_PM	22.5029692331908	0.499541285177271	0.500013592969285	1	0.5	1
B1-7BS	18.3828859996316	0.680130733724478	1	1	1	1
Bacillaceae	18.9691115591003	0.650829481196908	1	1	1	1
Bacteriovoracaceae	21.8421775014487	0.525981472643226	0.982121692711645	1	0.988608650537155	1
Bdellovibrionaceae	18.6448917074536	0.66578071745022	1	1	1	1
Beijerinckiaceae	19.912019512286	0.608221282681323	1	1	1	1
BIrii41	20.5424741276893	0.584326793836357	0.999999999995282	1	0.999999999985331	1
Bryobacteraceae	17.9778353365413	0.706499246999381	1	1	1	1
Burkholderiaceae	20.9962122613553	0.565664520938139	0.999999944173064	1	0.999999795197699	1
Catenulisporaceae	19.6418108693343	0.631906651533575	1	1	1	1
Caulobacteraceae	17.9606875395851	0.702072311669739	1	1	1	1
Cellulomonadaceae	20.5531399152875	0.590092771699994	0.999999999999834	1	0.999999999992136	1
Cellvibrionaceae	20.8058902892056	0.56693273250686	0.999999968337237	1	0.999999999263346	1
Chitinophagaceae	17.5437276950063	0.714389310595469	1	1	1	1
Chloroflexaceae	17.3543120224047	0.732785967373908	1	1	1	1
Clostridiaceae	19.6455571420862	0.621100713200362	1	1	1	1
Comamonadaceae	28.8327364558473	0.277218063245306	9.05387424549308e-73	1.08646490945917e-70	1.34819291456403e-76	1.61783149747684e-74
Crocinitomicaceae	17.6594142326903	0.712776219683925	1	1	1	1
Cytophagaceae	22.4272347457737	0.504410070814101	0.639228908204847	1	0.601142622428227	1
Deinococcaceae	18.9033086728625	0.652085044378973	1	1	1	1
Devosiaceae	20.8625281727018	0.573481223891622	0.999999998560577	1	0.999999987810956	1
Dongiaceae	19.4784540014825	0.625369122083914	1	1	1	1
Enterobacteriaceae	19.9393861280053	0.608336804612782	1	1	1	1
Entotheonellaceae	21.6655583106786	0.538399658662205	0.999042980353468	1	0.997909709018535	1
env.OPS_17	20.1001004278649	0.604396410556512	1	1	1	1
Erwiniaceae	18.6800512472203	0.663712284619056	1	1	1	1
Fibrobacteraceae	19.4039294790627	0.635787176559673	1	1	1	1
Flavobacteriaceae	19.3865174639875	0.636171687514019	1	1	1	1
Frankiaceae	21.6923891371589	0.531244044717949	0.994214714391761	1	0.99738013990449	1
Gaiellaceae	17.1456374128002	0.738375711050137	1	1	1	1
Geminicoccaceae	19.4742567330299	0.63322545664892	1	1	1	1
Gemmatimonadaceae	21.7534659278035	0.527887162899415	0.987892228480305	1	0.994954171743575	1
Geobacteraceae	18.5912291332358	0.668256428331712	1	1	1	1
Geodermatophilaceae	19.8493305668685	0.609911107138581	1	1	1	1
Glycomycetaceae	20.015365334097	0.606387266616186	1	1	1	1
Gracilibacteraceae	19.7750602221562	0.616424183040706	1	1	1	1
Haliangiaceae	17.1198000613219	0.737201097542671	1	1	1	1
Herpetosiphonaceae	20.0795182368772	0.605008592470668	1	1	1	1
Hymenobacteraceae	21.0929319083758	0.555476667099523	0.999996325626294	1	0.999999669894644	1
Hyphomicrobiaceae	17.7721609041976	0.711266002317184	1	1	1	1
Hyphomonadaceae	18.3434691599815	0.680075080823191	1	1	1	1
Iamiaceae	17.6631751143242	0.711212035867452	1	1	1	1
Ilumatobacteraceae	17.9528508243572	0.695625007378226	1	1	1	1
Intrasporangiaceae	18.5479281634261	0.668247152848164	1	1	1	1
