Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
67-14	36.0395025888731	0.632690008280477	1	1	1	1
A21b	41.8604374068006	0.522458475346608	0.965236084510608	1	0.999999006462564	1
A4b	42.2743228397132	0.529838387347566	0.992053853241477	1	0.999962547685535	1
Acidobacteriaceae_(Subgroup_1)	37.2556605176752	0.612300808990811	1	1	1	1
Acidobacteriae_fa	39.6682571095871	0.561851453974207	0.999999711118081	1	0.999999999999999	1
Acidothermaceae	38.3374116749983	0.602921608672409	1	1	1	1
AKYH767	40.6114154392402	0.559757724369731	0.999999314935316	1	0.999999999563697	1
Alcaligenaceae	34.5484505852797	0.664023434930796	1	1	1	1
Alicyclobacillaceae	40.8425285528657	0.557331763809087	0.999998200136541	1	0.999999996422481	1
All_BS	70.8726588395093	0.128254640693064	1.36865745602209e-198	1.60132922354585e-196	4.05693505293153e-221	4.74661401192989e-219
All_PM	45.2893905447991	0.499541285177271	0.500013592969285	1	0.5	1
B1-7BS	39.4022971869126	0.576712465069372	0.999999999716774	1	0.999999999999998	1
Bacillaceae	38.8841634585221	0.570125185298864	0.99999999274015	1	1	1
Bacteriovoracaceae	41.7520858302458	0.542281870139857	0.99968341868971	1	0.999997635015352	1
Bdellovibrionaceae	40.1296760682259	0.553746367804965	0.999992988331723	1	0.999999999999694	1
Beijerinckiaceae	36.3526915824688	0.636768691364188	1	1	1	1
BIrii41	40.9034894866571	0.546508960960333	0.999914568935817	1	0.999999998344819	1
Bryobacteraceae	37.4372797918849	0.609677533598331	1	1	1	1
Burkholderiaceae	42.2658347296275	0.523216535320198	0.969688618385055	1	0.999976898865263	1
Catenulisporaceae	40.8924897288788	0.548264557028203	0.999951999852935	1	0.999999998260975	1
Caulobacteraceae	39.4193642731448	0.564084315831901	0.999999888432922	1	1	1
Cellulomonadaceae	43.8027436381781	0.50616566688197	0.690855377320782	1	0.971418536083657	1
Cellvibrionaceae	42.6443723163381	0.516299554270854	0.906121449765338	1	0.99980159199933	1
Chitinophagaceae	38.3641424827546	0.591420852298886	0.999999999999926	1	1	1
Chloroflexaceae	36.9900967455784	0.614897944384201	1	1	1	1
Clostridiaceae	37.5534277778019	0.606453038226797	1	1	1	1
Comamonadaceae	73.5850546803343	0.110527505181622	9.52207700592477e-218	1.13312716370505e-215	1.03796546859505e-258	1.23517890762811e-256
Crocinitomicaceae	37.3997985452858	0.610360546477762	1	1	1	1
Cytophagaceae	42.5080620040493	0.524062290774604	0.974087605991982	1	0.999873979149884	1
Deinococcaceae	38.6723480067281	0.577120586345476	0.999999999770439	1	1	1
Devosiaceae	41.7777460337315	0.539061590897209	0.999202309525435	1	0.999997447936649	1
Dongiaceae	35.1557992287841	0.651318552147612	1	1	1	1
Enterobacteriaceae	40.4566288736668	0.556490224483566	0.99999750537651	1	0.999999999978496	1
Entotheonellaceae	40.2079339998222	0.566562556390724	0.999999962597797	1	0.999999999990479	1
env.OPS_17	43.0621854113004	0.508492970026697	0.753755882830026	1	0.998546223073862	1
Erwiniaceae	40.7877817170058	0.546200340325924	0.999905643524933	1	0.99999999962321	1
