Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
67-14	22.9360501478564	0.529936201537706	0.992224464516139	1	0.999999978499745	1
A21b	24.401969678593	0.478014574314331	0.0378050919978194	1	0.85276538650195	1
A4b	24.776419268926	0.49469020728176	0.333921880254392	1	0.484866621801368	1
Acidobacteriaceae_(Subgroup_1)	22.5528370091177	0.556393253519203	0.999997410496518	1	0.999999999781752	1
Acidobacteriae_fa	23.4395057413578	0.524811075264646	0.977523772658741	1	0.999873424039489	1
Acidothermaceae	23.1797219410424	0.522081553424256	0.962829881301355	1	0.999998322745794	1
AKYH767	24.1859997505635	0.505414352714597	0.669147065716334	1	0.939201596872455	1
Alcaligenaceae	22.9605156105297	0.55332138201332	0.999991805854775	1	0.999999307693495	1
Alicyclobacillaceae	22.3521061178267	0.572951678103619	0.999999998133009	1	0.999999999981211	1
All_BS	55.8209812320054	0.0176006516448805	0	0	0	0
All_PM	24.7616101875984	0.499541285177271	0.500013592969285	1	0.5	1
B1-7BS	23.8056129656719	0.514776688517457	0.883794916019811	1	0.99524976025151	1
Bacillaceae	28.9837644175893	0.315267783210026	1.06601767186997e-50	1.09799820202607e-48	2.61534918408291e-33	2.6938096596054e-31
Bacteriovoracaceae	23.0342354519799	0.538028639320293	0.998941373987973	1	0.999999571501493	1
Bdellovibrionaceae	23.0460334796741	0.540086110216355	0.999401399528629	1	0.999999259239453	1
Beijerinckiaceae	25.2579102710815	0.45255337197556	6.2939672716174e-05	0.00522399283544244	0.0820627308917502	1
BIrii41	22.7106472750444	0.555781071605047	0.999996726832703	1	0.999999987326897	1
Bryobacteraceae	26.9585199282593	0.396409713286371	2.84167418123723e-17	2.81325743942486e-15	8.65959589591718e-10	8.57299993695801e-08
Burkholderiaceae	25.2926173314032	0.452363646175718	5.91272710992446e-05	0.00496669077233655	0.0683171911775085	1
Catenulisporaceae	23.4993616664628	0.539933486350704	0.999374985728989	1	0.999463016657545	1
Caulobacteraceae	25.7627019214621	0.423473887827361	3.11629962582027e-10	2.92932164827105e-08	0.00173506720508923	0.15789111566312
Cellulomonadaceae	25.2414832802267	0.46123269489899	0.000865243514344269	0.0683542376331973	0.0973651908737724	1
Cellvibrionaceae	22.7488814795117	0.550454414371266	0.999977234557577	1	0.999999990908392	1
Chitinophagaceae	24.9175251785565	0.455201944141352	0.000147107777519234	0.011915729979058	0.32563740644907	1
Chloroflexaceae	26.2203367615774	0.418159878980236	1.87183664164147e-11	1.7782448095594e-09	2.74316710595263e-05	0.002606008750655
Clostridiaceae	22.5429707372573	0.55596742450178	0.99999695138616	1	0.999999999848308	1
Comamonadaceae	54.6408314807861	0.0272184848581947	0	0	0	0
Crocinitomicaceae	22.602856478098	0.555286098073904	0.99999605096137	1	0.999999999457059	1
Cytophagaceae	24.6196843294984	0.500247065152683	0.507964948261329	1	0.64095652003498	1
Deinococcaceae	23.1959287240983	0.523908823683176	0.973331595321483	1	0.999997378125197	1
Devosiaceae	23.0604946474107	0.538489040594575	0.999066080610485	1	0.999999081466636	1
Dongiaceae	24.2618270733448	0.49296075121298	0.284720610616277	1	0.915721341202547	1
Enterobacteriaceae	22.137783039382	0.572065447811913	0.999999997126293	1	0.999999999999968	1
Entotheonellaceae	24.2464790663734	0.489409084239942	0.196026143475978	1	0.929698171115956	1
env.OPS_17	23.0717087266203	0.534418789768636	0.997294945653741	1	0.999999327136717	1
Erwiniaceae	23.3201728486982	0.538451095434607	0.999056337190559	1	0.999949912254446	1
Fibrobacteraceae	35.7041497872386	0.168916674115161	5.20210209737088e-158	5.77433332808168e-156	3.19030792376464e-161	3.54124179537875e-159
Flavobacteriaceae	37.1426025924546	0.138073161641322	2.31175584029705e-188	2.5891665411327e-186	2.82925975141886e-208	3.19706351910331e-206
Frankiaceae	23.950221686493	0.505515539807846	0.672106231372038	1	0.988203924060145	1
Gaiellaceae	32.4588981171849	0.228630550744484	6.62822682703256e-107	7.02592043665451e-105	1.7442992881394e-93	1.84895724542776e-91
Geminicoccaceae	23.27093149741	0.529005280279816	0.990462255005736	1	0.999986543646353	1
Gemmatimonadaceae	43.2109814853891	0.0776602508428042	1.26874675526475e-255	1.45905876855446e-253	0	0
Geobacteraceae	25.7417843263542	0.439313040823933	4.68573558919453e-07	4.12344731849119e-05	0.0036135890653013	0.321609426811816
Geodermatophilaceae	23.699147993017	0.501723553488341	0.555388880866647	1	0.99909980945269	1
Glycomycetaceae	24.300642694801	0.500360057406811	0.511606754192009	1	0.890365268327136	1
Gracilibacteraceae	23.9485934459123	0.508062081654611	0.742649257021354	1	0.987746448954626	1
Haliangiaceae	29.2884670666313	0.312311433635602	2.88065760298e-52	2.9958839070992e-50	2.60503874843153e-36	2.70924029836879e-34
Herpetosiphonaceae	25.1909774038761	0.483262811550844	0.0880900454097366	1	0.138467303432521	1
Hymenobacteraceae	25.7750976314547	0.44390271872855	2.90093595358999e-06	0.000252381427962329	0.00308736906537594	0.277863215883835
Hyphomicrobiaceae	23.5433148347546	0.528122422891219	0.988478005978766	1	0.999465208717331	1
